Facility Name,Site Address,Last Inspection Date,Facility Type
17 Restaurant - Restaurant,2-Woodward Ave. Blind River ON P0R 1B0,30-Jun-20,Restaurant
A&W - Restaurant,496 Causley Street Blind River ON P0R 1B0,02-Feb-21,Restaurant
A&W - Restaurant,121 Great Northern Rd Sault Ste. Marie ON P6B 4Y9,24-Feb-20,Restaurant
A&W - Restaurant,659 Great Northern Rd Sault Ste Marie ON P6B 5Y1,07-Dec-20,Restaurant
A&W - Restaurant,201 Highway 17 White River ON P0M 3G0,01-Sep-20,Restaurant
Absolutely Delicious - Restaurant,2200 Queen Street East Sault Ste. Marie ON P6A 7B5,02-Sep-20,Restaurant
Agree Outpost Camp Food - Restaurant,PO Box 624 Wawa ON P0S 1K0,,Restaurant
Airdale Hunting and Fishing Lodge Kitchen - Restaurant,1 Whitefish Lake Road Maness ON,20-Aug-20,Restaurant
AlgomaTrad - Restaurant,1249 F&G Line Road Richards Landing ON P0R 1J0,08-Aug-19,Restaurant
Annettes Diner - Restaurant,B-4683-Highway 17 Spragge ON P0R 1K0,05-Nov-20,Restaurant
Antico - Restaurant,6 Village Ct Sault Ste. Marie ON P6B 6K1 Canada,16-Jan-20,Restaurant
Arby's - Restaurant,258 Great Northern Rd Sault Ste. Marie ON P6B 4Z6,02-Nov-20,Restaurant
Arturo's Ristorante - Restaurant,515 Queen Street E Sault Ste. Marie ON P6A 2A2,24-Nov-20,Restaurant
Aurora's Westside - Restaurant,300 Second Line W Sault Ste. Marie ON P6C 2J5,26-Nov-20,Restaurant
Bankside Cafe - Restaurant,33 Elizabeth Square Elliot Lake ON P5A 1Y8,05-Feb-20,Restaurant
Barsanti's Restaurant - Restaurant,85 Old Highway 17 N Sault Ste. Marie ON P6B 0C9,05-Nov-20,Restaurant
Best Northern Restaurant - Restaurant,150-Highway 17 South Wawa ON P0S 1K0,21-Dec-20,Restaurant
Big Lake Cabin - Restaurant,765 Queen Street East Sault Ste. Marie ON P6A2A8,17-Nov-20,Restaurant
Blind River Golf Course Kitchen - Restaurant,303-Eldorado Rd Blind River ON P0R 1B0,04-Sep-19,Restaurant
Blueberry Hill Motel and Campground Kitchen - Restaurant,D-2528 D Highway 17 N Goulais River ON P0S1E0,07-Mar-19,Restaurant
Bobber's Restaurant - Restaurant,9161 Hwy 17 Bruce Mines ON P0R 1C0,28-Nov-19,Restaurant
Bobbles Pizza Place - Restaurant,360 Second Line E Sault Ste. Marie ON P6B 4J9,14-Sep-20,Restaurant
Booster Juice - Restaurant,104-710 Second Line E Sault Ste. Marie ON P6B 4K3,10-Jan-20,Restaurant
Bruni's Fine Foods - Restaurant,328 Wellington Street W Sault Ste. Marie ON P6A 2L9,09-Sep-20,Restaurant
Bucci's Place Restaurant - Restaurant,3241 Hwy 17 B Echo Bay ON P0S 1C0,13-Oct-20,Restaurant
Burger Don - Restaurant,7 Great Northern Rd Sault Ste. Marie ON P6B 4Y4,09-Dec-20,Restaurant
Burger King - Restaurant,937 Great Northern Road Sault Ste. Marie ON P6B 5K7,07-Jan-20,Restaurant
Camille's Island Cafe - Restaurant,1202 Gore St Richard's Landing ON P0R 1J0,12-Aug-20,Restaurant
Camp Esnagi - Restaurant,Esnagi Lake Cudney Twp. ON,,Restaurant
Carolyn Beach Inn & Restaurant - Restaurant,1-Lakeside Dr Thessalon ON P0R 1L0,04-Mar-20,Restaurant
Casey's Bar & Grill (Water Tower Inn) - Restaurant,360 Great Northern Road Sault Ste. Marie ON P6B 4Z7,10-Jul-20,Restaurant
Centre Ice Bar & Grill - Restaurant,285 Northern Ave E Sault Ste. Marie ON P6B 4H9,19-Feb-20,Restaurant
Chippewa River Restaurant & Store - Restaurant,8607 Hwy 17 N Batchawana Bay ON P0S 1A0,20-Oct-20,Restaurant
Chuck's Roadhouse - Restaurant,601 Great Northern Road Sault Ste. Marie ON P6B 5A1,18-Nov-20,Restaurant
Club 90 Info Cafe - Restaurant,6-10 Paris Drive Elliot Lake ON P5A 2L9,26-Feb-19,Restaurant
Comfort Inn Breakfast - Restaurant,333 Great Northern Rd Sault Ste Marie ON P6B 4Z8,04-Nov-20,Restaurant
Continental Restaurant - Restaurant,Highway 17 White River ON P0M 3G0,01-Sep-20,Restaurant
Copper Bean Café - Restaurant,9196 Hwy 17 Bruce Mines ON P0R 1C0,25-Feb-20,Restaurant
Coulters Motel Ltd. - Restaurant,184 Great Northern Road Sault Ste. Marie ON P6B 4Z3,02-Nov-20,Restaurant
Country Kitchen - Restaurant,A-9538 Highway 129 Thessalon ON P0R 1L0,16-Dec-20,Restaurant
Dairy Queen - Restaurant,210 Great Northern Road. Sault Ste. Marie ON P6B 4Z4,03-Nov-20,Restaurant
Dairy Queen - Restaurant,169 Trunk Rd Sault Ste. Marie ON P6A 3S5,21-Aug-20,Restaurant
Dana Tim Hortons - Restaurant,1520 Queen St E Sault Ste Marie ON P6A 2G4,25-Nov-19,Restaurant
Day's Inn (Daybreak Cafe) - Restaurant,332 Bay St Sault Ste. Marie ON P6A 1X1,08-Aug-19,Restaurant
Dee's Cafe - Restaurant,105 West Street Sault Ste. Marie ON P6A 7B4,31-Jul-20,Restaurant
Delta Hotel - View Restaurant & Bar - Restaurant,208 St. Mary's River Dr Sault Ste. Marie ON P6A 5V4,27-Aug-20,Restaurant
DeLuca's Pizzaria - Restaurant,270 Goulais Avenue Sault ON P6C 5A1,09-Oct-20,Restaurant
