Name,Areas,URL
Algoma,"Cities of Sault Ste Marie, Elliot Lake, towns of Blind River, Bruce Mines, Spanish, Thessalon and the Municipality of Huron Shores",http://www.algomapublichealth.com/environment-inspections/food-safety/
Brant County,"Communities of Burford and Harley, Glen Morris, Mt. Pleasant, Onondaga and Middleport, Paris, St. George, Scotland and Oakland",https://www.bchu.org/ServicesWeProvide/Inspections/FoodSafety/Pages/default.aspx
Chatham-Kent,"City of Chatham-Kent, towns of Wallaceburg, Tilbury, Blenheim, Ridgetown, Wheatley and Dresden",https://ckphu.com/health-topics/food-safety/
Durham Region,"Cities of Oshawa, Pickering, towns of Ajax, Whitby",https://www.durham.ca/en/health-and-wellness/public-health-inspections-and-investigations.aspx?_mid_=24529
Eastern Ontario,"City of Cornwall, City of Clarence-Rockland, counties of Prescott-Russell, Stormont, Dundas and Glengarry",https://eohu.ca/en/section/food-safety
Grey Bruce,County of Grey and Bruce County,https://www.publichealthgreybruce.on.ca/Your-Environment/Food-Safety
Haldimand-Norfolk,Haldimand County and Norfolk County,https://hnhu.org/health-topic/food-safety-inspections/
"Haliburton, Kawartha, Pine Ridge District","City of Kawartha Lakes, Town of Cobourg, counties of Haliburton, Northumberland",https://www.hkpr.on.ca/
Halton Region,"City of Burlington and towns of Oakville, Halton Hills, Milton",https://www.halton.ca/For-Residents/Public-Health
Hamilton,NA,https://www.hamilton.ca/public-health
Hastings and Prince Edward Counties,"Cities of Belleville, Quinte West and the counties of Hastings, Prince Edward",https://hpepublichealth.ca/
Huron Perth County,NA,https://www.hpph.ca/en/index.aspx
"Kingston, Frontenac and Lennox and Addington","City of Kingston, Town of Greater Napanee, counties of Frontenac, Lennox and Addington",https://www.kflaph.ca/en/index.aspx
Lambton County,NA,https://lambtonpublichealth.ca/
"Leeds, Grenville and Lanark District","City of Brockville, towns of Carleton Place, Gananoque, Mississippi Mills, Perth Prescott, Smith Falls, counties of Lanark. Leeds and Grenville",http://healthunit.org/health-information/food-safety/
Middlesex-London,County of Middlesex and City of London,https://www.healthunit.com/
Niagara Region,"Cities of Niagara Falls, Port Colborne, St. Catharines, Thorold, Welland, the towns of Fort Erie, Gimsby, Lincoln, Niagara-on-the-Lake, Pelham",https://www.niagararegion.ca/
North Bay Parry Sound,"City of North Bay, Town of Mattawa, municipalities of Temagami, West Nipissing",https://www.myhealthunit.ca/en/
Northwestern Health,"Cities of Dryden, Kenora, municipalities of Red Lake, Sioux Lookout, towns of Fort Frances Rainy River",https://www.nwhu.on.ca/ourservices/EnvironmentalHealth/Pages/Inspecting-Food-Premises.aspx
Ottawa,NA,https://www.ottawapublichealth.ca/en/index.aspx
Region of Peel,"Cities of Brampton, Mississauga and the Town of Caledon",https://www.peelregion.ca/health/
Porcupine Health Unit,"Algoma District, Cochrane District, Town of Hornepayne, City of Timmins",http://healthspace.com/Clients/Ontario/Porcupine/Web.nsf/home.xsp
Renfrew County and District,NA,https://www.rcdhu.com/healthy-living/safe-food/
Simcoe Muskoka,"County of Simcoe and the towns of Bracebridge, Gravenhurst",https://www.simcoemuskokahealth.org/Topics/FoodSafety
Southwestern Ontario,"County of Elgin, Oxford and the City of St. Thomas",https://www.swpublichealth.ca/your-health/health-inspect
Sudbury and Districts,NA,https://www.phsd.ca/
Timiskaming,"City of Temiskaming Shores, towns of Cobalt, Englehart, Kirkland Lake, Latchford, municipalities of Charlton and Dack, Temagami",http://www.timiskaminghu.com/
Thunder Bay District,"City of Thunder Bay, towns of Marathon, Greenstone, Manitouwadge, Red Rock, Terrace Bay",https://www.tbdhu.com/health-topics/food-safety
Toronto,NA,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/toronto-public-health/
Region of Waterloo,"Cities of Cambridge, Kitchener, Waterloo",https://www.regionofwaterloo.ca/en/public-health-and-emergency-services.aspx
Wellington-Dufferin-Guelph,Counties of Wellington and Dufferin and the City of Guelph,https://www.wdgpublichealth.ca/
Windsor-Essex County,NA,https://www.wechu.org/
York Region,"City of Vaughan, the towns of Aurora, East Gwillimbury, Georgina, Markham, Newmarket, Richmond Hill, Whitchurch-Stouffville",https://www.york.ca/wps/portal/yorkhome/health/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziPR3dPT08vA283IMtTAw8w7zMHcMM_Q1MPI31w8EKDHAARwP9KGL041EQhd_4cP0osBIjIxMzD0NnAy8DD38LA0838wBTFwsPQwNvI6gCPGYU5IZGGGQ6KgIAUxz20g!!/dz/d5/L2dBISEvZ0FBIS9nQSEh/#.XwNjyExFxy0
