Facility Name,Last Inspection Date,Site Address
2 Rivers,17-Feb-20,25 Grand River St N. Paris ON N3L 1C9
A & W Restaurant,14-Dec-20,30 Lynden Rd Brantford ON N3R 8A4
A & W Restaurant,02-Dec-20,72 King George Rd Brantford ON N3R 6K7
Abigail Tea House,04-Mar-20,2 Main St. S St. George ON
Abigail's Bakery & Express,24-Jan-20,153 West St Brantford ON N3T 6G4
Admiral Submarine,22-Jun-20,55 Dalhousie St Brantford ON N3T 2J1
Al Dente Fresh Pasta,04-Feb-20,1-250 King George Rd Brantford ON N3R 5L5
Alexander's Tavern,02-May-19,187 Market Street Brantford ON N3T 3A7
Angels Family Diner,04-Oct-19,125 King George Rd. Brantford ON N3R 5K7
Anna's Soul Food Kitchen,,72 Colborne St Brantford Ontario N3T 2G5
Apna Meats & Grill,08-Jan-20,E5-360 Conklin Road Brantford ON N3T 0N5
Arby's Restaurant,29-May-20,129 King George Rd Brantford ON N3R 5K7
Arlington Hotel - EDIT,06-Jan-20,106 Grand River St N Paris ON N3L 2M5
Arrowdale Municipal Golf Club,27-May-20,282 Stanley Street Brantford ON N3S 6N6
BarBurrito,23-Nov-20,50-Market St S Brantford ON N3S 2E3
Beijing Restaurant,02-Apr-20,435 St. Paul Ave. Brantford ON N3R 4N8
Best Western - Food - Myra's Bar and Grill,03-Nov-20,19 Holiday Dr. Brantford ON N3R 7J4
Big Smoke Burger,07-Jan-20,A4-175 Lynden Rd Brantford ON N3R 8A7
Bistro 7 Eatery,16-Sep-20,1-71 Charing Cross St Brantford ON N3R 2H4
Bistro Greeco Italiano,23-Jan-20,E1 - E4-360 Conklin Road Brantford ON N3T 0N5
Blessings Eatery,06-Feb-20,185 King George Rd Brantford ON N3R 7R9
Boston Pizza,03-Oct-19,299 Wayne Gretzky Pkwy Brantford ON N3R 8A5
Boston Pizza,24-Nov-20,50 Market St.S. Brantford ON N3S 2E3
Brando's on Market,22-Aug-19,135 Market St Brantford ON N3T 2Z9
Bransterdam,09-Dec-19,lower-407 Colborne St Brantford Ontario N3S 3N5
Brant Valley Golf Club,28-May-20,128 Govenors Road County of Brant ON N0E 1N0
Brantford Family Restaurant,03-Dec-19,669 Colborne Street E Brantford ON N3S 3M8
Buck's Tavern,23-Oct-19,541-C Colborne St E. Brantford ON N3S 3P4
Burford Golf Links,15-Jun-20,120 Golf Links Rd. Burford ON N0E 1A0
Burrito Brothers,27-Nov-20,38 Dalhousie St. Brantford ON N3T 2H8
Cafe Andreou,25-Nov-20,104 West Street Brantford ON N3T 3E7
Camp 31,12-Nov-20,22 Paris Rd Brant ON N3L 3H8
China King Restaurant,06-Jan-21,R.R. #1-1320 Colborne Street East Brantford ON N3T 5L4
Chuck's Roadhouse Bar & Grill,28-Jan-20,245 King George Rd Brantford ON N3R 7N7
Coffee Culture Cafe and Eatery,17-Dec-20,75 Dalhousie St Brantford ON N3T 2J1
Colby's Billiards,25-Feb-19,634 Colborne Street Brantford ON N3S 3P8
Crabby Joe's,29-Nov-19,456 Fairview Dr. Brantford ON N3R 7A9
Cravin-A-Burger,09-Jan-20,121-King Street Burford ON N0E 1A0
CT Shawarma,,5-206 King George Road Brantford ON N3R 5L3
Devlin's Country Bistro and Catering,05-Jan-21,704 Mt. Pleasant Rd Mt. Pleasant ON N0E 1K0
Dog Eared Café,,121 Grand River Street North Paris ON N3L 2R2
Domino's Pizza,07-Dec-20,1-105 Colborne Street West Brantford ON N3T 1K8
Domino's Pizza,05-Feb-21,71-Charing Cross St Brantford ON N3R 2H4
Duke on Park,27-Jan-20,10 & 12-505 Park Rd N Brantford ON N3T 6R7
East Side Mario's,26-Nov-20,300 King George Rd Brantford ON N3R 5L8
Echo Bowl,17-Sep-19,760 Colborne St Brantford ON N3S 3S1
