Facility Name,Last Inspection Date,Site Address
(B-M) Karl`s Schnitzel and Sausage House,10-May-19,79 Icomm Drive Brantford ON N3S 7N5
A & W Restaurant - (LPM- Food Court),11-Nov-19,E16-84 Lynden Rd Brantford ON N3R 6B8
A Pizza Factory,19-Nov-19,213 Market Street Brantford ON N3T 3A7
A Super Deal Pizza,04-Jun-20,3-26 Brantwood Park Rd. Brantford ON N3P 1N7
A&W (Brantford #4883),26-Nov-20,1182 Colborne St. Brantford ON N3S 0H4
Alice & Terry's Food Shack,10-Apr-19,202 Jenkins Rd Scotland Ontario N0E 1R0
Archie's Place Fish and Chips,20-Nov-20,216 Erie Ave. Brantford ON N3S 2G9
Asian Court,11-Sep-19,300 Grand River Street Paris ON N3L 3R7
Banh Mi Vietnam,03-Dec-20,8 King St. Brantford ON N3T 2H6
Big Box Pizza,08-Jan-20,E6-360 Conklin Road Brantford ON N3T 0N5
Booster Juice,04-Jun-20,J2-300 King George Rd Brantford ON N3R 5L8
Booster Juice,29-Jun-20,A2-175 Lynden Road Brantford ON N3R 8A7
Brant Park Concession,16-Aug-19,119 Jennings Rd. Brantford ON N3T 5L7
Brant Sports Complex,28-Nov-19,944 Powerline Rd County of Brant ON N3L 0B2
Broaster's Crispy Fried Chicken,11-Oct-19,170 Brantwood Park Rd. Brantford ON
Canton Chinese Food,16-Oct-19,3-170 Brantwood Park Rd Brantford ON N3P 1N7
Carmen's Homestyle Pizza,23-Dec-20,Unit 2-170 Brantwood Park Rd. Brantford ON N3P 1N7
Chocolate Sensations,01-Mar-19,89-Grand River Street North Paris ON N3L 2M3
Circle K Store,21-Jan-20,230 Shellard Lane Brantford ON N3T 0B9
City Pizza,29-Sep-20,39 King George Rd. Brantford ON N3R 5K2
Dairee Delite,01-May-20,8 King George Rd. Brantford ON N3R 5J7
Dairy Queen,11-Feb-20,115 King George Rd. Brantford ON N3R 5K5
Dairy Queen,26-Apr-19,930 Colborne Street East Brantford ON N3S 3T4
Domino's Pizza,13-Jan-20,308 Grand River St. N. Paris ON N3L 3R7
Drongkowski's Farm Market and Deli,21-Jan-21,5 Beverly St. E St. George ON N0E 1N0
Earl Haig Fun Park,30-May-19,101 Market St. S. Brantford ON N3T 6A9
Envy Cafe,05-Oct-20,B-127 King St Burford ON N0E 1A0
Esso Gas Station & Urban Express - MR. Sub & Country Style,07-Dec-20,"80 Colborne St.,West Brantford ON N3T 1K5"
Fast Eddie's,19-Nov-20,55 Edmonson St. Brantford ON N3R 7J2
Fast Eddie's,20-Nov-19,9 Stanley St Brantford ON N3S 6L7
Flora's Homestyle Pizza,16-Mar-20,48 Main St. S St. George ON N0E 1N0
Freshly Squeezed- (LPM-Food court),02-Dec-19,K-7-84 Lynden Rd Brantford ON N3R 6B8
Gigi's Pizzeria,14-Dec-20,68 Colborne St. W. Brantford ON N3T 1K5
Gino's Pizza,03-Feb-20,6A-190 King George Rd Brantford ON N3R 4K3
Gino's Pizza,27-Jul-20,63 Brant Ave Brantford ON N3T 3H2
Golden Grounds,28-Feb-19,154 Dalhousie Street Brantford ON
Good Friends Sandwich Company,20-Oct-20,108-West St Brantford ON N3T 3E7
Goo's Take Out,16-Jan-20,C6-230 Shellard Lane Brantford ON N3T 0B9
Guac Mexi Grill,17-Jul-20,G4-218 Henry St Brantford ON
Jamrock Jerk Kitchen,06-Mar-20,118 Dalhousie Street Brantford ON N3T 2J3
Jimmy The Greek- (LPM-Food Court),25-Oct-19,E-17-84 Lynden Rd Brantford ON N3R 6B8
KFC/Taco Bell - (LPM-Food Court),22-Jul-20,Unit E15-84 Lynden Rd Brantford ON N3R 6B8
La Bottega,11-Feb-20,358 King George Rd Brantford ON N3T 5L8
Little Caesars,03-Feb-21,50-Market St. Brantford ON N3S 2E3
Little Caesar's,17-Jul-20,265 King George Road Brantford ON N3R 6Y1
Louie's Fries N Things,25-Feb-20,1165 Colborne St E Brantford ON N3S 0H4
Luciani's Pizza,07-Feb-20,9-241 Dunsdon St. Brantford ON N3R 7C3
Maria's Pizza,23-Dec-20,428 Colborne St Brantford ON N3S 3N6
Mario's 2 for 1 Pizza,26-Nov-19,340 Grand River St N Brant ON N3L 3R7
Mario's Pizza,23-Oct-19,659 Colborne St E. Brantford ON N3S 3M8
Marvelous Lounge,25-Apr-19,310 Colborne St. E Brantford ON N3S 3M9
Mohawk Park Pavilion Snack Bar,24-Jun-19,51 Lynwood Drive Brantford ON N3S 6S3
MR. Kabob Persian Eatery,05-Jan-21,4B-164 Colborne ST. W Brantford ON
Nanking,05-Mar-20,#5-71 Charing Cross St. Brantford ON N3R 2H4
New Orleans Pizza,17-Feb-20,5-300 Grand River St. N. Paris ON N3L 3R7
New York Fries - (LPM-Food Court),18-Nov-19,84 Lynden Rd. Brantford ON N3R 6B8
New York Fries - (Sinclair Food Court),29-Aug-19,11 Sinclair Blvd. Brantford ON N3S 7X6
Oakland Foods - Subway,17-Feb-20,1 King St. N Oakland ON N0E 1L0
Optimist Club of Scotland and District Ontario Inc.,13-May-19,81 Simcoe Street Scotland ON N0E 1R0
Osmow's,03-Jan-20,225 Fairview Dr Brantford Ontario N3R 7E3
Pace's Take-Out & Catering,03-Jun-20,"432 Elgin Street, Unit #1 Brantford ON N3S 7P7"
Papa John's Pizza,09-Jan-20,185 King George Rd. Brantford ON N3R 7R9
Paris Pizza & Daisy Mart,03-Mar-20,1084 Rest Acres Rd. Unit 15 Paris ON N3L 3E3
Paris Springs Park,11-Jun-19,11 Kitchen School Rd RR #1 Paris ON N3L 2E1
Pavol & Ibeth's Deli,09-Dec-20,18-Elgin Street Brantford ON N3R 1E6
Pinehurst Lake Park - Concession Booth,16-May-19,468 Pinehurst Rd Ayr ON N0B 1E0
Pinehurst Variety,14-Dec-20,"488 Pinehurst Road, R.R.#3 Ayr ON N0B 1E0"
Pioneer Convenience Store - Mr. Sub,15-Dec-20,1337 Colborne St W Brantford ON N3T 5L7
Pioneer Convenience Store - Pizza Pizza,15-Dec-20,1337 Colborne St W Brantford ON N3T 5L7
Pita Pit,19-May-20,218-Henry ST. Brantford ON N3S 7R5
Pita Plus,07-Oct-20,395 St. Paul Ave. Brantford ON N3R 4N7
Pizza Roma,11-Feb-20,84 Charing Cross St Brantford ON N3R 2H6
Pizza Spot,25-Nov-20,792 Colborne Street East Brantford ON N3S 3S4
Pizzaville,07-Oct-20,103-300 King George Brantford ON N3R 5L8
Robby's Pizza & Wings,24-Feb-20,118 King St. E. Burford ON N0E1A0
San Frano's,18-Dec-20,95 Charing Cross St. Brantford ON N3R 2H7
Scotland Food Market / Pizza take-out,20-Jan-20,48 Simcoe St. Scotland ON N0E 1R0
Seventh Coffee Company,,2-111 Sherwood Drive Brantford ON
St. John's Ukrainian Catholic Church Hall,19-Jun-20,100 Terrace Hill St Brantford ON N3R 1G3
Starbucks Coffee # 52381,15-Oct-19,595 West St. Brantford ON N3R7J2
Stephenson's General Store,11-Feb-20,320 Sixth Concession Rd. Cathcart ON N0E 1B0
Strodes BBQ & Deli,15-Dec-20,4-403 Fairview Dr. Brantford ON N3R 2X8
Subway - (LPM-Food Court),23-Sep-19,84 Lynden Rd Brantford ON N3R 6B8
Super Sausage,25-Sep-19,10A-84 Charing Cross Brantford ON N3R 2H6
Taco Bell,09-Aug-19,11 Sinclair Blvd Brantford ON N3S 7X6
Taco Bell,27-Jun-19,656 Colborne St Brantford ON N3S 3P8
The Curry Place,16-Jun-20,A-117 Market Street Brantford ON N3T2Z9
The Irie Grill,17-Jan-20,186 Market St Brantford ON N3T 3A5
The Raw Carrot- Paris Presbyterian Church,28-Jan-20,164 Grand River Street North Paris ON N3L 2M6
Tim Horton's,10-Jun-19,206 Henry St Brantford ON N3R 6V1
Tim Horton's - (LPM-Food Court),18-Oct-19,E12-84 Lynden Rd Brantford ON N3R 6B8
Tim Hortons (236 KGR),15-Oct-20,236 King George Rd Brantford ON N3R 5L4
Tito's Pizza,27-Jan-20,177 Paris Road Brantford ON N3R 1J2
Tito's Pizza,09-Jan-20,7 Market St. Paris ON N3L 3A3
Tito's Pizza,,A-127 King St Burford ON N0E 1A0
Twice The Deal Pizza,23-Jan-20,1-230 Shellard Lane Brantford ON N3T 5L5
Willow Lake Sparky's Snack Shack,30-Apr-19,14-Willow Lake Private Rd RR #1 Scotland ON N0E 1R0
Witteveen Meats Ltd.,19-Dec-19,154 Brant Rd St. George ON N0E 1N0
Wright Caribbean Cuisine Restaurant,24-Sep-19,158 Baimoral Dr Brantford ON N3R 6R4
