dim_profile_of_health_regions_2247,member_id_profile_of_health_regions_2247,dim_sex_3_member_id_1_total_sex,dim_sex_3_member_id_2_male,dim_sex_3_member_id_3_female
"Population, 2016",1,102042,...,...
Population density per square kilometre,6,41.3,...,...
Total - Age groups and average age of the population - 100% data,8,102045,49750,52295
0 to 14 years,9,16740,8595,8145
0 to 4 years,10,5275,2750,2525
5 to 9 years,11,5675,2850,2830
10 to 14 years,12,5785,2990,2790
15 to 64 years,13,63850,31500,32355
15 to 19 years,14,6110,3080,3035
20 to 24 years,15,5535,2755,2780
25 to 29 years,16,5130,2580,2550
30 to 34 years,17,5560,2675,2880
35 to 39 years,18,5380,2725,2650
40 to 44 years,19,5580,2695,2885
45 to 49 years,20,6215,3090,3125
50 to 54 years,21,8120,3945,4170
55 to 59 years,22,8590,4170,4420
60 to 64 years,23,7630,3775,3855
65 years and over,24,21455,9660,11790
65 to 69 years,25,6955,3385,3570
70 to 74 years,26,5020,2425,2595
75 to 79 years,27,3725,1715,2010
80 to 84 years,28,2690,1155,1535
85 years and over,29,3065,980,2085
85 to 89 years,30,1885,690,1195
90 to 94 years,31,950,240,710
95 to 99 years,32,215,50,165
100 years and over,33,15,5,15
Married or living common law,60,50285,25170,25115
Married,61,42480,21275,21205
Living common law,62,7805,3895,3910
Not married and not living common law,63,35020,15990,19030
Never married,64,20215,10950,9270
Separated,65,2845,1270,1580
Divorced,66,5375,2390,2980
Widowed,67,6580,1380,5200
Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,100,101085,49445,51640
English only,101,93390,45940,47460
French only,102,75,30,45
English and French,103,7045,3225,3820
Neither English nor French,104,570,250,320
Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,661,83055,40360,42700
Number of total income recipients aged 15 years and over in private households - 100% data,662,80540,39305,41240
Median total income in 2015 among recipients ($),663,30895,36520,26045
Percentage with total income,694,97.0,97.4,96.6
"Under $10,000 (including loss)",695,10885,4620,6270
"$10,000 to $19,999",696,15070,5825,9240
"$20,000 to $29,999",697,13315,5625,7695
"$30,000 to $39,999",698,11075,5445,5630
"$40,000 to $49,999",699,8960,4705,4255
"$50,000 to $59,999",700,6225,3560,2665
"$60,000 to $69,999",701,4255,2610,1650
"$70,000 to $79,999",702,2985,1865,1120
"$80,000 to $89,999",703,2150,1335,815
"$90,000 to $99,999",704,1765,1015,755
"$100,000 and over",705,3845,2710,1135
"$100,000 to $149,999",706,2815,1925,890
"$150,000 and over",707,1030,790,245
Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,724,83055,40355,42700
Without employment income,725,25585,10265,15325
With employment income,726,57470,30095,27380
Total - Citizenship for the population in private households - 25% sample data,1135,99775,48940,50835
Canadian citizens,1136,97880,48135,49745
Not Canadian citizens,1139,1900,810,1090
Total - Immigrant status and period of immigration for the population in private households - 25% sample data,1140,99775,48935,50835
Non-immigrants,1141,90795,44875,45920
Immigrants,1142,8630,3900,4735
Before 1981,1143,4675,2120,2555
1981 to 1990,1144,1140,485,655
1991 to 2000,1145,1055,520,535
2001 to 2010,1146,1105,480,625
2001 to 2005,1147,590,245,345
2006 to 2010,1148,515,230,285
2011 to 2016,1149,660,305,355
Non-permanent residents,1150,350,165,185
Total - Selected places of birth for the immigrant population in private households - 25% sample data,1157,8630,3895,4730
Americas,1158,2675,1175,1500
Europe,1170,4535,2110,2430
Africa,1188,155,65,85
Asia,1198,1235,530,705
Oceania and other places of birth,1216,30,15,10
Refugees,1287,705,340,365
Total - Aboriginal identity for the population in private households - 25% sample data,1289,99775,48935,50835
Aboriginal identity,1290,4070,1865,2205
Single Aboriginal responses,1291,4000,1840,2160
First Nations (North American Indian),1292,2445,1090,1360
Total visible minority population,1324,4535,2305,2225
South Asian,1325,625,295,330
Chinese,1326,355,155,200
Black,1327,2125,1205,920
Filipino,1328,230,70,160
Latin American,1329,195,90,105
Arab,1330,170,95,75
Southeast Asian,1331,300,130,165
West Asian,1332,25,10,15
Korean,1333,150,85,60
Japanese,1334,90,45,45
"Visible minority, n.i.e.",1335,110,40,70
Multiple visible minorities,1336,155,80,75
Not a visible minority,1337,95240,46630,48615
"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",1683,83060,40355,42700
"No certificate, diploma or degree",1684,19980,10540,9445
Secondary (high) school diploma or equivalency certificate,1685,25005,12265,12735
"Postsecondary certificate, diploma or degree",1686,38070,17555,20515
Apprenticeship or trades certificate or diploma,1687,6205,4625,1585
Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,1688,2765,1840,925
Certificate of Apprenticeship or Certificate of Qualification,1689,3440,2780,660
"College, CEGEP or other non-university certificate or diploma",1690,21425,8475,12945
University certificate or diploma below bachelor level,1691,1045,500,545
"University certificate, diploma or degree at bachelor level or above",1692,9395,3950,5445
Bachelor's degree,1693,6975,2800,4185
University certificate or diploma above bachelor level,1694,710,305,410
"Degree in medicine, dentistry, veterinary medicine or optometry",1695,205,140,70
Master's degree,1696,1385,660,725
Earned doctorate,1697,115,60,55
Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,1884,49960,26065,23895
Occupation - not applicable,1885,1145,545,595
All occupations,1886,48815,25520,23295
0 Management occupations,1887,5350,3465,1895
"1 Business, finance and administration occupations",1888,5940,1515,4430
2 Natural and applied sciences and related occupations,1889,1995,1595,400
3 Health occupations,1890,3580,450,3130
"4 Occupations in education, law and social, community and government services",1891,4780,1330,3455
"5 Occupations in art, culture, recreation and sport",1892,785,300,480
6 Sales and service occupations,1893,11755,4475,7275
"7 Trades, transport and equipment operators and related occupations",1894,8540,7990,555
"8 Natural resources, agriculture and related production occupations",1895,2075,1490,585
9 Occupations in manufacturing and utilities,1896,4005,2915,1095
Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,1897,49960,26070,23895
Industry - NAICS2012 - not applicable,1898,1145,550,595
All industry categories,1899,48820,25520,23300
"11 Agriculture, forestry, fishing and hunting",1900,3790,2745,1050
"21 Mining, quarrying, and oil and gas extraction",1901,170,130,40
22 Utilities,1902,995,650,350
23 Construction,1903,3285,2900,380
31-33 Manufacturing,1904,6455,4845,1605
41 Wholesale trade,1905,1815,1345,470
44-45 Retail trade,1906,5610,2520,3090
48-49 Transportation and warehousing,1907,2535,2015,525
51 Information and cultural industries,1908,750,395,355
52 Finance and insurance,1909,1135,330,805
53 Real estate and rental and leasing,1910,550,270,280
"54 Professional, scientific and technical services",1911,1460,715,745
55 Management of companies and enterprises,1912,25,10,10
"56 Administrative and support, waste management and remediation services",1913,2500,1265,1235
61 Educational services,1914,2955,800,2155
62 Health care and social assistance,1915,6165,745,5415
"71 Arts, entertainment and recreation",1916,835,425,410
72 Accommodation and food services,1917,3375,1165,2210
81 Other services (except public administration),1918,2190,1150,1040
91 Public administration,1919,2220,1110,1110
Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,1920,46195,23940,22250
Worked at home,1921,3420,2020,1400
Worked outside Canada,1922,175,120,60
No fixed workplace address,1923,4850,3595,1255
Worked at usual place,1924,37740,18210,19535
Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,1925,37740,18205,19535
Commute within census subdivision (CSD) of residence,1926,31715,14715,17000
Commute to a different census subdivision (CSD) within census division (CD) of residence,1927,55,20,35
Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,1928,5915,3435,2480
Commute to a different province or territory,1929,55,35,20
