Facility Name,Site Address,Facility Type,Last Inspection Date
18 Wheeler Restaurant,3613 Queen's Line Tilbury ON N0P 2L0,Restaurant,30-Sep-20
4 Corners Cafe,21006 Charing Cross Road Charing Cross ON N0P 1G0,Restaurant,15-Oct-20
A & W Restaurant,505 Grand Avenue W Chatham ON N7L 1C5,Restaurant,29-Jul-20
A&W,67 McNaughton Avenue Wallaceburg Ontario N8A 1R7,Restaurant,03-Nov-20
A-1 Chinese Restaurant,53 McNaughton Ave Wallaceburg ON N8A 1R9,Restaurant,09-Nov-20
Active Lifestyle Centre,20 Merritt Ave Chatham ON N7M 6G9,Restaurant,01-Dec-20
Andy's Place,419 St. Clair St Chatham ON N7L 3K4,Restaurant,19-Nov-20
Arby's Restaurant,1070 Richmond St Chatham ON N7M 5J5,Restaurant,28-Sep-20
Ashley's Place,75 Queen Street North Tilbury ON N0P 2L0,Restaurant,24-Sep-20
Backyard Burgers and More,2-425 St Clair Street Chatham N7L 3K4,Restaurant,02-Dec-20
Bangkok Café,A-161 Richmond Street Chatham ON N7M 5L9,Restaurant,02-Oct-20
Barnetti's Arcade,6-425 St. Clair Street Chatham ON N7L 3K4,Restaurant,03-Dec-20
Bayside Brew Pub,970 Ross Lane Erieau ON N0P 1N0,Restaurant,04-Dec-20
Big Chief Drive In,5001 Dufferin Ave Wallaceburg ON N8A 4M9,Restaurant,20-Nov-20
Bob' n Buoys,18 Main St Mitchell's Bay ON N0P 1L0,Restaurant,01-Oct-20
Boston Pizza,780 St Clair St Chatham ON N7M 5J7,Restaurant,28-Jul-20
Bothwell Diner,260 Main St Bothwell ON N0P 1C0,Restaurant,08-Dec-20
Bowlerama,100 Keil Dr S Chatham ON N7M 3H1,Restaurant,29-Sep-20
Burger King,766 St Clair Street Chatham ON N7M 5J7,Restaurant,29-Jul-20
Burger King,Highway 401 Eastbound Tilbury ON N0P 2L0,Restaurant,14-Oct-20
Burger King,Highway 401 Westbound W Tilbury ON N0P 2L0,Restaurant,01-Oct-20
Burn's Family Restaurant,265 St George St N Dresden ON N0P 1M0,Restaurant,04-Dec-20
Cajun Pepper 2 Restaurant,11-455 Grand Ave Chatham ON N7L 2X1,Restaurant,10-Sep-20
Campers Cove Family Campground,21097 Campers Cove Road Wheatley ON N0P 2P0,Restaurant,11-Sep-20
Casa Bella on the Thames,425 Riverview Dr S Chatham ON N7M 5J5,Restaurant,10-Dec-20
Cascades Casinos Chatham,615 Richmond St Chatham Ontario N7M 1R2,Restaurant,26-Aug-20
Central Tavern,24121 Winter Line Rd Pain Court ON N0P 1Z0,Restaurant,30-Jul-20
Centro,71 St. Clair St. Chatham ON N7L 3H8,Restaurant,17-Dec-20
Charlie's Cafe,45 Talbot Street W Blenheim ON N0P 1A0,Restaurant,10-Dec-20
Chatham Burgers,215 Grand Avenue W Chatham ON N7L 1C3,Restaurant,11-Dec-20
Chatham's Breakfast House & Grille Churrascaria,525 Grand Ave Chatham ON N7L 3Z2,Restaurant,02-Dec-20
Chilled Cork Food Emporium and Wine Bar,22 William Street S Chatham ON N7M 4S1,Restaurant,15-Dec-20
