Facility Name,Site Address,Facility Type,Last Inspection Date
7-Eleven,10 Grand Ave W Chatham ON N7L 1B5,Food Take Out,29-Jul-20
Adelaide's Kitchen,8773 Talbot Trail Blenheim ON N0P 1A0,Food Take Out,28-Jul-20
Bayview Market,11496 Wildwood Line Morpeth ON N0P 1X0,Food Take Out,21-Feb-20
Bill's International Pizza,1044 Dufferin Ave Wallaceburg ON N8A 2V8,Food Take Out,16-Dec-20
Blenheim Memorial Arena,199 King St Blenheim ON N0P 1A0,Food Take Out,29-Jan-20
Bothwell Area Sports Centre,860 Main St N Bothwell ON N0P 1C0,Food Take Out,19-Jun-19
Connie's Country Store,29575 St George Street N Dresden ON N0P 1M0,Food Take Out,20-Oct-20
DaSilva & Sons Bakery,561 Park Avenue W Chatham ON N7M 1X1,Food Take Out,18-Dec-20
Domino's Pizza,109A-60 McNaughton Avenue Wallaceburg Ontario N8A 1R9,Food Take Out,21-Oct-20
Domino's Pizza,4-122 Richmond Street Chatham ON N7M 1N9,Food Take Out,10-Jul-20
Dragon Chinese Food,170 McNaughton Ave W Chatham ON N7L 1R4,Food Take Out,22-Dec-20
Dresden Raceway Slots - Concession Stand,1244 North St Dresden ON N0P 1M0,Food Take Out,31-Jul-15
Erieview Ice Cream,1565 Mariners Road Erieau ON N0P 1N0,Food Take Out,12-Jul-19
Flame and Frostbite,4 Erie Street N Merlin ON N0P 1W0,Food Take Out,05-Sep-19
Franko's 12 Buck Pizza,18 Talbot Street W Blenheim ON N0P 1A0,Food Take Out,08-Dec-20
Frostbites,14 Talbot Street W Blenheim ON N0P 1A0,Food Take Out,23-Jun-20
Gerry's Pizza,1148 Dufferin Ave Wallaceburg ON N8A 2W1,Food Take Out,16-Dec-20
Godfather Pizza & Subs,470 St. Clair St Chatham ON N7L 3K8,Food Take Out,17-Dec-20
Harvey Variety and Pizza,42 Harvey Street Chatham ON N7M 1L8,Food Take Out,06-Feb-20
Highgate Baseball Canteen,271 Queen Street Highgate ON N0P 1T0,Food Take Out,06-Jun-19
KFC,1314 Dufferin Avenue Wallaceburg ON N8A 2W5,Food Take Out,02-Dec-20
Koka's Pizza,114 West Street Chatham ON N7M2R7,Food Take Out,20-Oct-20
Konstantino Pizzeria,3-350 Lacroix St Chatham ON N7M 2W3,Food Take Out,16-Dec-20
Kung Fu Chinese Food,403 Queen Street Chatham ON N7M 2J1,Food Take Out,15-Dec-20
Lite Bite's,87 London Rd Thamesville ON N0P 2K0,Food Take Out,12-Aug-20
Little Caesars Pizza,441 St. Clair St Chatham ON N7L 3K6,Food Take Out,25-Nov-20
