Facility Name,Site Address,Last Inspection Date,Facility Type
1298 Sushi,6-1298 Kingston Rd Pickering ON L1V 3M9,10-Dec-19,Restaurant
12welve Bistro & Tapwerks,244 Brock Street South Whitby ON L1N 4K1,22-Nov-19,Restaurant
2 Brothers Pizza,88 River St Sunderland ON L0C 1H0,23-Oct-19,Restaurant
2200 North,2200 Simcoe St N Oshawa ON L1H 7K4,,Restaurant
2200 North,2200 Simcoe St N Oshawa ON L1H 7K4,02-Sep-20,Restaurant
3 Steps Up Coffee House & Bistro,15-605 Brock St N Whitby ON L1N 8R2,25-Feb-20,Restaurant
9 Spices,92 Simcoe St N Oshawa ON L1G 4S2,04-Sep-20,Restaurant
A & W,1208 Dundas St E Whitby ON L1N 2K5,14-Dec-20,Restaurant
A & W Restaurant - Petro,201 Taunton Rd W Ajax ON L1T 3X6,28-Feb-20,Restaurant
A Mano Italian Eatery,90-274 Mackenzie Ave Ajax ON L1S 2E9,04-Dec-19,Restaurant
A Tavola Bistro,2-10 Meadowglen Dr Whitby ON L1R 3P8,17-Dec-19,Restaurant
Adobo Fresh Burrito,600-575 Laval Dr Oshawa ON L1J 6X2,18-Sep-20,Restaurant
Affy's Premium Grill,2-2200 Brock Rd Pickering ON L1X 2R2,14-Oct-20,Restaurant
Afghan Cuisine,A4-150 Kingston Rd E Ajax ON L1Z 1G5,29-Jun-20,Restaurant
Al Baik,607 Kingston Rd W Ajax ON L1S 6L9,12-Feb-20,Restaurant
Albatross Bar and Grill,825 Concession Rd 4 Beaverton ON L0K 1A0,,Restaurant
Alborj Restaurant,126 Brock St S Whitby ON L1N 4J8,13-Nov-19,Restaurant
AllStar Wings & Ribs,1899 Brock Rd Pickering ON L1V 4H7,06-Oct-20,Restaurant
Alnoor Kebab & Sweets Restaurant,44 Harwood Ave S Ajax ON L1S 2H6,25-Aug-20,Restaurant
Amici,1305 Pickering Pkwy Pickering ON L1V 1P4,04-Dec-19,Restaurant
Anchor Point Fusion Grill House,150 Water St Port Perry ON L9L 1B9,22-Jul-20,Restaurant
Anchor Point Fusion Grill House,1419 Durham Regional Hwy 2 Courtice ON L1E 2J6,04-Dec-20,Restaurant
Angelique's Family Restaurant,31 Barr Rd Ajax ON L1S 1Y1,08-Sep-20,Restaurant
Annandale Golf & Curling Club,221 Church St S Ajax ON L1S 0A1,23-Jul-19,Restaurant
Antonio's Italian Deli,105-107 Byron St S Whitby ON L1N 4P5,21-Jan-20,Restaurant
A-One Delights,109 King St W Bowmanville ON L1C 3Z9,02-Oct-20,Restaurant
Applebee's,155 Kingston Rd E Ajax ON L1S 7J4,16-Nov-20,Restaurant
Aroma Espresso Bar,4004-419 King St W Oshawa ON L1J 2K5,08-Jan-20,Restaurant
Asia Express,4-1615 Dundas St E Whitby ON L1N 2L1,24-Sep-20,Restaurant
Asia Hut,2-1450 Kingston Rd Pickering ON L1V 1C1,21-Jan-20,Restaurant
Atria Restaurant,59 King St E Oshawa ON L1H 1B4,10-Sep-20,Restaurant
Aunty's Recipe,34 Church Street South Ajax ON L1S 6B3,18-Sep-20,Restaurant
Avanti Trattoria,17 King St E Oshawa ON L1H 1A8,23-Nov-20,Restaurant
Ayren Links Golf Club,5210 Bethesda Rd Bowmanville ON L1C 3K5,10-Sep-19,Restaurant
Azian Cuisine,FS12-1365 Wilson Rd N Oshawa ON L1K 2Z5,07-Feb-20,Restaurant
B & L Country Kitchen,4-1 Douglas Rd Uxbridge ON L9P 1G9,21-Jan-20,Restaurant
Baba Jon Pizza & Shawarma,C05-2200 Brock Rd Pickering ON L1X 2B3,03-Dec-19,Restaurant
Balmoral Fish & Chips,8-250 Bayly St. W Ajax Ontario L1R3P2,04-Feb-20,Restaurant
Balti Indian Restaurant,115 Brock St N Whitby ON L1N 4H3,24-Dec-19,Restaurant
Bamboo Kitchen & Bar,155 Queen Street Port Perry ON L9L 1B8,21-Aug-20,Restaurant
Bamiyan Kabob,A26-1755 Pickering Pkwy Pickering ON L1V 6K5,22-Dec-20,Restaurant
Bangrak,53 A Baldwin St Whitby ON L1M 1A2,08-Sep-20,Restaurant
BarBurrito,2630 Simcoe St N Oshawa ON L1H 7K4,04-Feb-21,Restaurant
Barnaby's Deli Restaurant,1405 King St E Courtice ON L1E 2J6,10-Nov-20,Restaurant
Barney's,24 Harbour Park Cres Beaverton ON L0K 1A0,07-Nov-19,Restaurant
Baton Rouge Restaurant,2-25 Consumers Drive Whitby L1N 9 S2 ON,14-Feb-21,Restaurant
Baxters Landing,2030A-419 King St W Oshawa ON L1J 2K5,19-Nov-20,Restaurant
Beaverton Fish & Chips,300 Mara Rd Beaverton ON L0K 1A0,13-Jan-21,Restaurant
Beaverton Golf Course,B-B985 Concession Rd 3 Beaverton ON L0K 1A0,06-May-19,Restaurant
Beaverton Motel Sports Bar and Grill,501 Osborne St Beaverton ON L0K 1A0,03-Sep-20,Restaurant
Beer Drum,339 Malaga Rd Oshawa ON L1J 1N6,06-Nov-19,Restaurant
Belaggios Gelato,16-705 Kingston Rd Pickering ON L1V 6K3,09-Feb-21,Restaurant
Bella Notte Ristorante,1-3570 Brock St N Whitby ON L1N 5R5,04-Oct-19,Restaurant
Bellagio Pizza,5-75 Williamson Dr Ajax ON L1T 0K9,11-Feb-20,Restaurant
Berry Hill Food Company,82 King St W Oshawa ON L1H 1A6,28-Nov-19,Restaurant
Berry Hills Food Co.,1105-419 King St W Oshawa ON L1J 2K5,23-Dec-20,Restaurant
Big Bite Gourmet Burgers,7-1822 Whites Rd Pickering ON L1V 4M1,28-Sep-20,Restaurant
Big Bone BBQ and Wicked Wings,14-701 Rossland Rd E Whitby ON L1N 8Y9,06-Nov-20,Restaurant
Billie Jax Grill & Bar,1608 Dundas St E Whitby ON L1N 2K8,29-Jun-20,Restaurant
Bill's Place Family Restaurant,329 Simcoe St S Oshawa ON L1H 4H9,03-Feb-20,Restaurant
Bistro 238,9-1413 King St E Courtice ON L1E 2J6,09-Sep-20,Restaurant
Bistro 36,5-981 Brock Rd S Pickering ON L1W 3A4,03-Feb-21,Restaurant
Bistro Chanterelle,33 Division St Bowmanville ON L1C 2Z4,29-Nov-19,Restaurant
Blazin' Burgers,1888 Scugog St Port Perry ON L9L 1H6,01-Feb-21,Restaurant
Blossom Garden Chinese Restaurant,6-85 Kingston Rd E Ajax ON L1S 7J4,08-Jan-21,Restaurant
Bollocks Pub & Kitchen,1-30 Taunton Rd E Whitby ON L1R 0A1,30-Jun-20,Restaurant
Bollocks Pub & Kitchen,736 Kingston Rd Pickering ON L1V 1A8,11-Mar-20,Restaurant
Bon Select Bistro,3 Albert St S Sunderland ON L0C 1H0,03-Feb-20,Restaurant
Boss Shisha Lounge,11-843 King St W Oshawa ON L1J 2L4,20-Jul-20,Restaurant
Boston Pizza,951 Taunton Rd E Oshawa ON L1H 7K5,16-Mar-20,Restaurant
Boston Pizza,2372 Highway 2 Bowmanville ON L1C 4Z3,21-Jan-20,Restaurant
Boston Pizza,8 Salem Rd S Ajax ON L1S 7T7,09-Nov-20,Restaurant
Boston Pizza,500 Victoria St W Whitby ON L1N 9G4,13-Nov-19,Restaurant
Boston Pizza,20 Taunton Road East Whitby ON L1R 0A1,13-Nov-20,Restaurant
Boston Pizza,1899 Brock Rd Pickering ON L1V 4H7,09-Jun-20,Restaurant
Boston Pizza,284 Toronto St S Uxbridge ON L9P 0C5,30-Sep-19,Restaurant
Bowmanville Country Club,3845 Middle Rd Bowmanville ON L1C 3K8,24-Sep-20,Restaurant
Bowmanville Family Restaurant,231 King St E Bowmanville ON L1C 1P5,29-Jan-20,Restaurant
Bowmanville Marina - Deck Restaurant,70 Port Darlington Rd Bowmanville ON L1C 3K3,11-Dec-19,Restaurant
Break N Wings,44 Church St S Ajax ON L1S 6B3,05-Nov-19,Restaurant
Brew Wizards Board Game Cafe,74 Celina St Oshawa ON L1H 4N2,16-Jul-19,Restaurant
BRGR'S,474 Simcoe St S Oshawa ON L1H 4J8,28-Jul-20,Restaurant
Bridgette's Family Restaurant,45 Bloor St E Oshawa ON L1H 3L9,29-Oct-20,Restaurant
Brig - Dockside Restaurant,10 Lakebreeze Dr Newcastle ON L1B 1C1,02-Oct-19,Restaurant
Brooklin Pub,1-15 Baldwin St Brooklin ON L1M 1A2,23-Jul-20,Restaurant
Brooks Farm Market,122 Ashworth Rd Zephyr ON L0E 1T0,10-Aug-20,Restaurant
Brother's Ristorante,110 Lupin Dr Whitby ON L1N 1Y8,11-Dec-19,Restaurant
B-Town Halal BBQ & Sandwiches,6-42 King St E Bowmanville ON L1C 1N2,14-Jan-21,Restaurant
Buffalo Wild Wings Bar & Grill,J1-130 Kingston Rd E Ajax ON L1Z 1G1,14-Feb-20,Restaurant
Buffalo Wild Wings Grill & Bar,903 Taunton Rd E Oshawa ON L1H 7K5,05-Feb-21,Restaurant
Bull Dog Pub and Grill,600 Grandview St S Oshawa ON L1H 8P4,20-Jul-20,Restaurant
Burger Delight,1-100 Mearns Ave Bowmanville ON L1C 5M3,19-Jan-21,Restaurant
Burger King,1650 Victoria St E Whitby ON L1N 9L4,06-Nov-20,Restaurant
Burgerlicious,6 Old Kingston Rd Ajax ON L1T 2Z7,01-Sep-20,Restaurant
Burgers On Fleek,135 Harwood Ave N Ajax ON L1Z 1E8,15-Dec-20,Restaurant
Butchie's,939 Dundas St W Whitby ON L1N 2N8,08-Oct-20,Restaurant
Cafe Casa,7 William St. E Oshawa ON,18-Jan-21,Restaurant
Cafe Oshawa House,62 King St. West Oshawa ON L1H 1A6,31-Jan-20,Restaurant
Caffe Demetre,75 Consumers Drive Whitby ON L1N 1C4,22-Oct-19,Restaurant
Caldense Bakery,301 Dundas St W Whitby ON L1N 2M5,07-Jan-20,Restaurant
California Sandwiches-Drums N Flats,60 Randall Dr Ajax ON L1S 6L3,04-Sep-20,Restaurant
Canbe Foods,3 & 4-336 Rossland Rd E Ajax ON L1Z 0L9,07-Aug-20,Restaurant
Captain George Fish & Chips,25-1300 King St E Oshawa ON L1H 8J4,01-Oct-19,Restaurant
Captain George's Fish & Chips,219 King St E Bowmanville ON L1C 1P7,22-Nov-19,Restaurant
Captain George's Fish & Chips,355 Wentworth St W Oshawa ON L1J 6G5,04-Feb-20,Restaurant
Captain George's Fish & Chips,21 Brock St W Uxbridge ON L9P 1P5,29-Jan-20,Restaurant
Captain George's Fish & Chips,201 Dundas St W Whitby ON L1N 2M4,11-Feb-21,Restaurant
Captain George's Fish & Chips,112-1910 Dundas St E Whitby ON L1N 2L6,06-Mar-20,Restaurant
Captain George's Fish & Chips,21 Brock St W Uxbridge ON L9P 1P5,24-Sep-20,Restaurant
Captain George's Fish & Chips,161 Queen St Port Perry ON L9L 1B8,06-Mar-20,Restaurant
Captain George's Fish and Chips,282 King Ave E Newcastle ON L1B 1H5,14-Oct-20,Restaurant
Caribbean Heat,985 Brock Rd Pickering ON L1W 3A4,18-Jun-20,Restaurant
Casino Ajax,50 Alexander's Crossing Ajax Ontario L1Z 2E6,26-Feb-20,Restaurant
Casino Pizza,2000 Clements Rd Pickering ON L1W 4A1,08-Jun-20,Restaurant
Castle John’s Pub & Restaurant,11-1894 Scugog St Port Perry ON L9L 1H7,21-Sep-20,Restaurant
Castle John's Pub & Restaurant,789 King Ave Newcastle ON L1B 1K8,03-Jul-20,Restaurant
Cedar Point Market Restaurant,B-B27551 Regional Rd 23 Beaverton ON L0K 1A0,27-Aug-20,Restaurant
Centre Cafe,103-220 Dundas St W Whitby ON L1N 8M7,09-Sep-19,Restaurant
Chalet Restaurant,693 Queen St Port Perry ON L9L 1K6,20-Feb-20,Restaurant
Champ's Caribbean Restaurant,1288 Ritson Rd N Oshawa ON L1G 7Z9,03-Jan-20,Restaurant
Charley Ronicks,3050 Garden St Whitby ON L1R 2G7,17-Dec-20,Restaurant
Charloma Star African & Caribbean Restaurant,A3-1121 Dundas St E Whitby ON L1N 2K5,29-Jan-21,Restaurant
Charminar Indian Cuisine,103A-114 Dundas St E Whitby ON L1N 2H7,27-Feb-20,Restaurant
Chasers Bar and Grill,21-1300 King St E Oshawa ON L1H 8J4,16-Dec-20,Restaurant
Chatterpaul's,3500 Brock St N Whitby ON L1R 3J4,14-Nov-19,Restaurant
Chen's China House,3-1 Douglas Rd Uxbridge ON L6P 1S9,16-Sep-20,Restaurant
Cherry Downs Golf Club,2110 Seventh Concession Rd Pickering ON L1Y 1A2,24-Sep-19,Restaurant
Chuck E. Cheese,Bldg J-75 Consumers Dr Whitby ON L1N 9S2,04-Mar-20,Restaurant
Chucks Roadhouse,283 Kingston Rd E Ajax ON L1Z 0K5,16-Sep-20,Restaurant
Chuck's Roadhouse,1650 Victoria St E Whitby ON L1N 9M3,21-Dec-20,Restaurant
Chuck's Roadhouse,700 Taunton Road East Whitby ON L1R 0K6,23-Sep-19,Restaurant
Chuck's Roadhouse,780 Kingston Rd Pickering ON L1V 0C5,01-Oct-20,Restaurant
Chucks Roadhouse Bar & Grill,1-1414 King St E Courtice ON L1E 2B1,14-Jan-20,Restaurant
Chuck's Roadhouse Bar & Grill,14375 Simcoe St Port Perry ON L9L 2C8,21-Feb-20,Restaurant
Chuck's Roadhouse Bar & Grill,14375 Simcoe St Port Perry ON L9L 2C8,06-Oct-20,Restaurant
Churchill's Fish & Chips,12A & 12B-250 Taunton Rd E Oshawa ON L1G 7T1,19-Nov-19,Restaurant
Church's Chicken,1549 Dundas St E Whitby ON L1N 5R4,28-Jul-20,Restaurant
Churrasco of Portugal,1-95 Middlecote Dr Ajax ON L1T 0K3,10-Mar-20,Restaurant
Chutney Naan Kabob,8-475 Westney Rd N Ajax ON L1T 3H4,17-Jun-20,Restaurant
Chuuk Restaurant,774 Liverpool Rd Pickering ON L1W 1R9,20-Nov-19,Restaurant
Ciao Amici,8 Bond St W Oshawa ON L1R 1A2,12-Apr-19,Restaurant
Cielito Lindo,6-1660 Kingston Rd Pickering ON L1V 5R2,09-Jan-19,Restaurant
Cindy's Cafe,19 Brock St W Uxbridge ON L9P 1P5,,Restaurant
Claremont Country Depot,1750 Hoxton Street Claremont ON L1Y 1A3,21-Aug-20,Restaurant
Clarington Museums and Archives,37 Silver St Bowmanville ON L1C 3A8,02-Dec-19,Restaurant
Cocktail House Bar & Lounge,11&12-2200 Brock Rd N Pickering ON L1X 2R2,02-Aug-19,Restaurant
Coffee Culture Cafe & Eatery,555 Rossland Rd E Oshawa ON L1K 1K8,29-Oct-20,Restaurant
Col. McGrady's Pub & Grill,44 Brock St W Uxbridge ON L9P 1P3,19-Jan-21,Restaurant
Col. Mustard's Bar & Grill,15 Water St Port Perry ON L9L 1J2,06-Oct-20,Restaurant
Colala Poutine & Bar,1565 Regional Rd 15 Beaverton ON L0K 1A0,14-Oct-20,Restaurant
Comino's Pizza and Wings,124-1910 Dundas St E Whitby ON L1N 2L6,11-Jan-21,Restaurant
Cool Cow Ice Cream,361 Simcoe St Beaverton ON L0K 1A0,10-Jun-20,Restaurant
Copper Branch,122-2377 Durham Regional Highway 2 Bowmanville ON L1C 5A5,16-Oct-19,Restaurant
Copper Branch,66 Baldwin St N Brooklin ON L1M 1A3,15-Jan-20,Restaurant
Copperworks Brew Pub & Restaurant,7 Division St Bowmanville ON L1C 2Z2,24-Sep-20,Restaurant
Coppins Corners Diner,4029 Brock Rd Uxbridge ON L9P 1R4,02-Oct-20,Restaurant
Coppinwood Golf Club,2324 Concession 4 Goodwood ON L0C 1A0,22-Aug-19,Restaurant
Cora Breakfast & Lunch,1755 Pickering Pkwy Pickering ON L1V 6K5,03-Feb-21,Restaurant
Cora Breakfast & Lunch,E6-150 Taunton Rd W Whitby ON L1R 3H8,02-Oct-20,Restaurant
Corrado's,38 Baldwin St Brooklin ON L1M 1A2,22-Sep-20,Restaurant
Cosy's Diner,6-500 Rossland Rd W Oshawa ON L1J 3H2,04-Feb-21,Restaurant
Country Perks Bar & Grill,1-1648 Taunton Rd Hampton ON L0B 1J0,26-Aug-20,Restaurant
Country Style Donuts,1185 Regional Rd 21 Manchester ON L9L 1B5,15-Sep-20,Restaurant
Courtyard and Towneplace Suites by Marriott Oshawa,1011 Bloor St E Oshawa ON L1H 7K6,01-Feb-21,Restaurant
Coyote Jack's Bar & Grill,64 Harwood Ave S Ajax ON L1S 2H6,16-Jan-20,Restaurant
Crazy Jack Bar and Grill,19 King St W Oshawa ON L1H 1A1,06-Nov-20,Restaurant
