Facility Name,Site Address,Last Inspection Date,Facility Type
2 4 1 Pizza,6-465 Bayly St W Ajax ON L1S 6M7,06-Aug-20,Food Take Out
2708347 Ontario Ltd,12-12 Bayly St W Ajax ON L1S,23-Jan-20,Food Take Out
6ixside Burger,18-1450 Kingston Rd Pickering ON L1V 1C1,10-Feb-21,Food Take Out
A & W,278 Toronto St S Uxbridge ON L9P 1R1,29-Jul-20,Food Take Out
A & W,FC2-419 King St W Oshawa ON L1J 2K5,22-Jan-20,Food Take Out
A & W,4-310 Harwood Ave S Ajax ON L1S 2J1,05-Feb-21,Food Take Out
A & W,8-1355 Kingston Rd Pickering ON L1V 1B8,16-Jan-20,Food Take Out
A & W,915 Taunton Rd E Oshawa ON L1H 7K5,21-Feb-20,Food Take Out
A & W,103-5949 Baldwin St S Brooklin ON L1M 2J7,27-Jan-20,Food Take Out
A & W Restaurant - Petro,201 Taunton Rd W Ajax ON L1T 3X6,28-Feb-20,Food Take Out
Afghan Kebab & Shawarma,4-734 Kingston Rd Pickering ON L1V 1A8,03-Jul-20,Food Take Out
AGP Convenience Video & Fast Food,20-1801 Harwood Ave N Ajax ON L1T 0K8,28-Feb-20,Food Take Out
Ah-So Sushi,501-1355 Kingston Rd Pickering ON L1V 1B8,26-Nov-19,Food Take Out
Ah-So Sushi,2-360 Taunton Rd E Whitby ON L1R 0H4,13-Aug-20,Food Take Out
Al-Iman Grocers and Kitchen,9-1 Rossland Rd. W Ajax ON L1Z 1Z2,11-Jun-20,Food Take Out
Al's Famous Pizza,1550 Bowmanville Ave Bowmanville ON L1C 4W7,06-Jan-21,Food Take Out
Ann's Deli,650 King Street East Oshawa ON L1H 1G5,28-Jan-20,Food Take Out
Arby's,300 Taunton Rd E Oshawa ON L1G 7T3,30-Dec-20,Food Take Out
Ate Wanders,31 Bond St E Oshawa ON L1G 1A8,05-Mar-20,Food Take Out
Bang Bang Burrito,4-1812 Simcoe St N Oshawa ON L1G 4Y2,15-Jul-20,Food Take Out
Bar Burrito,15-1383 Wilson Rd N Oshawa ON L1K 2Z5,28-Jan-21,Food Take Out
BarBurrito,13A-15 Westney Rd N Ajax ON L1T 1P5,02-Mar-20,Food Take Out
BarBurrito,2-1340 Kingston Rd Pickering ON L1V 3M9,25-Feb-20,Food Take Out
