Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Cobourg,1 2 3 RESTAURANT TAKEOUT,,17-Dec-2020,441 KING ST E COBOURG ON K9A 1M5
Cobourg,241 PIZZA,,,1-1 STRATHY RD COBOURG ON K9A 5J6
Dysart Township,241 PIZZA,,23-Mar-2020,167 HIGHLAND ST HALIBURTON ON K0M 1S0
Campbellford,52 NORTH,,17-Jun-2020,52 FRONT ST N CAMPBELLFORD ON K0L 1L0
Lindsay,6 FLAGS CHINESE THAI AND SUSHI RESTAURANT,,07-Dec-2020,F7-449 KENT ST W LINDSAY ON
Oakwood,7 & 46 SHOP,,,311 HWY 7 OAKWOOD ON K0M 2M0
Warkworth,7 HILLS COMMUNITY PANTRY,,,60 MAIN ST WARKWORTH ON K0K 3K0
Port Hope Municipality,A PLUS CONVENIENCE,,,68 WELLINGTON ST PORT HOPE ON L1A 4B6
Kinmount,A SLICE OF THE NORTH,,,4090 CTY RD 121 KINMOUNT ON K0M 2A0
Cobourg,A TASTE OF AGRA,,03-Mar-2020,20 KING ST W COBOURG ON K9A 2L9
Lindsay,A&W - LINDSAY,,04-Aug-2020,363 KENT ST W LINDSAY ON K9V 2Z7
Cobourg,A&W - COBOURG,,20-Feb-2020,FS4-1111 ELGIN ST COBOURG ON K9A 5H7
Guilford Township,ABBEY GARDENS COMMUNITY TRUST,,29-Oct-2020,1012 GARDEN GATE DR HALIBURTON ON K0M 1S0
Guilford Township,ABBEY RETREAT CENTRE,,15-Apr-2020,1150 GARDEN GATE DR HALIBURTON ON K0M 1S0
Lindsay,ADELAIDE PLACE - FOOD SAFETY,,16-Apr-2020,84 ADELAIDE ST S LINDSAY ON K9V 0G6
Wilberforce,AGNEWS GENERAL STORE,,21-Apr-2020,2274 LOOP RD WILBERFORCE ON K0L 3C0
Ops Township,AIRPORT VIEW RESTAURANT,,28-Sep-2020,3187 HWY 35 N LINDSAY ON K9V 4R1
Dysart Township,AJ LARUE ARENA AND COMMUNITY CENTRE,,19-Jun-2020,728 MOUNTAIN ST HALIBURTON ON K0M 1S0
Dysart Township,AJ LARUE ARENA AND COMMUNITY CENTRE - SNACK BAR,,19-Jun-2020,728 MOUNTAIN ST HALIBURTON ON K0M 1S0
Cobourg,ALE HOUSE,,16-Oct-2020,246 DIVISION ST COBOURG ON K9A 2M4
Lindsay,ALEXANDRA PUBLIC SCHOOL,,,65 SUSSEX ST N LINDSAY ON K9V 4H9
Harcourt Township,ALGONQUIN COOKHOUSE,,08-Dec-2020,3907-LOOP RD HARCOURT ON K0L 1X0
McClintock Township,ALGONQUIN LAKESIDE INN,,14-Apr-2020,4382 HWY 60 ALGONQUIN HIGHLANDS ON P0A 1H0
McClintock Township,ALGONQUIN OUTFITTERS,,,1035 ALGONQUIN OUTFITTERS RD ALGONQUIN HIGHLANDS ON P0A 1H0
Bexley Township,ALLIED'S DINER,,19-Nov-2020,1587 CTY RD 48 KIRKFIELD ON K0M 2B0
Bexley Township,ALLIES CHIP TRUCK,,13-May-2020,1587 CTY RD 48 KIRKFIELD ON K0M 2B0
Port Hope Municipality,ALMOST PERFECT,,,771 CTY RD 2 PORT HOPE ON L1A 3V6
Cobourg,ALMOST PERFECT,,,8-513 DIVISION ST COBOURG ON K9A 5G6
Roseneath,ALNWICK TWP COMMUNITY CENTRE,,,9059 HWY 45 ROSENEATH ON K0K 2X0
Roseneath,ALPINE RESORT,,08-Sep-2020,449 ISLAND VIEW RD ROSENEATH ON K0K 2X0
Ops Township,ALPINE TRAILER PARK,,,46 ALPINE ST LINDSAY ON K9V 4R1
Cardiff Township,AMPM OUTDOOR GOURMET - MOBILE,,22-Oct-2020,4071 ELEPHANT LAKE RD HARCOURT ON K0L 1X0
Campbellford,ANTONIA'S BISTRO,,,28 DOXSEE AVE S CAMPBELLFORD ON K0L 1L0
Campbellford,APOLLO'S PIZZERIA,,23-Dec-2020,92 BRIDGE ST CAMPBELLFORD ON K0L 1L0
Brighton,APPLEFEST LODGE - Retirement Home,,03-Dec-2020,120 ELIZABETH ST P.O. BOX 850 BRIGHTON ON K0K 1H0
Lindsay,ARAMARK-FROST FLEMING - FROST CAMPUS,,,200 ALBERT ST LINDSAY ON K9V 5E6
Port Hope Municipality,ARBY'S,,02-Mar-2020,1 PHILLIPS RD PORT HOPE ON L1A 4B6
Minden,ARCHIE STOUFFER ELEMENTARY SCHOOL,,,12 VINTAGE CRES MINDEN ON K0M 2K0
Woodville,ARGYLE CHIP TRUCK,,04-Jun-2020,264 GLENARM RD WOODVILLE ON K0M 2T0
Woodville,ARGYLE FARM MARKET,,28-May-2020,264 GLENARM RD WOODVILLE ON K0M 2T0
Lindsay,ARMOURY PARK,,,210 KENT ST W LINDSAY ON K9V 2Y2
Campbellford,ARON THEATRE,,,54 BRIDGE ST CAMPBELLFORD ON K0L 1L0
Cobourg,ARTHUR'S PUB - BEST WESTERN-COBOURG,,07-Aug-2020,930 BURNHAM ST COBOURG ON K9A 2X9
Cobourg,ASH BROOK GOLF CLUB,,14-Sep-2020,7215 DALE RD PORT HOPE ON L1A 3Z3
Carden Township,ASM ENTERPRIZE,,,27 FOX BEACH LN SEBRIGHT ON L0K 1W0
Lindsay,"AUK'S LODGE, THE",,,200 ALBERT ST W LINDSAY ON K9V 5E6
Bethany,AUNT LAURA'S TEAROOM,,,1402 HWY 7A BETHANY ON L0A 1A0
Colborne,AUTO TRADERS,,,154 BIG APPLE DR COLBORNE ON K0K 1S0
Port Hope Municipality,AVANTI PIZZA,,23-Jun-2020,10 ONTARIO ST PORT HOPE ON L1A 2T6
Mariposa Township,AWW CRUMBS,,,1058 SALEM RD LITTLE BRITAIN ON K0M 2C0
Campbellford,B & C VARIETY,,,15 BRIDGE ST W CAMPBELLFORD ON K0L 1L0
Cobourg,B & D LIQUIDATION AND AUCTION SERVICES INC.,,,UNIT 2-20 STRATHY RD. COBOURG ON K9A 5J7
Somerville Township,BADDOW COMMUNITY CENTRE,,,60 SOMERVILLE RD FENELON FALLS ON K0M 1N0
Dysart Township,BAKED AND BATTERED,,17-Aug-2020,128 HIGHLAND ST HALIBURTON ON K0M 1S0
Omemee Village,BAKER'S CAKES AND MORE,,,14 CHARLOTTE CRES OMEMEE ON K0L 2W0
