dim_profile_of_health_regions_2247,member_id_profile_of_health_regions_2247,dim_sex_3_member_id_1_total_sex,dim_sex_3_member_id_2_male,dim_sex_3_member_id_3_female
"Population, 2016",1,536917,...,...
Population density per square kilometre,6,480.6,...,...
Total - Age groups and average age of the population - 100% data,8,536920,262525,274390
0 to 14 years,9,87115,44815,42305
0 to 4 years,10,28275,14565,13710
5 to 9 years,11,29355,15020,14335
10 to 14 years,12,29485,15230,14255
15 to 64 years,13,356895,176610,180280
15 to 19 years,14,32130,16615,15515
20 to 24 years,15,36715,18870,17840
25 to 29 years,16,35720,17915,17805
30 to 34 years,17,34725,17200,17520
35 to 39 years,18,32400,15785,16610
40 to 44 years,19,32755,15855,16905
45 to 49 years,20,36345,17690,18655
50 to 54 years,21,41950,20630,21315
55 to 59 years,22,40075,19725,20350
60 to 64 years,23,34080,16320,17765
65 years and over,24,92910,41105,51805
65 to 69 years,25,29340,13860,15485
70 to 74 years,26,21055,9925,11130
75 to 79 years,27,16115,7305,8805
80 to 84 years,28,12470,5195,7275
85 years and over,29,13930,4815,9110
85 to 89 years,30,8685,3260,5425
90 to 94 years,31,4165,1315,2850
95 to 99 years,32,960,215,740
100 years and over,33,125,25,95
Married or living common law,60,246910,123480,123425
Married,61,208705,104375,104325
Living common law,62,38205,19105,19105
Not married and not living common law,63,202890,94230,108660
Never married,64,131065,70925,60140
Separated,65,14680,6225,8455
Divorced,66,28945,11460,17490
Widowed,67,28200,5625,22570
Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,100,530635,259740,270890
English only,101,489915,242380,247535
French only,102,375,160,220
English and French,103,30525,13275,17250
Neither English nor French,104,9820,3925,5890
Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,661,441055,214050,227005
Number of total income recipients aged 15 years and over in private households - 100% data,662,422255,204960,217290
Median total income in 2015 among recipients ($),663,32917,39174,28056
Percentage with total income,694,95.7,95.8,95.7
"Under $10,000 (including loss)",695,60815,27315,33500
"$10,000 to $19,999",696,74265,29655,44610
"$20,000 to $29,999",697,61205,24890,36315
"$30,000 to $39,999",698,48720,22505,26215
"$40,000 to $49,999",699,42880,20780,22100
"$50,000 to $59,999",700,33390,17370,16020
"$60,000 to $69,999",701,25570,14430,11140
"$70,000 to $79,999",702,18820,11295,7520
"$80,000 to $89,999",703,14550,8880,5670
"$90,000 to $99,999",704,12630,7210,5420
"$100,000 and over",705,29410,20630,8780
"$100,000 to $149,999",706,20320,13875,6445
"$150,000 and over",707,9090,6755,2335
Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,724,441055,214050,227005
Without employment income,725,134160,54685,79475
With employment income,726,306895,159370,147525
Total - Citizenship for the population in private households - 25% sample data,1135,527930,258710,269225
Canadian citizens,1136,497485,244095,253390
Not Canadian citizens,1139,30445,14615,15835
Total - Immigrant status and period of immigration for the population in private households - 25% sample data,1140,527930,258710,269225
Non-immigrants,1141,391330,193905,197430
Immigrants,1142,130365,61495,68875
Before 1981,1143,50625,23635,26990
1981 to 1990,1144,16565,8115,8450
1991 to 2000,1145,23695,11370,12330
2001 to 2010,1146,26330,12075,14255
2001 to 2005,1147,12915,5880,7040
2006 to 2010,1148,13410,6190,7215
2011 to 2016,1149,13150,6300,6855
Non-permanent residents,1150,6230,3310,2915
