Inspection Result,Facility Name,Site Address,Last Inspection Date
,1515 Brown Barrel Tap & Grill,1515 Upper Ottawa St Hamilton ON L8W 3E2 Canada,30-Sep-20
,1-876 Bar and Grill,306 Barton St E Hamilton ON L8L 2X5 Canada,11-Aug-20
,"2 for 1 Pizza, Wings & Subs",158 Kenilworth Ave N Hamilton ON L8H 4R8 Canada,05-Oct-20
,2416454 Ontario Inc.,2416 Barton St E Hamilton ON L8E 2W7 Canada,
,33 Bowen,33 Bowen St Hamilton ON L8N 3Y6 Canada,01-Dec-20
,365 Convenience,979 King St. E Hamilton Ontario,26-May-20
,4 Seasons Convenience,990 Upper Wentworth St Hamilton ON L9A 4V9 Canada,14-Jan-20
,447 Wing (RCAF),3210 Homestead Dr Glanbrook ON L0R 1W0 Canada,13-Nov-20
,5 Alarm Wings and Fish & Chips,553 Upper Wentworth Str Hamilton ON L9A 4T8 Canada,23-Oct-20
,5 Kiddos Food Trip,811 King Street East Hamilton ON Canada,11-Nov-20
,50 Point Conservation Coffee Shop,1479 Baseline Rd Stoney Creek ON L8E 5G4 Canada,23-Jun-20
,50 Point Market,15 Lockport Way Stoney Creek ON L8E 0H8 Canada,18-Jan-21
,541 Eatery and Exchange,541 Barton St E Hamilton ON L8L 2Z2 Canada,11-Dec-20
,7 Days Variety,191 WILSON ST HAMILTON ON L8R 1E3 Canada,13-Feb-20
,77BUY CONVENIENCE STORE,172 KING ST. W HAMILTON ON L8R 3J6 Canada,29-Oct-20
,7-Eleven,622 Upper Wellington St Hamilton ON L9A 3R1 Canada,01-Feb-21
,7-Eleven,415 Melvin Ave Hamilton ON L8H 2L4 Canada,17-Sep-20
,8090 Teahouse,149 King St E Hamilton ON L8N 1B1 Canada,23-Nov-19
,97 General Store,1817 Regional Rd 97 Flamborough ON N1R 5S7 Canada,24-Nov-20
,A & J Sugar Bowl,124 MacNab St N Hamilton ON L8R 2M1 Canada,28-Aug-19
,A & W,194 King St W Hamilton ON L8P 1A5 Canada,05-Jan-21
,A & W,931 Upper James St Hamilton ON L9C 3A6 Canada,11-Jan-21
,A & W,165 Highway 8 Stoney Creek ON L8G 1C4 Canada,19-Oct-20
,A & W,190 Barton St E. Hamilton ON L8L 2W8 Canada,12-Jan-21
,A & W,10 Legend Ct Ancaster ON L9K 1J3 Canada,08-Sep-20
,A & W (Eastgate),75 Centennial Pkwy Hamilton ON L8E 2P2 Canada,11-Sep-20
,A & W Restaurant,L1-1275 Barton St E. Hamitlon ON L8H 2V4 Canada,14-Jan-21
,A & W Rymal Road,2250 Rymal Rd E Glanbrook ON L0R 1P0 Canada,17-Nov-20
,"A Salt N Battered Fish and Chips, Plate #016",601 Burlington Street Hamilton ON Canada,
,A True North BBQ Plate#50,58 Elm Hill Blvd ANCASTER ON Canada,09-Jun-20
,A&W,999 Upper Wentworth St Hamilton ON L9A 4X5 Canada,27-Jul-20
,A&W,99 Dundas St E Waterdown Ontario L9H 0C2,16-Oct-20
,A-1 BBQ Family Restaurant,1435 Main St E Hamilton ON L8K 1C4 Canada,01-Oct-20
,A-1 Pizza Centre,Unit 2-2 Castlewood Boulevard Hamilton ON L9H 7M8 Canada,14-Jan-21
,Aadhya Food Inc,700 QUEENSTON RD HAMILTON,08-Oct-20
,Aberdeen Gardens,330 Dundurn St S Hamilton ON L8P 4L6 Canada,08-Feb-21
,Aberdeen Tavern,432 Aberdeen Ave Hamilton ON L8P 2S2 Canada,28-May-20
,Abington Crt,1500 Main St E Hamilton ON L8K 1E1 Canada,25-Nov-20
,Absinthe,38 King William St Hamilton ON L8N 4A9 Canada,30-Jun-20
,Academica Hall,242 James St N Hamilton ON L8R 2L3 Canada,08-Oct-20
,Access Community Church-Kitchen,140 Hunter St. E Hamilton ON L8N 4H1 Canada,04-Feb-21
,Ace Sports Bar,1120 Fennell Ave E Hamilton ON L8T 1S5 Canada,07-Oct-20
,Across the Pond British Imports,128 Parkdale Ave N Hamilton ON L8H 5X2 Canada,11-Mar-20
,Adelaide Hoodless School,71 Maplewood Ave Hamilton ON L8M 1W7 Canada,26-Nov-19
,Adelaide's Residence,7 Blake St Hamilton ON L8M 2S4 Canada,26-Nov-20
,Admiral Inn Restaurant,149 Dundurn St N Hamilton ON L8R 3M1 Canada,16-Sep-20
,Adobo Queen,2-82 Queen St N Hamilton ON L8R 2V4 Canada,07-Jul-20
,Adventure Golf -Big Al's,Adventure-580 Van Wagner's Beach Rd Hamilton ON L9E 3L8 Canada,27-Jul-20
,AFC Sushi (Fortino's),102 Hwy 8 Stoney Creek - Lower ON L8G 4H3 Canada,26-Aug-20
