Facility Name,Site Address,Community,Facility Type,Last Inspection Date,Inspection Result
807 Cafe (Fort Vermilion),177 Hwy 17 Vermilion Bay ON P0V 2V0 Canada,Machin,Restaurant,,
901 West Side,901 Ottawa St Keewatin ON P0X 1C0 Canada,Kenora,Restaurant,,
A&W - Dryden,580 Government St Dryden ON P8N 2Z1 Canada,Dryden,Restaurant,,
A&W - Kenora,924 5th St S Kenora ON P9N 1L8 Canada,Kenora,Restaurant,09-Jul-20,
Anderson's Homestead Golf Course,1106 Johnston Rd Dryden ON P8N 2Y5 Canada,Dryden,Restaurant,,
Antonio's,212 Howey St Red Lake ON P0V 2M0 Canada,Red Lake,Restaurant,,
Ash Rapids Lodge,Lake Of The Woods Kenora ON P9N 3X1 Canada,Fly-In/Boat-In,Restaurant,,
Atikokan Hotel - Restaurant,400 Front St Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,,
Atikokan Nite Club Tavern - Restaurant,214 Burns St Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,,
B & B Road House Bar and Grill,349 Government St Dryden ON P8N 2Z4 Canada,Dryden,Restaurant,22-Oct-20,
Backwoods Grill,11-539 Government St Dryden ON P8N 2P6 Canada,Dryden,Restaurant,,
Balmer Hotel Restaurant,1 Fifth St Balmertown ON P0V 1C0 Canada,Red Lake,Restaurant,,
Barwick Village Restaurant,103 Main St Barwick ON P0W 1A0 Canada,Chapple,Restaurant,,
Bayview Hotel/Motel,35 Spruce St Vermilion Bay ON P0V 2V0 Canada,Machin,Restaurant,,
Big John's Mineshaft Tavern,5760 Hwy 71 Sioux Narrows ON P0X 1N0 Canada,Sioux Narrows,Restaurant,21-May-20,
Birch Dale Lodge,225 Eagle Lake Dr Waldhof ON P0V 2X0 Canada,Machin,Restaurant,,
Bob's Burgers,152 Main St S Kenora ON P9N 1S9 Canada,Kenora,Restaurant,28-Jan-20,
Boston Pizza - Fort Frances,840 Kings Hwy Fort Frances ON P9A 2X4 Canada,Fort Frances,Restaurant,,
Boston Pizza - Kenora,223 Main St S Kenora ON P9N 1T3 Canada,Kenora,Restaurant,10-Mar-20,
Burger Scoop/Robins Donuts,109 Main St Ignace ON P0T 1T0 Canada,Ignace,Restaurant,,
Canaasian,418 Scott St Fort Frances ON P9E 1H2 Canada,Fort Frances,Restaurant,,
Casey's Bar & Grill,220 Lakeview Dr Kenora ON P9N 0H2 Canada,Kenora,Restaurant,,
Chicken Chef - Sioux Lookout,A-45 King St Sioux Lookout ON P8T 1B9 Canada,Sioux Lookout,Restaurant,10-Nov-20,
Circle D Restaurant,76 Coral St Emo ON P0W 1E0 Canada,Emo,Restaurant,09-Oct-20,
Clarion Lakeside Inn and conference center Water Side Restaurant,470 1st Ave. S Kenora ON P9N 1W5 Canada,Kenora,Restaurant,,
Clearwater Bay Market,Hwy 17 W Clearwater Bay ON P0X 1S0 Canada,Unorganized District of Kenora,Restaurant,,
Copper River Inn,700 Stewart St Fort Frances ON P9A 2Y2 Canada,Fort Frances,Restaurant,,
Country Corner Cafe,Hwy 11 Stratton ON P0W 1N0 Canada,Morley,Restaurant,,
Crystal Harbour Resort,5340 Hwy 71 Sioux Narrows ON P0X 1N0 Canada,Sioux Narrows,Restaurant,,
Dairy Queen - Dryden,175 Government Rd Dryden ON P8N 2W9 Canada,Dryden,Restaurant,17-Aug-20,
Dairy Queen - Fort Frances,982 Kings Hwy Fort Frances ON P9A 2X4 Canada,Fort Frances,Restaurant,,
Days Inn Forest Dining Room & Capricorn Lounge,920 Hwy 17 E Kenora ON P9N 3X1 Canada,Kenora,Restaurant,,
Dick's Grill House,12 First Ave Sioux Lookout ON P8T 1A1 Canada,Sioux Lookout,Restaurant,,
Dino's Restaurant,206 Second St S Kenora ON P9N 1G2 Canada,Kenora,Restaurant,,
Dryden Ski Club,455 Ski Hill Rd Dryden ON P8N 1T5 Canada,Dryden,Restaurant,16-Jan-20,
Emo Inn,5916 Hwy 11 & 71 Emo ON P0W 1E0 Canada,Emo,Restaurant,,
English Shores Outfitters,Hwy 17 E Ignace ON P0T 1T0 Canada,Ignace,Restaurant,,
Fifth Avenue Bar & Grill,68 Front St Sioux Lookout ON P0V 2T0 Canada,Sioux Lookout,Restaurant,05-Nov-20,
Forest Inn & Conference Centre,11 May St Sioux Lookout ON P8T 1A3 Canada,Sioux Lookout,Restaurant,19-Nov-20,
From the Grind Up,221 Scott St Fort Frances ON P9A 1G6 Canada,Fort Frances,Restaurant,,
Gartch's International Pub,298 Scott St Fort Frances ON P9A 1G7 Canada,Fort Frances,Restaurant,,
Green's BBQ Bar,1291 Hwy 71 Nestor Falls ON P0X 1K0 Canada,Nestor Falls,Restaurant,,
Harbourage Restaurant,1230 2nd St E Fort Frances ON P9A 1P4 Canada,Fort Frances,Restaurant,,
Hing's Chinese Restaurant,101 Matheson St S Kenora ON P9N 1T9 Canada,Kenora,Restaurant,,
Ho Ho Restaurant - Dryden,64 Van Horne Ave Dryden ON P8N 2B1 Canada,Dryden,Restaurant,,
Ho Ho Restaurant - Kenora,119 Matheson St S Kenora ON P9N 1T7 Canada,Kenora,Restaurant,,
HoJoe Coffee & Books,103 Main St S Kenora ON P9N 1T1 Canada,Kenora,Restaurant,,
Hong Kong House Restaurant,34 Whyte Ave Dryden ON P8N 1Z3 Canada,Dryden,Restaurant,26-Nov-20,
Hotel 105 Bar & Grill,44 Hwy 105 N Ear Falls ON P0V 1T0 Canada,Ear Falls,Restaurant,,
Howey Bay Motel,26 Hwy 105 Red Lake ON P0V 2M0 Canada,Red Lake,Restaurant,,
Husky Restaurant and Truck Stop,379 Government St Dryden ON P8N 2Z5 Canada,Dryden,Restaurant,04-Mar-20,
Ignace Golf Course,17 Golf Course Rd Ignace ON P0T 1T0 Canada,Ignace,Restaurant,,
Ignace Recreation Complex Kitchen,200 Beaver St Ignace ON P0T 1T0 Canada,Ignace,Restaurant,,
Ignace Tavern,300 Nash St Ignace ON P0T 1T0 Canada,Ignace,Restaurant,,
Iron and Clay,8 Government Dock Rd Sioux Narrows ON Canada,Sioux Narrows,Restaurant,02-Jul-20,
Jade Restaurant,17 Hwy 105 Red Lake ON Canada,Red Lake,Restaurant,,
Kaweesin Restaurant & Catering,3312 Hwy 644 Hudson ON P0V 1X0 Canada,Sioux Lookout,Restaurant,15-Jan-20,
Kenora Golf and Country Club,1000 Golf Course Rd Kenora ON P9N 3X5 Canada,Kenora,Restaurant,,
Kentucky Fried Chicken - Dryden,400 Government St Dryden ON P8N 2P5 Canada,Dryden,Restaurant,18-Aug-20,
Kentucky Fried Chicken - Kenora,923 Hwy 17 Kenora ON P9N 1L9 Canada,Kenora,Restaurant,,
Kitchen Creek Golf Club,Hwy 11 Fort Frances ON P9A 3M2 Canada,Fort Frances,Restaurant,,
K-Town Kafe,721 1st St S Kenora ON P9N 1E3 Canada,Kenora,Restaurant,23-Nov-20,
La Place Rendezvous,1201 Idylwild Dr Fort Frances ON P9A 3M3 Canada,Fort Frances,Restaurant,07-Dec-20,
Lake of the Woods Brewery,350 Second St S Kenora ON P9N 1G5 Canada,Kenora,Restaurant,23-Jan-20,
Lakeview Restaurant,127 Howey St Red Lake ON P0V 2M0 Canada,Red Lake,Restaurant,,
Lake-Vu Restaurant & Gas Station,740 Lakeview Dr Kenora ON P9N 3P7 Canada,Kenora,Restaurant,,
Lamplighter Motel,326 Hwy 72 Sioux Lookout ON P8T 0A7 Canada,Sioux Lookout,Restaurant,03-Dec-20,
Le Hoa Oriental Restaurant,216 Scott St Fort Frances ON P9A 1G7 Canada,Fort Frances,Restaurant,14-Dec-20,
Little Amik Grill,300 8th St E Fort Frances ON Canada,Fort Frances,Restaurant,,
Little Darlings,115 Main St Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,,
Little Falls Recreation Centre,100 Little Falls Rd Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,,
Log Cabin Tavern,201 Rabbit Lake Rd Kenora ON P9N 3W8 Canada,Kenora,Restaurant,,
Log Tavern,1535 Hwy 71 Nestor Falls ON P0W 1K0 Canada,Nestor Falls,Restaurant,,
