Name,Address,Community,Facility Type,Last Inspection Date,Inspection Result
7-Eleven Food Store,212 Government St Dryden ON P8N 2R1 Canada,Dryden,Food Take Out,14-Feb-20,
Almondo's,1220 9th St N Kenora ON P9N 2T7 Canada,Kenora,Food Take Out,,
Balmer Variety,250 5th St Balmertown ON P0V 1C0 Canada,Red Lake,Food Take Out,,
BLS Chip Truck,Hwy 17 W Clearwater Bay ON Canada,Unorganized District of Kenora,Food Take Out,,
Casual's Convenience Store and Take Out,1 Patricia Ave Pickle Lake ON P0V 3A0 Canada,Pickle Lake,Food Take Out,,
Chip Box,51 King St Dryden ON P8N 1B7 Canada,Dryden,Food Take Out,16-Jun-20,
"Chips ""R"" Us",114 Gorrie St Atikokan ON P0T 1C0 Canada,Atikokan,Food Take Out,,
Coney Island Concession,Coney Island Kenora ON Canada,Kenora,Food Take Out,,
Coulson's Corner,1335 Hwy 105 Ear Falls ON P0V 1T0 Canada,Ear Falls,Food Take Out,,
Dairy Queen - Kenora,821 Lakeview Dr Kenora ON P9N 3W5 Canada,Kenora,Food Take Out,,
Dingo's On the Run,232 Water St Kenora ON Canada,Kenora,Food Take Out,,
Dockside,912 Ottawa St Keewatin ON P0X 1C0 Canada,Kenora,Food Take Out,,
Domino's Pizza - Dryden,14-539 Government St Dryden ON P8N 2P6 Canada,Dryden,Food Take Out,04-Nov-20,
Domino's Pizza - Fort Frances,283 Scott St. Fort Frances ON P9A 1G8 Canada,Fort Frances,Food Take Out,,
Domino's Pizza - Kenora,231 Main St. S Kenora ON P9N 1T3 Canada,Kenora,Food Take Out,,
Forest Inn Express,11 May St Sioux Lookout ON P8T 1A3 Canada,Alberton,Food Take Out,15-Jul-20,
Gill's Trading Post,5701C Hwy 71 Sioux Narrows ON P0X 1N0 Canada,Sioux Narrows,Food Take Out,21-May-20,
Gondola Pizza,706 Lakeview Dr Kenora ON P9N 3P7 Canada,Kenora,Food Take Out,,
Gondola Pizza (Howey Bay Motel),26 Hwy 105 Red Lake ON P0V 2M0 Canada,Red Lake,Food Take Out,,
Hard Water Cafe,Ice Road Kenora ON Canada,Alberton,Food Take Out,22-Feb-20,
Kano Reid,A-32 King St Dryden ON P8N 1B3 Canada,Dryden,Food Take Out,,
Kenora Association for Community Living - Temporary Serving Kitchen,1301 Railway St Kenora ON P9N 0B2 Canada,Kenora,Food Take Out,02-Apr-20,
Kenora Recreation Centre Concession,200 5th St S Kenora ON P9N 1L2 Canada,Kenora,Food Take Out,11-Feb-20,
Pizza Hut & Wings Street - Kenora,209 Main St S Kenora ON P9N 1T3 Canada,Kenora,Food Take Out,,
Safeway Starbucks - Dryden,75 Whyte Ave. Dryden ON P8N 3E6 Canada,Dryden,Food Take Out,,
Safeway Starbucks - Fort Frances,417 Scott St Fort Frances ON P9A 1H3 Canada,Fort Frances,Food Take Out,,
Spirit Oak Tea Company,339 Second St S Kenora ON P9N 1G3 Canada,Kenora,Food Take Out,,
Spud and Dog,140 Howey St Red Lake ON P0V 2M0 Canada,Red Lake,Food Take Out,,
Sunset Strip Husky,1401 Hwy 17 E Kenora ON P9N 1M1 Canada,Kenora,Food Take Out,,
The Lazy Loon,B-5725 Hwy 71 Sioux Narrows ON P0X 1N0 Canada,Sioux Narrows,Food Take Out,02-Jul-20,
Ye Olde Chip Truck - Canadian Tire,1229 Hwy 17 E Kenora ON Canada,Kenora,Food Take Out,,
Ye Olde Chip Truck - Market Square,308 Second St S Kenora ON P9N 1G4 Canada,Kenora,Food Take Out,22-Feb-20,
Your Choice Catering,305 Pioneer St Dryden ON Canada,Dryden,Food Take Out,,
