dim_profile_of_health_regions_2247,member_id_profile_of_health_regions_2247,dim_sex_3_member_id_1_total_sex,dim_sex_3_member_id_2_male,dim_sex_3_member_id_3_female
"Population, 2016",1,1381744,...,...
Population density per square kilometre,6,1108.1,...,...
Total - Age groups and average age of the population - 100% data,8,1381745,678705,703045
0 to 14 years,9,253525,130595,122930
0 to 4 years,10,76315,39040,37275
5 to 9 years,11,87265,44865,42400
10 to 14 years,12,89945,46690,43260
15 to 64 years,13,951395,466930,484470
15 to 19 years,14,97155,50815,46340
20 to 24 years,15,100655,52375,48280
25 to 29 years,16,90545,45250,45300
30 to 34 years,17,91240,43370,47865
35 to 39 years,18,93395,43135,50260
40 to 44 years,19,96990,45590,51395
45 to 49 years,20,103465,49675,53795
50 to 54 years,21,108240,53440,54800
55 to 59 years,22,94150,46560,47595
60 to 64 years,23,75560,36720,38840
65 years and over,24,176820,81175,95640
65 to 69 years,25,62415,29810,32605
70 to 74 years,26,43800,20835,22965
75 to 79 years,27,31105,14480,16625
80 to 84 years,28,20825,9205,11625
85 years and over,29,18665,6845,11820
85 to 89 years,30,12110,4885,7225
90 to 94 years,31,5145,1620,3530
95 to 99 years,32,1215,295,915
100 years and over,33,200,45,155
Married or living common law,60,661470,330300,331170
Married,61,613325,306250,307075
Living common law,62,48145,24055,24095
Not married and not living common law,63,466745,217805,248945
Never married,64,335565,178520,157045
Separated,65,28030,10895,17130
Divorced,66,51765,18655,33115
Widowed,67,51390,9735,41660
Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,100,1375805,676520,699285
English only,101,1233210,618480,614730
French only,102,1155,490,660
English and French,103,86405,37050,49350
Neither English nor French,104,55035,20500,34540
Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,661,1119405,544800,574610
Number of total income recipients aged 15 years and over in private households - 100% data,662,1053150,513515,539635
Median total income in 2015 among recipients ($),663,30715,35812,26687
Percentage with total income,694,94.1,94.3,93.9
"Under $10,000 (including loss)",695,191530,84220,107310
"$10,000 to $19,999",696,188640,79650,108985
"$20,000 to $29,999",697,137135,61310,75825
"$30,000 to $39,999",698,114220,53100,61115
"$40,000 to $49,999",699,100860,47705,53155
"$50,000 to $59,999",700,79595,40600,38995
"$60,000 to $69,999",701,60400,33500,26900
"$70,000 to $79,999",702,45665,27005,18665
"$80,000 to $89,999",703,34810,20950,13855
"$90,000 to $99,999",704,28145,16180,11965
"$100,000 and over",705,72160,49295,22870
"$100,000 to $149,999",706,49840,33115,16725
"$150,000 and over",707,22320,16175,6140
Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,724,1119410,544800,574610
Without employment income,725,314200,128810,185400
With employment income,726,805200,415990,389210
Total - Citizenship for the population in private households - 25% sample data,1135,1372645,675245,697395
Canadian citizens,1136,1192495,587865,604630
