Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result
1001 Nights Kebab & Shawarma,E2-50 Rivermont Rd Brampton ON L6Y 6G7,Restaurant,2020-07-17,
168 Japan Buffet,B-168 Kennedy Rd S Brampton ON L6W 3G6,Restaurant,2019-11-21,
168 Sushi Japanese Buffet,2366 Dundas St W Mississauga ON L5K 1R7,Restaurant,2020-09-21,
17 Steakhouse & Bar,4-5165 Dixie Rd Mississauga ON L4W 4G1,Restaurant,2020-03-05,
1tonamara,237 Queen St Brampton ON L6W 2B5,Restaurant,2019-06-27,
2 4 1 Pizza,17-1125 Bloor St Mississauga ON L4Y 2N6,Restaurant,2020-01-13,
2 Bicas,15-2 Fisherman Dr Brampton ON L7A 1B7,Restaurant,2019-11-06,
3 Asians Express,1-1475 Aerowood Dr Mississauga ON L4W 1C2,Restaurant,2019-12-03,
3 Castelos Grill House/Vilamor Cafe,1030 Dundas St E Mississauga ON L4Y 2B6,Restaurant,2019-11-27,
5 Noodles,106-165 Dundas St W Mississauga ON L5B 2N6,Restaurant,2019-11-22,
520 Sushi,7-252 Queen St E Brampton ON L6V 1C1,Restaurant,2019-11-08,
52nd Street Tap & Grill,A-30A Kennedy Rd S Brampton ON L6W 3E2,Restaurant,2020-11-13,
9 Queen,9 Queen St E Brampton ON L6W 2A7,Restaurant,2020-02-12,
A & W - Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Restaurant,2020-06-22,
A J's Bar and Grill,19-1 Regan Rd Brampton ON L7A 1B8,Restaurant,2019-11-26,
A&W,4-733 Central Pky W Mississauga ON L5B 4L1,Restaurant,2019-08-19,
A&W,2464 Queen St E Brampton ON L6S 5X9,Restaurant,2020-03-02,
A&W,1990 Hallstone Rd Brampton ON L6Y 0L7,Restaurant,2020-01-23,
A&W,1130 Dundas St E Mississauga ON L4Y 2C1,Restaurant,2020-01-29,
A&W,13-100 City Centre Dr Mississauga ON L5B 2C9,Restaurant,2019-11-22,
A&W,75 Resolution Dr Brampton ON L6W 0A6,Restaurant,2020-02-04,
A&W,2930 Argentia Rd Mississauga ON L5N 8C5,Restaurant,2019-09-17,
A&W,120 Brickyard Way Brampton ON L6V 4L1,Restaurant,2020-12-30,
A&W,6775 Airport Rd Mississauga ON L4V 1E6,Restaurant,2020-03-13,
A&W,1465 Aerowood Dr Mississauga ON L4W 2L2,Restaurant,2019-11-11,
A&W,5 Sandalwood Pky W Brampton ON L7A 1A8,Restaurant,2020-02-20,
A&W,5880 Mavis Rd Mississauga ON L5V 3B7,Restaurant,2020-02-12,
Abbey Road Pub & Patio,9-3200 Erin Mills Pky Mississauga ON L5L 1W8,Restaurant,2020-03-09,
ACB Bar & Grill,8-80 Eastern Ave Brampton ON L6W 0B6,Restaurant,2019-11-13,
Acer - Terminal 3,AT3 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Restaurant,2019-10-30,
Adana Kebab House,6-7 1201 Britannia Rd W Mississauga ON L5V 1N2,Restaurant,2020-09-11,
Adesa Toronto,55 Auction Lane Brampton ON L6T 5P4,Restaurant,2020-01-29,
Admiral Inn - restaurant,2161 North Sheridan Way Mississauga ON L5K 1A3,Restaurant,2020-03-05,
Adobo Fresh Burrito,18-55 Mountainash Rd Brampton ON L6R 1W4,Restaurant,2020-01-21,
Adobo Fresh Burritos,4046 Confederation Pkwy Mississauga ON L5B 0G4,Restaurant,,
Afandina Cafe,1-6900 Millcreek Dr Mississauga ON L5N 6C1,Restaurant,2019-12-18,
Afghan Grill House Inc,110-120 Traders Blvd E Mississauga ON L4Z 2H7,Restaurant,2019-11-25,
Afghan Kebob Cuisine,1-780 Burnhamthorpe Rd W Mississauga ON L5C 3X3,Restaurant,2019-12-02,
Agra Sweets & Tandoori Restaurant,B10-10671 Chinguacousy Rd Brampton ON L7A 0N5,Restaurant,2020-01-21,
