Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result
SPASTA ! GREEK CUISINE,6-1650 DUNDAS ST E Mississauga ON L4X 2Z3,Food Take Out,,
1 Minute Store - Terminal 3,BT3 L1-6301 Silver Dart Dr Mississauga ON L5P 1B2,Food Take Out,2019-08-14,
180 Drinks,20-400 Matheson Blvd E Mississauga Ontario L4Z 1N8,Food Take Out,2020-10-06,
2 4 1,1201 Hurontario St Mississauga Ontario L5G 3H2,Food Take Out,2019-12-02,
2 4 1 Pizza,8-2 Philosophers Trail Brampton ON L6S 4C9,Food Take Out,2020-01-27,
2 4 1 Pizza,9-2980 Crosscurrent Dr Mississauga ON L5N 7C7,Food Take Out,2020-02-19,
2 4 1 Pizza,6-50 Bristol Rd E Mississauga ON L4Z 3K8,Food Take Out,2020-01-24,
2 4 1 Pizza,102-2155 Leanne Blvd Mississauga ON L5K 2K8,Food Take Out,2019-10-21,
2 4 1 Pizza,700 Balmoral Dr Brampton ON L6T 1X2,Food Take Out,2020-02-03,
241 Pizza,5-9960 McVean Dr Brampton ON L6P 2S5,Food Take Out,2019-02-26,
241 Pizza,49 Kennedy Rd N Brampton ON L6V 1X6,Food Take Out,2020-01-14,
3 for 1 Pizza & Wings,6-2325 Hurontario St Mississauga ON L5A 4C7,Food Take Out,2020-02-20,
3 for 2 Pizza & Wings,13-4646 Heritage Hills Blvd Mississauga ON L5R 3K5,Food Take Out,2019-09-19,
7 Eleven,6980 Lisgar Dr Mississauga ON L5N 8C8,Food Take Out,2019-06-26,
7 Eleven,3965 Thomas St Mississauga ON L5M 7B8,Food Take Out,2019-08-30,
7 Eleven,6145 Viscount Rd Mississauga ON L4V 1T2,Food Take Out,2019-11-29,
7 Eleven - Terminal 1,BT1 L1-6301 Silver Dart Dr Mississauga ON L5P 1B2,Food Take Out,2020-11-30,
7 Eleven Food Store #35298,140 Father Tobin Rd Brampton ON L6R 3P1,Food Take Out,,
A & W,10 Kent Rd Brampton ON L7A 0B6,Food Take Out,2019-10-23,
A J Billes Distribution Centre - Tim Hortons,8550 Goreway Dr Brampton ON L6T 5J8,Food Take Out,2020-03-06,
A&W,5 Ace Dr Brampton ON L6R 3Y2,Food Take Out,2020-02-12,
A&W,74-1250 South Service Rd Mississauga ON L5E 1V4,Food Take Out,2020-03-10,
A&W,183B-499 Main St S Brampton ON L6Y 1N7,Food Take Out,2020-02-14,
A&W,731-25 Peel Centre Dr Brampton ON L6T 3R5,Food Take Out,2020-02-04,
A&W,12700-Hwy 50 Bolton ON L7E 1L9,Food Take Out,2019-10-15,
A&W,F9-5100 Erin Mills Pky Mississauga ON L5M 4Z5,Food Take Out,2020-02-07,
Addison - Sandra's Kitchen,6600 Turner Valley Rd Mississauga ON L5N 5Z1,Food Take Out,2020-03-09,
Adobo Grill,1B-1550 South Gateway Rd. Mississauga ON L4W 1J5,Food Take Out,2019-10-07,
Adonis - Food Take-Out,2561 Stanfield Rd Mississauga ON,Food Take Out,2019-07-12,
Afghan Kitchen,5-157 Dundas St E Mississauga ON L5A 1W8,Food Take Out,2020-01-16,
Air Canada Maple Leaf Lounge Express - Transborder Terminal 1 F193,AT L1-6301 Silver Dart Dr Mississauga ON L5P 1B2,Food Take Out,2019-07-03,
Ako Greek,100B-2225 Erin Mills Pky Mississauga ON L5K 1T9,Food Take Out,2019-08-28,
Al Kababs,104-808 Britannia Rd W Mississauga ON L5V 0A7,Food Take Out,2021-01-06,
Al Mustafa Catering and Takeout,558 Lakeshore Rd E Mississauga ON L5G 1J3,Food Take Out,2020-01-22,
Aladdins Adventures Indoor Playground Ridgeway,10-11-3450 Ridgeway Dr Mississauga ON L5L 0A2,Food Take Out,2019-10-29,
Albashwat Restaurant,5-2580 Shepard Ave Mississauga ON L5A 4K3,Food Take Out,2020-03-06,
Albion Bolton Community Centre - Snack Bar,150 Queen St S Caledon ON L7E 1E3,Food Take Out,2019-12-06,
Albion Orchards,14800 Innis Lake Rd Caledon ON L7C 2Y8,Food Take Out,,
Alf Hana Shawarma Hut,5-6550 Meadowvale Town Centre Cir Mississauga ON L5N 4B7,Food Take Out,2020-01-14,
Alijandro's Kitchen,2-4070 Living Arts Dr Mississauga ON L4Z 3V3,Food Take Out,2020-03-06,
Alijandro's KItchen,2380 Motorway Blvd Mississauga ON L5L 1X3,Food Take Out,2020-03-11,
Alima Foods,49-13 Kenview Blvd Brampton ON L6T 5K9,Food Take Out,2020-02-04,
Alnejmah Fine Foods -Food Take Out,1-6-3085 Hurontario St Mississauga ON L5A 4E4,Food Take Out,2020-03-05,
Al-Quds Market - Food Take-Out,8-3355 Hurontario St Mississauga ON L5A 4E7,Food Take Out,2020-01-17,
Alt Hotel-Kitchen and Bar,6080 Viscount Rd Mississauga ON L4V 0A1,Food Take Out,2019-10-07,
Alton Mill Honour Cafe,1402 Queen St W Caledon ON L7K 0C3,Food Take Out,2019-11-21,
Amadios Pizza,6-360 Revus Ave Mississauga ON L5G 4S4,Food Take Out,2019-11-15,
Amaya Express,003-5100 Erin Mills Pkwy Mississauga ON L5M 4Z5,Food Take Out,2020-01-14,
Amaya Express,1-834-100 City Centre Dr Mississauga ON L5B 2C9,Food Take Out,2020-02-05,
Ami's Kitchen,6-15 Fisherman Dr Brampton ON L7A 1B7,Food Take Out,2020-01-15,
Ample Food Market - Take out,235 Fletchers Creek Blvd Brampton ON L6X 0Y7,Food Take Out,2020-01-17,
Anantha Bhavan Take Out & Catering,15-4646 Heritage Hills Blvd Mississauga ON L5R 1Y4,Food Take Out,2020-02-20,
