Facility Name,Site Address,Community,Facility Type
# 5 Rivers Restaurant and Bar Indian Cuisine,2-1035 Mississauga St W Orillia ON L3V 3C7,Orillia,Restaurant
1 Fish 2 Fish Fish & Chips,11 Mill Street West Tottenham ON L0G 1W0,Tottenham,Restaurant
125 Breakfast Club,125 Mississaga Street E Orillia ON L3V 1V6,Orillia,Restaurant
2 4 1 Pizza,4-248 Manitoba St Bracebridge ON P1L 2E1,Bracebridge,Restaurant
2 4 1 Pizza,990 Innisfil Beach Road Alcona ON L9S 2B5,Alcona,Restaurant
201 Grill & Game Bar,201 Woodside Dr Orillia ON L3V 6T4,Orillia,Restaurant
3 GUYS And A Stove,143 Highway 60 E Huntsville ON P1H 1C2,Huntsville,Restaurant
331 Atherley Diner,331 Atherley Rd Orillia ON L3V 1N8,Orillia,Restaurant
51st Street Diner,2107 Mosley St Wasaga Beach ON L9Z 1X6,Wasaga Beach,Restaurant
55 Games Lounge,600-603-55 Cedar Pointe Dr Barrie ON L4N 5R7,Barrie,Restaurant
"7 Spice Fast Casual Multi-Cuisine, The",353 Duckworth St Barrie ON L4M 5C2,Barrie,Restaurant
98 Super Panda,50 Hurontario St Collingwood ON L9Y 2L6,Collingwood,Restaurant
98 Super Panda,3-30 45th St S Wasaga Beach ON L9Z 0A6,Wasaga Beach,Restaurant
A Taste of Europe,1335 Killarney Beach Rd Lefroy ON L0L 1W0,Lefroy,Restaurant
A Taste of Freedom Country Inn,24 Mill St W Tottenham ON L0G 1W0,Tottenham,Restaurant
A&W,10 Dunham Dr Alliston ON L9R 1V2,Alliston,Restaurant
A&W,490 Bayfield St Barrie ON L4M 5A2,Barrie,Restaurant
A&W,14 Depot Dr Bracebridge ON P1L 0A1,Bracebridge,Restaurant
A&W,705-175 Hanes Rd Huntsville ON P1H 1M4,Huntsville,Restaurant
A&W,11-649 Yonge St Barrie ON L4N 4E7,Barrie,Restaurant
A&W,143 Mapleview Dr W Barrie ON L4N 9H7,Barrie,Restaurant
A&W,9271 County Road 93 Midland ON L4R 4K4,Midland,Restaurant
A&W,577 Holland St W Bradford ON L3Z 0C1,Bradford,Restaurant
A&W,3315 Monarch Dr Orillia ON L3V 7Z4,Orillia,Restaurant
A&W,661 Atherley Rd Orillia ON L3V 1P1,Orillia,Restaurant
A&W,7 Balsam Street Collingwood ON L9Y 5H6,Collingwood,Restaurant
Abrisham Restaurant,6-126 Bridge Street Bradford ON L3Z 3H2,Bradford,Restaurant
Ace Chinese Food,28 Mississaga Street E Orillia ON L3V 1V5,Orillia,Restaurant
Ace Grill,1-34 Yonge Street S Elmvale ON L0L 1P0,Elmvale,Restaurant
Affogato Cafe + Gelato,2-76 Main St E Huntsville ON P1H 2C7,Huntsville,Restaurant
Aji Sai Japanese Restaurant,359 Bayfield Street Barrie ON L4M 3C3,Barrie,Restaurant
Akira Japanese Cuisine,17 Mulcaster St Barrie ON L4M 3M2,Barrie,Restaurant
Akita Sushi,7-456 Holland Street W Bradford ON L3Z 2A4,Bradford,Restaurant
AL Carbon,61-Hurontario Street Collingwood ON L9Y 2L7,Collingwood,Restaurant
Algonquin Cafe and Deli,234 Main St W Huntsville ON P1H 1Y1,Huntsville,Restaurant
Allandale Golf Course,3699 20th Sideroad Innisfil ON L9S 2X8,Innisfil,Restaurant
Alliance Billiards & Sports Bar,1-2-33 Alliance Boulevard Barrie ON L4M 5K2,Barrie,Restaurant
Allora,"19 Main Street East Huntsville, Ont",Huntsville,Restaurant
Allstar Roadhouse Bar & Grill,59 Victoria St W Alliston ON L9R 1T1,Alliston,Restaurant
ANAVETS,52 Morrow Rd Barrie ON L4N 3V8,Barrie,Restaurant
Andrea's Steak & Sea Food House,264 Manitoba Street Bracebridge ON P1L 1S5,Bracebridge,Restaurant
Andy's Place Restaurant,107-19 Hart Drive Barrie ON L4N 5M3,Barrie,Restaurant
Angie's Place Caribbean Eatery,5968-27 28 Sideroad Nottawasaga Stayner ON L0M 1S0,Stayner,Restaurant
Apple Annie's Café,101 Mississaga St E Orillia ON L3V 1V6,Orillia,Restaurant
Apple Blossom Village,204 Line 15 N Oro-Medonte ON L3V 0H7,Oro-Medonte,Restaurant
Applebee's Neighborhood Grill & Bar,326 Bayfield St Barrie ON L4M 3C1,Barrie,Restaurant
Arabesque Foods of the Middle East,43 Maple Ave Barrie ON L4N 1R9,Barrie,Restaurant
Arby's,385 Memorial Ave Orillia ON L3V 6K8,Orillia,Restaurant
"Arch Steak House, The",771 Yonge Street Midland ON L4R 2E1,Midland,Restaurant
Arrowhead Camp,1111 Ronville Rd Dwight ON P0A 1H0,Lake of Bays,Restaurant
"Artisan House, The",21 West St S Huntsville ON P1H 1P2,Huntsville,Restaurant
Ashanti Café,510 First St Collingwood ON L9Y 1B8,Collingwood,Restaurant
Asia Wok,15-16-20 Bell Farm Rd Barrie ON L4M 6E4,Barrie,Restaurant
Auntie Jo's Kitchen,216-80 Bradford Street Barrie ON L4N 6S7,Barrie,Restaurant
Avenue Cibi & Vini,1-235 Sunseeker Avenue Innisfil ON,Innisfil,Restaurant
AvocoBar,B2-561 Bryne Dr Barrie ON L4N 9Y3,Barrie,Restaurant
AvocoBar,22-149 Welham Rd Barrie ON L4N 8Y3,Barrie,Restaurant
AvocoBar,1-18 Cundles St E Barrie ON L4M 2Z5,Barrie,Restaurant
Ay Chihuahua! Mexican Goods,16A-6048 Hwy 9 & 27 Schomberg ON L0G 1T0,Schomberg,Restaurant
B.B. Friday's,201 Hurst Drive Barrie ON L4N 8K8,Barrie,Restaurant
Baba Dhaba Fine Dining,2240 Highway S Oro-Medonte ON L0L 2L0,Oro-Medonte,Restaurant
Bacio Trattoria,66 Dunlop St W Barrie ON L4N 1A3,Barrie,Restaurant
Baked,12 Manitoba Street Bracebridge ON P1L 1R9,Bracebridge,Restaurant
Baked and Pickled,137 Hurontario St Collingwood ON L9Y 2L9,Collingwood,Restaurant
Bala Falls Pub,1010 Bala Falls Rd Bala ON P0C 1A0,Bala,Restaurant
"Baldwins Resort, The",1024 Golf Ave Rd Windermere ON P0B 1P0,Windermere,Restaurant
Balm Beach Bar and Smokehouse,1 Tiny Beaches Road N Tiny ON L0L 2J0,Tiny,Restaurant
Bamboo Terrace,2-291 Main Street Wasaga Beach ON L9Z 0B6,Wasaga Beach,Restaurant
Bangkok Saigon Noodle,136 Holland Street E Bradford ON L3Z 2P7,Bradford,Restaurant
Bank Cafe,179 Mill St Creemore ON L0M 1G0,Creemore,Restaurant
barBURRITO,7B-17 King St Angus ON L0M 1B0,Angus,Restaurant
barBURRITO,C2-50 King St S Alliston ON L9R 1H6,Alliston,Restaurant
Barcelos Restaurant & Grill,22 Sunnidale Rd Wasaga Beach ON L9Z 2M5,Wasaga Beach,Restaurant
Barnstormer Brewing Company,3-384 Yonge St Barrie ON L4N 4C8,Barrie,Restaurant
Barrie Burger,404 Dunlop St W Barrie ON L4N 1C2,Barrie,Restaurant
Barrie Burger,4-222 Mapleview Drive West Barrie ON L4N 9E7,Barrie,Restaurant
Barrie Country Club,635 St Vincent Street N Springwater ON L4M 4V1,Springwater,Restaurant
Barrie Molson Centre,555 Bayview Dr Barrie ON L4N 8Y2,Barrie,Restaurant
Bass Lake Roadhouse,4700 Muskoka Rd 169 W Foot's Bay ON P0C 1A0,Foot's Bay,Restaurant
Baton Rouge Steakhouse & Bar,336 Bayfield St Barrie ON L4M 3B9,Barrie,Restaurant
Batteaux Creek Golf Club,7422 Sideroad 30 31 Nottawa ON L0M 1P0,Nottawa,Restaurant
Bayside Restaurant,500 Atherley Rd Orillia ON L3V 7Y1,Orillia,Restaurant
Bayview Wildwood Resort,1500 Port Stanton Pkwy Severn Bridge ON P0E 1N0,Severn Bridge,Restaurant
"Beacon Restaurant, The",146 45th St N Wasaga Beach ON L9Z 1Z2,Wasaga Beach,Restaurant
Beaver and Bulldog Sports Pub & Wingery,195 First St Collingwood ON L9Y 1A6,Collingwood,Restaurant
Beaver Tails,69 Main Street E Huntsville ON P1H 2B8,Huntsville,Restaurant
Bedrock Cafe,9393 Highway 11 S Severn ON L3V 6H3,Severn,Restaurant
Beertown Public House,12 Fairview Road Barrie ON L4N 4P3,Barrie,Restaurant
Belle Aire Beach Bar and Grill,1111 Killarney Beach Road Lefroy ON L0L 1W0,Belle Ewart,Restaurant
Bent Taco,48 Pine St Collingwood ON L9Y 2N7,Collingwood,Restaurant
Bentley's,380 First St Collingwood ON L9Y 1B5,Collingwood,Restaurant
Bernie's Pizza & Wings,3-52 Queen St W Cookstown ON L0L 1L0,Cookstown,Restaurant
Best Western Plus,86 Howland Dr Huntsville ON P1H 1M3,Huntsville,Restaurant
Best Western Plus Portage Italian Bistro,440 Couchiching Point Rd Orillia ON L3V 6P8,Orillia,Restaurant
Bethune's Bistro,205 Muskoka Rd S Gravenhurst ON P1P 1H6,Gravenhurst,Restaurant
Bibby's Corner,12-50 Main St E Beeton ON L0G 1A0,Beeton,Restaurant
Big Bone BBQ & Wicked Wings,7-190 Minets Point Rd Barrie ON L4N 4C3,Barrie,Restaurant
Big Cedar Golf Club,1590 Houston Ave Innisfil ON L9S 4M7,Innisfil,Restaurant
Big Chute Marina,1881 Whites Falls Rd Coldwater ON L0K 1E0,Coldwater,Restaurant
Big Momma's Soul Food,19 Simcoe Rd Bradford ON L3Z 2A8,Bradford,Restaurant
