Facility Name,Site Address,Community,Facility Type
2 4 1 Pizza,49 Mississaga St E Orillia ON L3V 1V4,Orillia,Food Take Out
2 4 1 Pizza,110 Little Ave Barrie ON L4N 4K8,Barrie,Food Take Out
5 Star Takeaway,2 Lafontaine Road E Tiny ON L9M 1R3,Tiny,Food Take Out
7 C Seafood,157 Holland Street East Town Of Bradford West Gwillimbury ON L3Z 1G4,Bradford,Food Take Out
A & S Beverage,2207 Industrial Park Rd Innisfil ON L9S 3V9,Innisfil,Food Take Out
A Little Thai Kitchen,164 Napier Street Barrie ON L4M 1W5,Barrie,Food Take Out
A&W,F005-509 Bayfield St Barrie ON L4M 4Z8,Barrie,Food Take Out
A&W,201 Fairview Rd Barrie ON L4N 9B1,Barrie,Food Take Out
A&W,175 Cundles Rd E Barrie ON L4M 4X7,Barrie,Food Take Out
ADH Enterprises,2207 Industrial Park Rd Innisfil ON L9S 3V9,Innisfil,Food Take Out
Airport Pizza Tottenham,D - 6670 3rd Line Tottenham ON L0G 1W0,Tottenham,Food Take Out
Algonquin Theatre,37 Main St E Huntsville ON P1H 1A1,Huntsville,Food Take Out
Allandale Recreation Centre,190 Bayview Dr Barrie ON L4N 4Y8,Barrie,Food Take Out
Annex Cafe,27 Street Bracebridge Manitoba P1L 1S4,Bracebridge,Food Take Out
Around My Gluten-Free Table,10-411 Huronia Rd Barrie ON L4N 9B3,Barrie,Food Take Out
Asian One,27-555 Essa Rd Barrie ON L4N 6A9,Barrie,Food Take Out
Asian Yummy One,2-17 King Street Angus ON L0M1B2,Angus,Food Take Out
B2's Pizza,2-34 Yonge Street S Elmvale ON L0L 1P0,Elmvale,Food Take Out
Back to the Grind Cafe- Kiosk,500 University Ave Orillia ON L3V 0B9,Orillia,Food Take Out
Baked and Pickled en la playa,F-41 Beach Dr Wasaga Beach L9Z 1N1,Wasaga Beach,Food Take Out
Bala Bay Takeaway,"3129 Muskoka Road 169, Bala ON",Bala,Food Take Out
Bala Sports Centre,1009 Maple St Bala ON P0C 1A0,Bala,Food Take Out
barBURRITO,B23-3311 Highway 89 Cookstown ON L0L 1L0,Cookstown,Food Take Out
barBURRITO,"494 Holland Street, West Bradford ON L3Z 0A2",Bradford,Food Take Out
barBURRITO,5-367 Cundles Road E Barrie ON L4M 0G9,Barrie,Food Take Out
Barrie Athletic Club,JKLM-565 Bryne Dr Barrie ON L4N 9Y3,Barrie,Food Take Out
Barrie BBQ Chicken,3-157 Bayfield St Barrie ON L4M 3B4,Barrie,Food Take Out
Barrie Cafe,K1-320 Bayfield St Barrie ON L4M 3C1,Barrie,Food Take Out
Barrie Community Sports Complex,2100 Nursery Rd Midhurst ON L0L 1Y2,Midhurst,Food Take Out
Barrie Community Sports Complex,2100 Nursery Rd Midhurst ON L0L 1Y2,Midhurst,Food Take Out
Barrie Community Sports Complex,2100 Nursery Rd Midhurst ON L0L 1Y2,Midhurst,Food Take Out
Barrie Country Club,635 St Vincent St N Springwater ON L4M 4V1,Springwater,Food Take Out
