dim_profile_of_health_regions_2247,member_id_profile_of_health_regions_2247,dim_sex_3_member_id_1_total_sex,dim_sex_3_member_id_2_male,dim_sex_3_member_id_3_female
"Population, 2016",1,953261,...,...
Population density per square kilometre,6,45.6,...,...
Total - Age groups and average age of the population - 100% data,8,953265,466215,487050
0 to 14 years,9,160035,81790,78250
0 to 4 years,10,51940,26565,25375
5 to 9 years,11,54675,27975,26700
10 to 14 years,12,53420,27240,26175
15 to 64 years,13,613095,302905,310185
15 to 19 years,14,56675,28960,27715
20 to 24 years,15,61995,31575,30415
25 to 29 years,16,57895,29000,28895
30 to 34 years,17,57120,28260,28860
35 to 39 years,18,54775,26970,27810
40 to 44 years,19,55140,27170,27970
45 to 49 years,20,59355,29080,30275
50 to 54 years,21,72215,35305,36910
55 to 59 years,22,72400,35010,37390
60 to 64 years,23,65520,31580,33935
65 years and over,24,180135,81520,98610
65 to 69 years,25,58735,28185,30550
70 to 74 years,26,42750,20355,22395
75 to 79 years,27,31315,14625,16695
80 to 84 years,28,23010,9930,13085
85 years and over,29,24315,8430,15885
85 to 89 years,30,15100,5790,9305
90 to 94 years,31,7275,2205,5065
95 to 99 years,32,1705,395,1315
100 years and over,33,235,35,200
Married or living common law,60,468085,233905,234185
Married,61,394620,197245,197380
Living common law,62,73465,36655,36805
Not married and not living common law,63,325140,150525,174620
Never married,64,203275,109990,93280
Separated,65,24680,10900,13775
Divorced,66,47405,19250,28155
Widowed,67,49780,10385,39405
Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,100,941460,461805,479655
English only,101,879830,435790,444040
French only,102,315,150,170
English and French,103,51890,21745,30140
Neither English nor French,104,9435,4120,5310
Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,661,776705,378000,398700
Number of total income recipients aged 15 years and over in private households - 100% data,662,749125,365075,384050
Median total income in 2015 among recipients ($),663,33644,40127,28495
Percentage with total income,694,96.4,96.6,96.3
"Under $10,000 (including loss)",695,100450,43365,57085
"$10,000 to $19,999",696,130770,51830,78945
"$20,000 to $29,999",697,109350,45350,64010
"$30,000 to $39,999",698,90980,41385,49595
"$40,000 to $49,999",699,83370,41170,42195
"$50,000 to $59,999",700,62775,34340,28435
"$60,000 to $69,999",701,45910,27195,18715
"$70,000 to $79,999",702,31955,19360,12600
"$80,000 to $89,999",703,23295,14155,9135
"$90,000 to $99,999",704,21425,12175,9245
"$100,000 and over",705,48835,34750,14090
"$100,000 to $149,999",706,33830,23435,10395
"$150,000 and over",707,15005,11315,3690
Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,724,776705,378005,398700
Without employment income,725,226480,92365,134110
With employment income,726,550225,285640,264585
Total - Citizenship for the population in private households - 25% sample data,1135,936390,459585,476800
Canadian citizens,1136,899265,441590,457675
Not Canadian citizens,1139,37125,18000,19130
Total - Immigrant status and period of immigration for the population in private households - 25% sample data,1140,936390,459585,476800
Non-immigrants,1141,790500,389020,401480
Immigrants,1142,136515,65680,70835
Before 1981,1143,56995,27360,29630
1981 to 1990,1144,18240,8810,9425
1991 to 2000,1145,21230,10340,10885
2001 to 2010,1146,25440,12135,13305
2001 to 2005,1147,12215,5800,6420
2006 to 2010,1148,13220,6335,6890
2011 to 2016,1149,14610,7030,7580
Non-permanent residents,1150,9380,4890,4490
Total - Selected places of birth for the immigrant population in private households - 25% sample data,1157,136510,65675,70835
