Facility Name,Site Address,Last Inspection Date
247 Pizza The Taj Sweets & Restaurant,10-656 Dundas St Woodstock ON N4S 1E3,09/09/2020
A & W,451 Norwich Ave Woodstock ON N4S 3W4,
A & W,533 Broadway St Tillsonburg ON N4G 3S8,
A & W,1010 Talbot St St. Thomas ON N5P 4N2,
A & W,170 Culloden Rd Ingersoll ON N5C 3J7,10/21/2020
ABC Restaurant,123 Main Street St. Thomas ON,02/12/2019
Al's Pizzeria,1-114 Confederation Dr St Thomas ON N5P 3P4,
Aunt Tammy's,33 Robinson St Port Burwell ON N0J 1T0,02/12/2020
Aylmer Submarine,39 Talbot St W Aylmer ON N5H 1J6,
Banana Leaf,369 Dundas St Woodstock ON N4S 1B6,10/23/2020
Bar Burrito Fresh Mexican Food,925 Dundas St Unit 7 Woodstock ON N4S 8V3,11/23/2020
BarBurrito,14-1010 Talbot St St Thomas ON N5P 4N2,
"Barking Cat, The",14003 Belmont Rd Belmont ON N0L 1B0,
Barnacle Beer House and Eatery,170 William St Port Stanley ON N5L 1E4,
Beach Hut,23 Wellington St Port Burwell ON N0J 1T0,03/10/2020
Bella Jack's Mexican Cantina,437 Talbot St St Thomas ON N5P 1C1,10/27/2020
Belmont Diner,14091 Belmont Rd Belmont ON N0L 1B0,
Belmont Golf Club,45809 Ferguson Line Belmont ON N0L 1B0,
Big D's Sandwich Shack,220 Springbank Ave Woostock ON N4S 7R2,
Big Fat Pita,694 Dundas St Woodstock ON N4S 1E6,
"Bistro, The",625 Talbot St St. Thomas ON N5P 1C6,11/20/2020
Bondi's Pizza,640 Talbot St St Thomas ON N5P 1C8,12/16/2020
Boo's Country Kitchen,105 Dundas St E Thamesford ON N0M 2M0,
Booster Juice,2-547 Norwich Ave Woodstock ON N4V 1C7,11/18/2020
Boston Pizza,431 Norwich Ave Woodstock ON N4S 3W4,09/21/2020
Boston Pizza,106 Broadway St Tillsonburg ON N4G 3P6,
Braxton's Tap and Grill,1093 Talbot St St Thomas ON N5P 1G4,08/13/2020
"Bridges at Tillsonburg, The",101 John Pound Rd Tillsonburg ON N4G 4H3,
Buccaneer Roadhouse,128 William St Port Stanley ON N5L 1E2,
Burger King,939 Talbot St St Thomas ON N5P 1E8,10/29/2020
Burger King,545 Norwich Ave Woodstock ON N4V 1C7,10/01/2020
Burger King,540 Broadway St N. Tillsonburg ON N4G 3S7,
Burger Punk,145 William St Port Stanley ON N5L 1E2,
Burrito Brothers,192 Currie Road Dutton ON N0L 1J0,
C & D Lanes,265 Main St Woodstock ON N4S 1T1,
Chanchos,2-9254 Plank Rd Straffordville ON N0J 1Y0,
Charles Dickens Pub,505 Dundas St Woodstock ON N4S 1C3,10/29/2020
Chiba Sushi,925 Dundas St Unit 1 Woodstock ON N4S 8V3,02/24/2020
Chuck's Roadhouse,1-877 Talbot St St. Thomas ON N5P 1E5,11/09/2020
Chuck's Roadhouse Bar and Grill,215 Thames St S Ingersoll ON N5C 2T6,
Chuckwagon,7 Ingersoll Rd Woodstock ON N4S 2R1,09/14/2020
Clement's Catering Company Inc,49 Talbot St E Aylmer ON N5H 1H3,
Cobble Hills Golf North,5714 Cobble Hills Rd Thamesford ON N0M 2M0,
Coffee Culture,831 Talbot St St Thomas ON N5P 1E4,10/22/2020
Coffee Culture,433 Dundas St Woodstock ON N4S 1B8,
Cook's Pizza & Panzerotti,3-9254 Plank Rd Straffordville ON N0J 1Y0,03/12/2020
