Facility Name,Site Address,Last Inspection Date
10 Buck Pizza,10 Bell St Ingersoll ON N5C 2N5,11/24/2020
10 Buck Pizza,974 Dundas St Woodstock ON N4S 1H3,
A & W,657 John St N Aylmer ON N5H 2B6,02/21/2020
A & W - Dutton ONroute,27585 ON-401 E Dutton ON N0L 1J0,
A & W - West Lorne ONroute,27900 ON-401 W West Lorne ON N0L 2P0,03/02/2020
All Fired Up,Edith Cavell Blvd Port Stanley Ontario,07/03/2020
Al's Pizzeria,310 Wellington St St Thomas ON N5R 2T1,03/05/2020
Alternate Routes,209 Main St Woodstock ON,
Angela's Take Away Food Company,45 Broadway St Tillsonburg ON N4G 3P3,
Asuka Japanese Cuisine,825 Talbot St St. Thomas ON N5P 1E2,10/28/2020
Beantown Coffee Company,9 Reeve St Woodstock ON N4S 3G1,
Bento Sushi,1063 Talbot St St. Thomas ON N5P 1G4,
Bento Sushi (Wal-Mart),499 Norwich Ave Woodstock ON N4S 9A2,12/07/2020
Big Joe Q's,31 Robinson St Port Burwell ON N0J 1T0,
Bon Appetit Pastry Shop,806470 Oxford Rd 29 Drumbo ON N0J 1G0,
Budhaven Farms - Leaping Deer Legends,544212 Clarke Rd Ingersoll ON N5C 3J8,
Buffalo Bens Bisons,255395 25 Line Thamesford ON N0M 2M0,
Burger King,401225 Highway 401 E Woodstock ON N4S 7V6,
Cam Fam Creations,B-59 Potters Rd Tillsonburg ON N4G 2H1,
Cardinal Court Motel,10401 Sunset Drive St. Thomas ON N5P 3T2,
CGC Concessions East Elgin Community Centre - Arena concession stands (2),531 Talbot St W Aylmer ON N5H 2T8,
China Wok,379 Springbank Ave Unit 130 Woodstock ON N4T 1R3,02/12/2020
Clovermead Snack Shop,11302 Imperial Rd Aylmer ON N5H 2R3,
Crispy Slice Pizza & Wings,5B-925 Dundas St Woodstock ON N4S 8V3,
Daily Grind Cafe & Gift Emporium,193 Currie Road Dutton ON N0L 1J0,
Dan's Taco Wagon/Ice Cream Shop,550 Talbot St W Aylmer ON N5H 2T8,
Domino's Pizza,300 Elms Street St. Thomas ON N5R 1J7,
Domino's Pizza,C-965 Talbot St St. Thomas ON N5P 1E8,
Double-Double Pizza & Chicken,379 Norwich Ave Woodstock ON N4S 3W4,
Drumbo Esso - Country Style Donuts/ Pizza Pizza,69 Oxford St W Drumbo ON N0J 1G0,
Ducky Dennis Ball Park,625 Main St S Middletown Line Burgessville ON N0J 1C0,
Elgin Harvest/ Harvest Eats,481 Talbot St St Thomas ON N5P 1C3,
ESSO / Asado Burrito,124 Tillson Ave Tillsonburg ON N4G 3A5,
ESSO Gas Station,595771 Hwy 59 Woodstock ON N4S 7W1,
European Meats & Deli,13 Burtch St Woodstock ON N4S 3M3,
Farmer's Kitchen,28 Princess Ave St. Thomas ON N5R 3V4,
Flippin Mike's,235 Dundas St W Woodstock ON N4S 1A8,08/26/2020
Gino's Pizza & Wings,7-379 Springbank Ave Woodstock ON N4T 1R3,
Godfather Pizza,308 Talbot St W Aylmer ON N5H 1K2,03/05/2020
Golden Dragon,534 Elm St St Thomas ON N5R 1K7,
Green Roof Gas Bar Variety,4954 Sunset Rd Port Stanley ON N5L 1J1,
Hanak Foods,42 Thames St S Ingersoll ON N5C 2S9,
"Harbour Merchant Coffee Company Inc, The",288 Bridge St Port Stanley ON N5L 1C3,02/19/2020
Heavenly Sweets - The Soulful Spoon,127 Thames St S Ingersoll ON N5C 2T3,12/04/2020
Heritage Homes Community Hub + Julie's Soups,146 Munroe St West Lorne ON N0L 2P0,
Hubee's Variety,229285 Culloden Line Brownsville ON N0L 1C0,
Ingersoll Pizza & Pasta,A-17 Thames St S Unit A Ingersoll ON N5C 2S8,10/15/2020
JTK Farms,293193 Culloden Line Ingersoll ON N5C 3J7,12/29/2020
Just Breathe Yoga Studio - Yoga studio with restaurant,109 Talbot Street W Aylmer ON N5H 1J6,07/30/2020
KFC - Dutton ONroute,27585 ON-401 E Dutton ON N0L 1J0,
KFC - West Lorne ONroute,27900 ON-401 W West Lorne ON N0L 2P0,03/02/2020
Kim's Friendly Variety - Sub Shop,107 Curtis St St. Thomas ON N5P 1J4,
Kool's Kitchen West Elgin Arena,171 Graham Rd West Lorne ON N0L 2P0,
KT's (Port Glasgow Trailer Park),8650 Furnival Rd Rodney ON N0L 2C0,
Kuma at the Centre,"Joe Thornton Community Centre 75 Caso Crossing St Thomas, ON N5P 3V7",
Lakeside Resort,256440 Sunova Crescent Lakeside ON N0M 2G0,
Lakeview Pizza in the City,2-71 Ross St St. Thomas ON N5R 3X6,
Leen's Fish Wagon,Main St Norwich ON N0J 1P0,
Little Bones,7 Stover St S Norwich ON N0J 1P0,06/19/2020
Little Caesars,210 Lisgar Ave Tillsonburg ON N4G 4L3,11/20/2020
Little Caesars,998 Dundas St W Woodstock ON N4S 1H3,
Little Caesars,6C-120 Thames St N Unit 6C Ingersoll ON N5C 4B1,
Little Caesar's,308 Wellington St St Thomas ON N5R 2S9,
Local Roots at the Park,219 Victoria St S Woodstock ON N4S 3K3,
Lucky Garden,10 Princess Ave St. Thomas ON N5R 3V2,09/21/2020
Main Street Taqueria,3-208 Main St Port Stanley ON N5L 1C3,
Market,401225 Highway 401 E Woodstock ON N4S 7V6,
Mennomex,10829 Imperial Road Aylmer ON,08/04/2020
Mikey's Pizzeria,100 Wilson Avenue St. Thomas ON N5R 3R2,
Mr. Cool Ice Cream,Pinafore Park St. Thomas ON,
"New New Age, The - Processing",54182 James Line Aylmer ON N5H 2R5,
New Orleans Pizza,5 Woodstock St N Tavistock ON N0B 2R0,10/22/2020
New York Fries,401225 Highway 401 E Woodstock ON N4S 7V6,
Norwich Community Centre - Dillon Park Snack Bar,53 Stover St S Norwich ON N0J 1P0,
ONT Express,401225 Hwy 401 E Ingersoll ON N4S 7W8,
Otterville Snack Bar-Park,2 North St E Otterville ON N0J 1R0,
Papa Joe's Epic Eats,115 William St Port Stanley Ontario N5L 1E1,
Papa Joe's Pizzeria,174 Main St Port Stanley ON N5L 1H6,
Papa Joe's Pizzeria,51142 Ron McNeil Line Springfield ON N0L 2J0,
Park Haven Lake Store,766254 5th Line Innerkip ON N0J 1M0,
Peter's Pizza Inc,45 Talbot St E Aylmer ON N5H 1J6,
Petro Canada,509 Broadway St. Tillsonburg ON N4G 3S8,
Petro Canada / Pizza Pizza/Mr Sub,773086 Highway 59 Norwich ON N0J 1P0,02/11/2020
Petro Canada/Coffee Time,685486 Hwy 2 Woodstock ON N4S 7V9,
"Pita Pit, The",5-877 Talbot St St. Thomas ON N5P 1E5,
Pizza 71 & More,2-71 Ross Street St. Thomas ON N5R 3X6,
Pizza By Design Inc.,2-14091 Belmont Rd Belmont ON N0L 1B0,
Pizza Hut,15-3 Huron St Woodstock ON N4S 6Y9,
Pizza Hut,2-287 Talbot St W Aylmer ON N5H 1J9,12/22/2020
Pizza Pizza,10075 Sunset Road St. Thomas ON N5P 3T2,
Pizza Pizza/Mr Sub/Ultramar,504 Talbot St W Aylmer ON N5H 2T8,
Pizzaworx,534 Elm St St Thomas ON N5R 1K7,
PJ's Pizza Company,238 Graham St. West Lorne ON N0L 2P0,
Plattsville Pizza,43 Albert St Plattsville ON N0J 1S0,
Popeye's Louisiana Kitchen,A-965 Talbot St St. Thomas ON N5P 1E8,06/29/2020
Quality Sheep Milk Ltd,383723 Salford Rd Salford ON N0J 1W0,
Ritchies Ice Cream & BBQ,773121 Hwy 59 Norwich ON N0J 1P0,
S&S Dutton Convenience Store,197 Currie Rd Dutton ON N0L 1J0,03/10/2020
Salt and Pepper Meals,157 Ross St St. Thomas ON N5R 3X9,
"Sandwitch, The",115 William St Port Stanley ON N5L 1B6,
Sebastian's Noodle Factory,323 Norwich Ave Woodstock ON N4S 1B5,
Shebaz,C-174 William St. Port Stanley ON N5L 1E4,
Shebaz at Ultramar,245 S Edgeware Rd St Thomas ON N5P 4C4,
Smitty's Backyard Burger,F-4-417 Wellington St Thomas ON N5R 2J2,07/28/2020
Smokin Caboose Barbeque,43743 Talbot Line St. Thomas ON N5P 3S7,10/23/2020
Snack City,258 Edward St St. Thomas ON N5P 1Z5,11/16/2020
Snyder's Family Farm - Autumn Grill,936685 Blenheim Rd Bright ON N0J 1B0,
Snyder's Family Farm - Bakery,936685 Blenheim Rd Bright ON N0J 1B0,
Snyder's Family Farm - Candy Barn,936685 Blenheim Rd Bright ON N0J 1B0,
Snyder's Family Farm - Hay Sugar,936685 Blenheim Rd Bright ON N0J 1B0,
Snyder's Family Farm - The Double Decker,936685 Blenheim Rd Bright ON N0J 1B0,
Snyder's Family Farm - The Potato Patch,936685 Blenheim Rd Bright ON N0J 1B0,
Springwater Pancake House,8079 Springwater Rd Aylmer ON N5H 2R4,02/19/2020
St Thomas Elgin General Hospital - Food Take Out,189 Elm St St. Thomas ON N5R 3X9,
St Thomas Fries-R-Us,1030 Talbot St St Thomas ON N5P 1G3,
Starbucks,401225 Highway 401 E Woodstock ON N4S 7V6,
Subway,400 Highbury Ave. South St. Thomas ON N5P 0A5,
Subway,417 Wellington St St. Thomas ON N5R 5J5,
"Terra Nova Therapy, Spa and Café",596145 Hwy 59 Woodstock ON N4S 7W1,08/13/2020
Thamesford Pizza,111 Charles St E Ingersoll ON N5C 1J9,
Thamesford Pizza,1-153 Dundas St Unit 1 Thamesford ON N0M 2M0,
The Oxford Drive In - Reel Treats,8 & 9-225 Bysham Park Dr Woodstock ON N4T 1P1,
The Souvlaki Guy,867 Dundas St Woodstock ON N4S 1G8,
The Tipsy Pig Co.,26779 Talbot Line Wallacetown ON N0L 2M0,06/02/2020
Tillson Pizza,67 Tillson Ave Tillsonburg ON N4G 3A2,
Tillson Pizza,102 Tillson Ave Tillsonburg ON,12/03/2020
Tim Hortons,14 Mill St Woodstock ON N4S 2V4,
Tim Hortons,401225 Highway 401 E Woodstock ON N4S 7V6,
Tim Hortons - Dutton ONroute,27585 ON-401 E Dutton ON N0L 1J0,
Tim Hortons - On the Go - Woodstock Hospital,310 Juliana Dr Woodstock ON N4V 0A4,
Tim Hortons - West Lorne ONroute,27900 ON-401 W West Lorne ON N0L 2P0,03/02/2020
Tito's Pizza,69 Woodstock St S Tavistock ON N0B 2R0 Canada,
TJ Chips,Carnegie St & Thames St N Ingersoll ON,
Traditional Fish and Chips,417 Wellington St St Thomas ON N5R 5J5,03/02/2020
Trout Lake,51 George St Innerkip ON N0J 1M0,07/08/2020
Twice the Deal Pizza,12 Huron St Woodstock ON N4S 6J2,
Village Catering & Deli,117 Dundas St Thamesford ON N0M 2M0,08/27/2020
"Village Market,The",2 Church St W Burgessville ON N0J 1C0,09/28/2020
Waffle Weiney,223 Colborne Street Port Stanley ON N5L 1C1,
Wilson Weenies,99 Mutual St Ingersoll ON N5C 1S6,
