Facility Name,Site Address,Facility Type,Last Inspection Date
1890 Restaurant G.B.,1 Water St Gore Bay ON P0P 1H0,Restaurant,14-Jul-20
7 Star Dumpling House,1-1355 Regent St Sudbury ON P3E 3Z1,Restaurant,07-Jan-21
A & W,1099 Marcus Dr Sudbury ON P3B 4K6,Restaurant,28-Aug-20
A & W,2416 Long Lake Rd Sudbury ON P3E 5H5,Restaurant,04-Dec-20
A & W,1380 Lasalle Blvd Sudbury ON P3A 1Z6,Restaurant,24-Nov-20
A & W,3080 Hwy 69 N Val Caron ON P3N 1R8,Restaurant,01-Dec-20
Alexandria's Restaurant & Lounge,211 Shaughnessy St Sudbury ON P3E 3E6,Restaurant,26-Nov-20
Ali Baba Cafe,833 Ontario St Sudbury ON P3E 4L1,Restaurant,08-Dec-20
Alley Katz Bistro and Bar,"12-145 Regional Rd 24, Lively ON P3Y 1J1",Restaurant,16-Nov-20
Almaz Health Food Store & Cafe,6 Eleanor St Gore Bay ON P0P 1H0,Restaurant,20-Oct-20
Anchor Inn,1 Water St Little Current ON P0P 1K0,Restaurant,04-Feb-21
Anke and Tony's Seafood,2037 Long Lake Rd Sudbury ON P3E 6J9,Restaurant,05-Mar-20
Apollo Restaurant,844 Kingsway Blvd Sudbury ON P3B 2E5,Restaurant,31-Aug-20
Arby's,1865 Paris St Sudbury ON P3E 3C5,Restaurant,19-Jan-21
Asian Restaurant,1-1899 Lasalle Blvd Sudbury ON P3A 2A3,Restaurant,15-Jul-20
Aux Trois Moulins,154 Martel Rd Chapleau ON P0M 1K0,Restaurant,13-Nov-20
B & J's Restaurant,55 Meredith St Gore Bay ON P0P 1H0,Restaurant,
Back Home Bistro,340 Sauble Street East Massey ON P0P 1P0,Restaurant,14-Aug-19
BE Greater Organics,1556 Lasalle Blvd Sudbury ON P3A 1Z7,Restaurant,28-Oct-20
Bear's Den Lodge,Hartley Bay Road Alban ON P0M 1A0,Restaurant,09-Jul-19
Beausejour Inn & Restaurant,1527 Hwy 64 Alban ON P0M 1A0,Restaurant,22-Oct-20
Bella Vita Cucina Ltd.,493 Kathleen St Sudbury ON P3C 2M7,Restaurant,16-Sep-20
Blue Bird Restaurant & Tavern,43 Levack Dr Levack ON P0M 2C0,Restaurant,17-Dec-20
Boston Pizza,120 Donna Dr Sudbury ON P3B 4K6,Restaurant,25-Nov-20
Bridal Veil Esso - Food Store/Variety & Restaurant,31 Main St Kagawong ON P0P 1J0,Restaurant,09-Oct-20
Brookwood Brae Golf Course,399 Ketchancookem Trail Mindemoya ON P0P 1S0,Restaurant,09-Jun-20
Buoy's Eatery,1 Purvis St Gore Bay ON P0P 1H0,Restaurant,30-Jun-20
Burger King,660 Notre Dame Ave Sudbury ON P3C 5L2,Restaurant,09-Jul-20
Burgers Plus,1-111 Centre Street Espanola ON P5E 1S4,Restaurant,28-Jan-20
Buzzy Brown's Brasserie,1984 Regent St Sudbury ON P3E 5R2,Restaurant,29-Oct-20
Cafe Obscura,102-130 Elm St Sudbury ON P3C 1T6,Restaurant,23-Jun-20
Cambrian College - Student Activity Centre,1400 Barrydowne Rd Sudbury ON P3A 3V8,Restaurant,01-Aug-19
Camp McIntosh (Restaurant),"Lot 13, 14, 15 Water St Copaning Village ON P0G 1A0",Restaurant,13-Jul-20
Canton Restaurant,40 Elm St Sudbury ON P3C 1S8,Restaurant,10-Sep-20
Cara's Convenience and Deli,1055 Lorne St Sudbury ON P3C 4S5,Restaurant,29-Sep-20
Carol & Earls Restaurant,21306 Hwy 6 S South Baymouth ON P0P 1Z0,Restaurant,09-Jul-20
Cedar Green Golf Club,100 Carr Ave Garson ON P3L 1M2,Restaurant,28-Jul-20
Chapleau Lodge (Restaurant),0 Lodge Road Chapleau ON P0M 1K0,Restaurant,29-Jul-20
Chateau Guay Motel,2865 Kingsway Blvd Sudbury ON P3B 2G4,Restaurant,17-Sep-20
Chelmsford Golf Course,99 Golf Course Rd Chelmsford ON P0M 1L0,Restaurant,10-Jun-20
Chew's Restaurant,3451 Errington Ave Chelmsford ON P0M 1L0,Restaurant,17-Dec-20
China City,42 Meredith St E Little Current ON P0P 1K0,Restaurant,21-Oct-20
Chiniguchi Camp,Chiniguchi Lake Skead ON P0M 2Y0,Restaurant,06-Jul-20
Chop Stix Restaurant,3095 Hwy 69 N Val Caron ON P3N 1G3,Restaurant,30-Nov-20
