Facility Name,Site Address,Facility Type,Last Inspection Date
2 Legged Bear Mobile Food Cart - Mobile Food Cart,25965 Hwy 540 Meldrum Bay ON P0P 1R0,Food Take Out,30-Jul-19
3 Boys & A Girl,6117 Hwy 542 Mindemoya ON P0P 1S0,Food Take Out,30-Jul-20
3 Cows Fries Mobile,64 Meredith Street Little Current ON P0P 1K0,Food Take Out,07-Jul-20
A & G Grab N Go Fries,90 Main St Dowling ON P0M 1L0,Food Take Out,08-Jun-20
A & W,1349 Lasalle Blvd Sudbury ON P3A 1Z2,Food Take Out,16-Oct-20
Adanac Chalet,744 Beatrice Cres Sudbury ON P3A 5B5,Food Take Out,30-Jan-20
Adlerhorst Farm,262 Twelfth Avenue Lively ON P3Y 1M8,Food Take Out,
Amici Food + Beverage Co.,1-863 Barrydowne Road Sudbury ON P3A 3T9,Food Take Out,09-Feb-21
At 827 Chipstand,827 Hwy 64 Alban ON P0M 1A0,Food Take Out,06-Apr-20
Aunt Bea's Corner Kitchen,20A Channel Street Killarney Ontario P0M 2A0,Food Take Out,30-Apr-20
Authentic Mexican Takeout,116 Queen Street Manitowaning ON P0P 1N0,Food Take Out,28-Feb-20
B & B Convenience-Lunch Counter,9 Main St St.-Charles ON P0M 2W0,Food Take Out,22-Oct-20
Battistelli's Your Independent Grocer - Deli / Food Take Out,65 Regional Rd 24 Lively ON P3Y 1H3,Food Take Out,09-Dec-20
Battistelli's Your Independent Grocer - Produce Counter,65 Regional Rd 24 Lively ON P3Y 1H3,Food Take Out,09-Dec-20
Bell Park Main Beach Concession Stand,1 Bell Park Rd Sudbury ON P3E 5J1,Food Take Out,16-Oct-19
Bento Sushi (Location #2624),1836 Regent St Sudbury ON P3E 3Z8,Food Take Out,02-Nov-20
Bento Sushi (Location #2803),1485 Lasalle Blvd Sudbury ON P3A 5H7,Food Take Out,20-Jan-21
Bitter Bill's Ice Cream Parlour,3695 Clarence St Val Caron ON P3N 1H4,Food Take Out,08-Oct-20
Booster Juice,1835 Regent St Sudbury ON P3E 3Z7,Food Take Out,03-Mar-20
Booster Juice,203B-1425 Kingsway Blvd Sudbury ON P3B 0A2,Food Take Out,08-Feb-21
Booster Juice,1349 Lasalle Blvd Sudbury ON P3A 1Z2,Food Take Out,16-Oct-20
Buies Grocery & Take-out,9379 Hwy 542 Spring Bay ON P0P 2B0,Food Take Out,12-Nov-20
Cambrian College - Tim Hortons,1400 Barrydowne Rd Sudbury ON P3A 6B9,Food Take Out,10-Mar-20
Campbell's Drive Inn,Regional Rd 1 Gore Bay ON P0P 1H0,Food Take Out,17-Jun-20
Canadian Yacht Charters - Variety store/Ice Cream Vendor,30 Water St Gore Bay ON P0P 1H0,Food Take Out,07-Jul-20
Capreol Cross Country Ski Club,99 Lakeshore St Capreol ON P0M 1H0,Food Take Out,19-Mar-19
Capreol Foodland,85 Young St Capreol ON P0M 1H0,Food Take Out,28-Aug-20
Cara's Deli on Wheels,1178 Falconbridge Rd Sudbury ON P3A 4N1,Food Take Out,
Channel Marina,37 Channel St Killarney ON P0M 2A0,Food Take Out,07-Jul-20
Chemmy's Fish & Chips,3331 Errington Ave Chelmsford ON P0M 1L0,Food Take Out,11-Sep-20
Chris' Your Independent Grocer - Deli,82 Lorne St Sudbury ON P3C 4P2,Food Take Out,18-Dec-20
Chris' Your Independent Grocer - Produce Counter,82 Lorne St Sudbury ON P3C 4P2,Food Take Out,18-Dec-20
