Facility Name,Site Address,Community,Inspection Area,Last Inspected,Last Infractions,Services
WOODFIRED CAFÉ & BAKECURRY,"#499 Lancaster St W,  Kitchener Ontario",KITCHENER,Food Safety,06-Feb-2021,1,-
1001 NIGHTS SHAWARMA,"#105-1450 BLOCK LINE RD,  KITCHENER ON N2C 0A5",KITCHENER,Food Safety,03-Sep-2020,3,-
10-4 COUNTRYSIDE VARIETY AND GAS,"#3589 Bleams Rd,  NEW HAMBURG ON N3A 2J1",NEW HAMBURG,Food Safety,05-Feb-2020,1,-
126 CHINESE RESTAURANT,"#2922 KING ST EST,  KITCHENER ON N2A 1A7",KITCHENER,Food Safety,07-Oct-2020,2,-
13 FOOD AND BEVERAGE,"#13 MAIN ST,  CAMBRIDGE ON N1R 7G9",CAMBRIDGE,Food Safety,16-Jul-2020,4,-
168 SUSHI ASIAN BUFFET,"#D4,5-50 Westmount Rd N,  WATERLOO ON N2L 2R5",WATERLOO,Food Safety,15-Jan-2020,6,-
200 OLD CARRIAGE DRIVE -CAFE,"#200 Old Carriage Drive,  Kitchener Ontario N2P 0C7",KITCHENER,Food Safety,22-Nov-2019,,-
21 FIR,"#100 King St S,  Waterloo ON N2J 1P5",WATERLOO,Food Safety,15-Nov-2019,,-
271 WEST,"#271 KING ST W,  KITCHENER ON N2G 1B1",KITCHENER,Food Safety,17-Dec-2019,2,-
5 STAR SHAWARMA & PIZZA,"#4-585 Weber St N,  Waterloo ON",WATERLOO,Food Safety,07-Jan-2020,2,-
519 COMMUNITY COLLECTIVE,"#242 Chandos Dr,  Kitchener ON N2A 3Z6",KITCHENER,Food Safety,09-Feb-2021,6,-
7 DAYS MINI MART,"#3-465 PHILLIP ST,  WATERLOO ON N2L 6C7",WATERLOO,Food Safety,06-Jan-2020,,-
7 STAR CONVENIENCE,"#156 ERB ST W,  WATERLOO ON N2L 1V3",WATERLOO,Food Safety,16-Jan-2020,,-
7-ELEVEN,"#256 KING ST N,  WATERLOO ON N2J 2Y9",WATERLOO,Food Safety,06-Jul-2020,3,-
7-ELEVEN,"#425 UNIVERSITY Ave E,  WATERLOO ON N2K 4C9",WATERLOO,Food Safety,14-Jan-2020,,-
99 MYTHIC TASTE WATERLOO,"#330 Phillip St,  Waterloo Ontario N2L 3W9",WATERLOO,Food Safety,29-Oct-2020,3,-
A PLUS VARIETY,"#102-318 Spruce St,  Waterloo ON N2L 3M7",WATERLOO,Food Safety,24-Nov-2020,,-
A QUICK STOP VARIETY,"#260 DOON SOUTH DR,  KITCHENER ON N2P 2L8",KITCHENER,Food Safety,04-Feb-2020,,-
A&T VARIETY,"#499 Main St,  Cambridge ON N1R 8N9",CAMBRIDGE,Food Safety,11-Apr-2019,,-
A&W,"#443 Highland Rd W,  KITCHENER ON N2M 3C6",KITCHENER,Food Safety,31-Jul-2020,3,-
A&W,"#D-650 ERB ST W,  WATERLOO ON N2K 2K8",WATERLOO,Food Safety,10-Jan-2020,1,-
A&W,"#383 Arthur St S,  Elmira ON N3B 2P5",ELMIRA,Food Safety,10-Jan-2020,,-
A&W,"#F1-550 KING ST N,  WATERLOO ON N2L 5W6",WATERLOO,Food Safety,27-Aug-2020,4,-
A&W,"#201-330 Farmers Market Rd,  WOOLWICH ON N2V 0A5",WOOLWICH,Food Safety,11-Feb-2021,5,-
A&W,"#933 VICTORIA ST N,  KITCHENER ON N2B 3C6",KITCHENER,Food Safety,27-Jan-2021,2,-
A&W,"#180 Holiday Inn DR,  Cambridge ON N3C 3T2",CAMBRIDGE,Food Safety,29-Jan-2021,,-
A&W,"#751 Ottawa St S,  Kitchener ON N2E 0A5",KITCHENER,Food Safety,27-Jan-2021,,-
A&W,"#270 BLEAMS RD,  KITCHENER ON N2C 2K6",KITCHENER,Food Safety,21-Jul-2020,3,-
A&W,"#580 HESPELER RD,  CAMBRIDGE ON N3H 5L8",CAMBRIDGE,Food Safety,13-Jan-2020,,-
A&W,"#4555-2960 KINGSWAY DR,  KITCHENER ON N2C 1X1",KITCHENER,Food Safety,10-Feb-2020,4,-
A&W,"#315 LINCOLN RD,  WATERLOO ON N2J 4H7",WATERLOO,Food Safety,01-Sep-2020,1,-
A&W,"#355 HESPELER RD,  CAMBRIDGE ON N1R 6B3",CAMBRIDGE,Food Safety,10-Feb-2020,,-
A&W DEER RIDGE #4935,"#4195 King ST, E,  KITCHENER ON N2P 2E8",KITCHENER,Food Safety,30-Jan-2020,2,-
A&W RESTAURANT,"#200 FRANKLIN BLVD,  CAMBRIDGE ON N1R 8N8",CAMBRIDGE,Food Safety,08-Feb-2021,,-
A&Z CONVENIENCE STORE AND SNACK BAR,"#328 KING ST W,  KITCHENER ON N2G 1B7",KITCHENER,Food Safety,23-May-2019,,-
A.M. AFRICA RESTAURANT,"#1472 KING ST E,  KITCHENER ON N2G 2N7",KITCHENER,Food Safety,27-Oct-2020,1,-
A.M. VARIETY,"#100 QUEEN ST N,  KITCHENER ON N2H 2H6",KITCHENER,Food Safety,10-Dec-2019,,-
A.R. GOUDIE KITCHENER,"#369 FREDERICK ST,  KITCHENER ON N2H 2P1",KITCHENER,Food Safety,10-Dec-2020,1,-
AAA PIZZA & WINGS,"#3-280 VICTORIA ST N,  KITCHENER ON N2H 5E2",KITCHENER,Food Safety,19-Nov-2020,7,-
ABE ERB BREW CO.,"#143 Northumberland Ayr,  ON N0B 1E0",AYR,Food Safety,29-Aug-2020,8,-
ACE PING PONG LOUNGE,"#9 King Street North,  Waterloo ON N2J 2W6",WATERLOO,Food Safety,07-May-2019,,-
ACE SHAWARMA AND KABABS,"#82 King St W,  KITCHENER ON N2G 1A6",KITCHENER,Food Safety,06-Aug-2020,1,-
ADDIS INJERA,"#368 Park,  St. Kitchener ON N2G 1N1",KITCHENER,Food Safety,13-Nov-2020,5,-
ADOBO FRESH BURRITO MEXICAN GRILL,"#10-970 FRANKLIN BLVD,  CAMBRIDGE ON N1R 8R3",CAMBRIDGE,Food Safety,02-Mar-2020,,-
ADULT RECREATION CENTRE,"#185 KING ST S,  WATERLOO ON N2J 1P7",WATERLOO,Food Safety,30-Jan-2020,,-
AFRICAN FOOD SERVICES,"#53 Hillside Ave,  BROWN ON N1R 5S3",NORTH DUMFRIES,Food Safety,09-Oct-2019,,-
AFRI-CAN MARKET,"#A-50 ONTARIO ST S,  Kitchener ON N2G 1X4",KITCHENER,Food Safety,04-Feb-2020,2,-
AFRO-EAST RESTAURANT,"#91 Queen Street S,  Kitchener ON N2G 1V9",KITCHENER,Food Safety,-,,-
AH SO SUSHI,"#350 Hespeler Rd,  CAMBRIDGE ON N1R 7N7",CAMBRIDGE,Food Safety,20-Mar-2019,,-
AHREN'S CONVENIENCE,"#132 AHRENS ST W,  KITCHENER ON N2H 4C7",KITCHENER,Food Safety,10-Apr-2019,1,-
