Facility Name,Site Address,Facility Type,Last Inspection Date
4K's Riverside Grill,8442 Wyandotte St E Windsor ON N8S 1T6,Restaurant (Full Service),17-Sep-2020
7 Spices,2-1580 Wyandotte St E Windsor ON N9A 3L2,Restaurant (Full Service),14-Jan-2021
A & A Corner Grill,1500 Pillette Rd Windsor ON N8Y 3L2,Restaurant (Full Service),15-Jan-2021
A-1 Chinese Food,60 Talbot St N Essex ON N8M 1A9,Restaurant (Full Service),08-Dec-2020
A-1 Chinese Food,319 Erie St S Leamington ON N8H 3C8,Restaurant (Full Service),29-Oct-2019
Acapulco Delight,485 Pelissier St W Windsor ON N9A 4L2,Restaurant (Full Service),18-Nov-2020
Akasaka Sushi,2465 Dougall Ave Windsor ON N8X 1T3,Restaurant (Full Service),17-Sep-2019
Alaturka Turkish Kitchen,2763 Howard Ave Windsor ON N8X 3X7,Restaurant (Full Service),20-Oct-2020
Alborz Persian Restaurant,725 Pelissier Ave Windsor ON N9A 4L4,Restaurant (Full Service),13-Nov-2020
Aloony Shawarma,1005 Lincoln Road Windsor ON N9A 4A3,Restaurant (Full Service),21-Jan-2021
Al-Petraa Restaurant,671 Wyandotte St E Windsor ON N9A 3J3,Restaurant (Full Service),30-Oct-2019
Al-Sabeel Restaurant,1129 Wyandotte St E Windsor ON N9B 3K4,Restaurant (Full Service),06-Jan-2021
Ambassador Golf Club,1025 Sprucewood Ave Windsor ON N9J 3Z1,Restaurant (Full Service),14-Jul-2020
Anchor & Wheel Inn,11 West Shore Rd Pelee Island ON N0R 1M0,Restaurant (Full Service),29-Jun-2020
Angelo's Pizzeria Hot Spot,3606 Seminole St Windsor ON N8Y 1Y4,Restaurant (Full Service),02-Oct-2020
Applebee's,240-2187 Huron Church Rd Windsor ON N9C 2L8,Restaurant (Full Service),20-Aug-2020
Applebee's Neighbourhood Bar & Grill,2250 Division Rd Windsor ON N8W 3P6,Restaurant (Full Service),21-Aug-2020
Armando's Pizza,13151 Tecumseh Rd E Tecumseh ON N8N 3T4,Restaurant (Full Service),22-Jan-2021
Armando's Pizza,9150 Riverside Dr E Windsor ON N8S 1H1,Restaurant (Full Service),04-Sep-2020
Armando's Pizza,154 Erie St N Leamington ON N8H 3A4,Restaurant (Full Service),06-Nov-2020
Armando's Pizza,325 Talbot St N Essex ON N8M 2W3,Restaurant (Full Service),10-Dec-2020
Armando's Pizza,8-421 Sandwich St S Amherstburg ON N9V 3K8,Restaurant (Full Service),21-Jul-2020
Armando's Pizza Bar / Takeouts,326 Cabana Rd E Windsor ON,Restaurant (Full Service),16-Sep-2020
