Facility Name,Site Address,Facility Type,Last Inspection Date
A Slice of Pi,176-5841 Malden Rd LaSalle ON N8X 4B1,Food Take Out,03-Dec-2020
Aaron's Amazing Meals To Go,717 Optimist St Belle River ON N0R 1A0,Food Take Out,29-Jan-2021
African Delicacies Kitchen,Basement-391 Lauzon Rd Windsor ON N8S 3M1,Food Take Out,26-Jan-2021
Ah So Sushi,2144 Huron Church Rd Windsor ON N9C 2L7,Food Take Out,20-Aug-2020
Amloze Pizza,1130 Lesperance Rd Tecumseh ON N8N 1X2,Food Take Out,08-Jan-2021
Antonino's Original Pizza,1695 Manning Rd Tecumseh ON N8N 2L9,Food Take Out,27-Feb-2019
Antonino's Original Pizza,4350 Howard Ave Windsor ON N9G 1P4,Food Take Out,15-Sep-2020
Arcata Pizzeria,3021 Dougall Ave Windsor ON N9E 1S3,Food Take Out,02-Nov-2020
Armando's On The Go,7-2760 Howard Ave Windsor ON N8X 3X6,Food Take Out,12-Jan-2021
Armando's Pizza,5-1679 Cty Rd 22 Belle River ON N0R 1A0,Food Take Out,08-Nov-2019
At The Market,1030 Walker Rd Windsor ON N8Y 2N5,Food Take Out,10-Aug-2020
Baby Backs,1494 Pillette Rd Windsor ON N8Y 3B9,Food Take Out,17-Nov-2020
Basha's Shawarma,8-500 Manning Rd Tecumseh ON N8N 5H3,Food Take Out,11-Sep-2020
Beachside Eats and Treats,100 Jackson Street Harrow ON N0R 1G0,Food Take Out,15-May-2019
Beattie's BBQ,2362 Front Rd Lasalle ON N9J 2C4,Food Take Out,13-Aug-2020
Bento Nouveau,2430 Dougall Ave Windsor ON N8X 1T2,Food Take Out,22-Sep-2020
Bento Nouveau,7201 Tecumseh Rd E Windsor ON N8T 3K4,Food Take Out,09-Oct-2020
Bento Sushi,19 Amy Croft Dr Tecumseh ON N9K 1C7,Food Take Out,13-Feb-2020
Bento Sushi,3120 Dougall Ave Windsor ON N9E 1S7,Food Take Out,21-Aug-2020
Bento Sushi,5890 Malden Rd Lasalle ON N9H 1S4,Food Take Out,12-Jan-2021
Bhullar Imports,3240 Dougall Ave Windsor ON N9E 1S6,Food Take Out,20-Jan-2021
Bite N' Go,1809 Tecumseh Road East Windsor ON N8W 1C8,Food Take Out,04-Dec-2020
Booster Juice,7546 Tecumseh Rd E Windsor ON N8T 1E9,Food Take Out,02-Jul-2020
Bubble Tea Express,634 Notre Dame St Belle River ON N0R 1A0,Food Take Out,23-Sep-2020
Bull's Eye Pizza,214 Lauzon Rd Windsor ON N8S 3L6,Food Take Out,12-Jan-2021
Bull's Eye Pizza,139 Sandwich St S Amherstburg ON N9V 1Z9,Food Take Out,29-Jul-2020
Bull's Eye Pizza,1205 Cty Rd 22 Emeryville ON N0R 1C0,Food Take Out,21-Sep-2020
Bull's Eye Pizza,1405 Tecumseh Rd W Windsor ON N9B 1T7,Food Take Out,17-Nov-2020
Buskers Subs,1805 Tecumseh Rd W Windsor ON N9B 1V4,Food Take Out,29-Sep-2020
Caesars Windsor - Pronto,377 Riverside Dr E Windsor ON N9A 7H7,Food Take Out,17-Dec-2019
Calder Hall Farms Juice Bars,1175 University Ave W Windsor ON N9A 5T1,Food Take Out,
Campbell Pizza,1735 College Ave Windsor ON N9B 1M4,Food Take Out,04-Feb-2021
Capri Pizzeria,9931 Tecumseh Rd E Windsor ON N9E 1S4,Food Take Out,21-Feb-2020
Capri Pizzeria,25 Main St W Kingsville ON N9Y 1H2,Food Take Out,30-Oct-2020
Capri Pizzeria,568 Notre Dame St Belle River ON N0R 1A0,Food Take Out,18-Sep-2020
Capri Pizzeria,2000 Talbot Rd W Windsor ON N9A 6S4,Food Take Out,18-Nov-2020
Capri Pizzeria,266 Erie St S Leamington ON N8H 3C5,Food Take Out,23-Dec-2019
Capri Pizzeria,1468 Front Rd LaSalle ON N9J 2B3,Food Take Out,16-Mar-2020
Capri Pizzeria,95 Talbot St S Essex ON N8M 1B3,Food Take Out,15-Oct-2020
Capri Pizzeria,503 Sandwich St S Amherstburg ON N9V 3K8,Food Take Out,18-Nov-2019
Capri Pizzeria,12-25 Amy Croft Dr Tecumseh ON N9K 1C7,Food Take Out,22-Oct-2020
Capri Pizzeria Recreation Complex,2555 Pulford Rd Windsor ON N9E 1A9,Food Take Out,15-Jun-2020
Caribbean Island Spice,1725 Wyandotte St W Windsor ON N9B 1J2,Food Take Out,13-Oct-2020
Chalice Spice,1510 Bouffard Rd LaSalle ON N9J 1H2,Food Take Out,19-Jun-2019
Charron's Quality Market,2757 Whelpton St Windsor ON N8Y 1V8,Food Take Out,11-Sep-2020
Cheese Wheelz,2950 Dougall Avenue Windsor ON N9E 1S2,Food Take Out,16-Nov-2020
Cheesecake on a stick,460 Main St E Kingsville ON N9Y 2K5,Food Take Out,30-Jul-2020
CHICKEN AL-DIMASHQI,527 Wyandotte St E Windsor Ontario N9A 3J1,Food Take Out,04-Sep-2020
Chiki Shack,142 Talbot St E Leamington ON N8H 1M1,Food Take Out,06-Nov-2020
Chochi's Pizza,473 Notre Dame St Belle River ON N0R 1A0,Food Take Out,18-Sep-2020
Chochi's Pizza,91 Talbot St N Essex ON N8M 2C3,Food Take Out,11-Feb-2021
Chocolate Novelties,215 Emery Dr Emeryville ON N0R 1C0,Food Take Out,18-Dec-2020
Cineplex - Pretzel Maker/TCBY,4611 Walker Rd Windsor ON N8W 5S6,Food Take Out,14-Feb-2020
City Sandwich,1030 Walker Rd Windsor ON N8Y 2N5,Food Take Out,13-Jan-2021
Clancy's Convenience,2646 Seminole St Windsor ON N8Y 1X7,Food Take Out,26-Jan-2021
Como's,1255 Grand Marais Rd W Windsor ON N9E 2L3,Food Take Out,03-Nov-2020
Cook-up Inc.,101-1501 Howard Avenue 101 Windsor ON N8X 3T5,Food Take Out,
Cortina Gourmet Market,4300 Howard Ave Windsor ON N9G 1P4,Food Take Out,29-Sep-2020
Creekside Market,1030 Walker Rd Windsor ON N8Y 2N5,Food Take Out,20-Aug-2020
Croatian Club,4895 8th Conc Windsor ON N0R 1K0,Food Take Out,03-Jun-2019
Cup or Cone Creamery Inc,4320 Howard Ave Windsor ON N9G 1P4,Food Take Out,15-Sep-2020
Da Vinci's Pizza,1434 Ottawa St Windsor ON N8X 2G2,Food Take Out,27-Jan-2021
Dari Delite,2686 Howard Ave Windsor ON N8X 3X3,Food Take Out,29-Jul-2020
DAVIDsTEA,3100 Howard Ave Windsor ON N8X 3Y8,Food Take Out,25-Feb-2020
Deda's Meats & Deli,5211 Tecumseh Rd E Windsor ON N5T 1C3,Food Take Out,27-Oct-2020
Descent Of The Holy Ghost Romanian Orthodox Church,2895 Seminole St Windsor ON N8Y 1Y1,Food Take Out,30-Sep-2020
Doggy Style,1494 Pillette Rd Windsor ON N8Y 3B9,Food Take Out,05-Aug-2020
Domino's Pizza,46 Main St E Kingsville ON N9Y 1A2,Food Take Out,31-Jan-2020
Domino's Pizza,1995 Tecumseh Rd W Windsor ON N9B 1V7,Food Take Out,08-Jan-2020
Domino's Pizza,390 Manning Rd Tecumseh ON N8N 2G8,Food Take Out,25-Jan-2021
Domino's Pizza,303-1555 Talbot Rd LaSalle ON N9H 2N2,Food Take Out,18-Mar-2020
Domino's Pizza,510 Notre Dame St Belle River ON N0R 1A0,Food Take Out,19-Nov-2020
Domino's Pizza,41 Arthur Ave Essex ON N8M 2N1,Food Take Out,03-Sep-2020
Domino's Pizza,6-7-129 Erie St S Leamington ON N8N 3B5,Food Take Out,13-Nov-2020
Domino's Pizza,8414 Wyandotte St E Windsor ON N8S 1T6,Food Take Out,25-Jan-2021
Domino's Pizza,4000 Tecumseh Rd E Windsor ON N8W 1J6,Food Take Out,29-Sep-2020
Donna's Deli,8438 Wyandotte St Windsor ON N8S 1T6,Food Take Out,25-Jan-2021
Dressed By An Olive,366 Manning Rd Tecumseh ON N8N 4W5,Food Take Out,30-Oct-2020
East Valley Pizza,25 Amy Croft Dr Tecumseh ON N9K 1C7,Food Take Out,10-Sep-2020
Eat 'Em Up Earl's,B-173 Sandwich St Amherstburg ON N9V 1Z9,Food Take Out,19-Aug-2020
Eighteen 12 Poutine,421 Sandwich St S Amherstburg ON N9V 3K8,Food Take Out,10-Dec-2020
El Aguila Cocina Mexicana,4-114 Talbot St E Leamington ON N8H 1L5,Food Take Out,30-Nov-2020
Emmanuel United Church,1728 Lincoln Windsor ON N8W 2P7,Food Take Out,28-Nov-2019
Erie Shores Golf & Country Club - Take Out,305 Robson Rd Leamington ON N8H 3V4,Food Take Out,13-Aug-2020
Ernie & Rusty's Dairy Bar,620 University Ave W Windsor ON N9A 5R5,Food Take Out,14-Sep-2020
Fast Food Joint,1806 Wyandotte St W Windsor ON N9B 1J3,Food Take Out,03-Dec-2020
Ford City Scoop,1050 Drouillard Road Windsor ON N8Y 2P8,Food Take Out,31-Jul-2019
Freshly Squeezed,FCU13-3100 Howard Ave Windsor ON N8X 3Y8,Food Take Out,08-Dec-2020
Galati Cheese,931 Tecumseh Rd W Windsor ON N8X 2A9,Food Take Out,13-Oct-2020
Gino's Pizza,12284 Cty Rd 42 Tecumseh ON N8N 2M1,Food Take Out,04-Nov-2020
Golden Crust Pizzeria,473 Sandwich St S Amherstburg ON N9V 3G5,Food Take Out,03-May-2019
Gong Shui Tea House,1584 Huron Church Rd Windsor ON N9C 2L1,Food Take Out,15-Oct-2020
Grandma's Healthy Food,Lower-1493 Wyandotte St E Windsor ON N9A 3L1,Food Take Out,23-Sep-2020
Greenside Grill,640 County Rd 20 Kingsville ON N9Y 2E9,Food Take Out,14-Sep-2020
Groovy Smoothies,23 Erie St S Leamington ON N8H 3A6,Food Take Out,25-Oct-2019
Gyros & More,1-129 Erie St S Leamington ON N8H 3B5,Food Take Out,17-Sep-2020
Gyros Plus,274 Simcoe St Amherstburg ON N9V 1M9,Food Take Out,29-Sep-2020
Hamburgers 4 All,3100 Jefferson Blvd Windsor ON N8T 3E8,Food Take Out,
Hanan's Bakery Middle Eastern,575 Wyandotte St E Windsor ON N9A 3T1,Food Take Out,16-Dec-2020
Happy Garden Restaurant,5905 Malden Rd LaSalle ON N9H 1S6,Food Take Out,12-Nov-2020
Harrow United Church,45 Munger Ave Harrow ON N0R 1G0,Food Take Out,15-Oct-2020
Homestyle Deli,1375 Grand Marais Rd W Windsor ON N9E 1E3,Food Take Out,23-Sep-2020
Hurry Curry,7654 Tecumseh Rd E Windsor ON N8T 1E9,Food Take Out,13-Oct-2020
Ice Cool Treats,65 Talbot St S Essex ON N8M 1B1,Food Take Out,01-May-2019
Ice Time Market,243 MacAffee Road Harrow ON N0R 1G0,Food Take Out,21-Feb-2020
Jerusalem Express,1767 University Ave W Windsor ON N9B 1C5,Food Take Out,02-Sep-2020
Joyful Lynne,3 Main St E Kingsville Ontario N9Y 1A1,Food Take Out,29-Oct-2020
Just Chicken,425 Tecumseh Rd W Windsor ON N8X 1G6,Food Take Out,08-Oct-2020
Just Jeff's,4315 Seminole St Windsor ON N8Y 1Z6,Food Take Out,29-Sep-2020
Kingsville BBQ,18-313 Main St E Kingsville ON N9Y 1A7,Food Take Out,11-Dec-2020
Kinsmen Cafe & Bar on the beach,24 Seacliff Dr Leamington ON N8H 2L2,Food Take Out,09-Jul-2019
La Hacienda Mexican Food,25 Talbot St E Leamington ON N8H 1L1,Food Take Out,02-Nov-2020
La Pita Cuisine,400-2055 Sandwich W Pkwy LaSalle ON N9H 2B8,Food Take Out,04-Feb-2020
Lagos Grill,433 Ouellette Ave Windsor ON N9A 4J2,Food Take Out,01-Sep-2020
Lakewood Cafe,13451 Riverside Dr E Tecumseh ON N8N 5A6,Food Take Out,02-Jul-2019
Lasalle Fitness Smoothie Bar,5841 Malden Rd Lasalle ON N9H 1S3,Food Take Out,14-Feb-2020
Leamington Catering,49 Oak St E Leamington ON N8H 2C3,Food Take Out,03-Nov-2020
Leamington Kinsmen Recreation Complex - Kin Kafe,249 Sherk St Leamington ON N8H 4X7,Food Take Out,29-Nov-2019
Leamington Kinsmen Recreation Complex - Upper Canteen,249 Sherk St Leamington ON N8H 4X7,Food Take Out,29-Nov-2019
Lee and Maria's,692 Seacliff Dr Kingsville ON N9Y 2K7,Food Take Out,18-Jan-2021
Little Caesars,1091 Lauzon Rd Windsor ON N8S 3M8,Food Take Out,12-Jan-2021
Little Caesar's,91 Erie St S Leamington ON N8H 3B4,Food Take Out,25-Sep-2020
Little Caesars Pizza,300 Tecumseh Rd E Windsor ON N8X 2R3,Food Take Out,05-Jan-2021
Little Caesars Pizza,9-400 Sandwich St Amherstburg ON N9V 3L4,Food Take Out,21-Jul-2020
Little Caesars Pizza,7-59 Main St E Kingsville ON N9Y 1A1,Food Take Out,18-Jan-2021
Little Caesars Pizza,13454 Tecumseh Rd E Tecumseh ON N9M 3T7,Food Take Out,08-Dec-2020
Little Caesars Pizza,6000 Malden Rd LaSalle ON N9H 1S7,Food Take Out,29-Oct-2020
Little Caesars Pizza,10-3920 Dougall Ave Windsor ON N9G 1Z2,Food Take Out,01-Oct-2020
Little Caesars Pizza,1-2385 Tecumseh Rd W Windsor ON N9V 1N1,Food Take Out,11-Feb-2020
Little Caesars Pizza,316 Talbot St N Essex ON N8M 1C1,Food Take Out,28-Jan-2021
Little Caesars Pizza,3747 Tecumseh Rd E Windsor ON N8W 1H8,Food Take Out,06-Aug-2020
Little Mama's Kitchen,B-4619 Tecumseh Road East Windsor ON N8W 1K8,Food Take Out,28-Sep-2020
M & R Country Store,274 Cty Rd 42 Tecumseh ON N8N 2L9,Food Take Out,04-Nov-2020
Macro Foods,6000 Malden Rd Lasalle ON N9H 1S7,Food Take Out,03-Feb-2020
Macro Foods,1389 Wyandotte St E Windsor ON N9A 3K8,Food Take Out,21-Oct-2020
Mama's Meat Shop,1277 Grand Marias Rd W Windsor ON N9E 1E1,Food Take Out,07-Jan-2021
Maverick's Cold Bar,55 E Pike Creek Rd Lakeshore ON N8N 3S1,Food Take Out,03-Jun-2019
Maya's Catering,3746 Sandwich St Windsor ON N9C 3C1,Food Take Out,11-Dec-2020
McDonald's,2-1635 Cty Rd 22 Belle River ON N0R 1A0,Food Take Out,07-Aug-2020
Meals on Wheels,320 Richmond St Amherstburg ON N9V 3N5,Food Take Out,23-Sep-2020
Mexico Lindo,4611 Tecumseh Rd E Windsor ON N8W 1K8,Food Take Out,13-Dec-2019
Midtown Cafe,2485 Ouellette Ave Windsor ON N8X 4Y6,Food Take Out,07-Jan-2020
Mikal's Golden Chocolate,2-33 Amy Croft Dr Tecumseh ON N9K 1C7,Food Take Out,21-Feb-2020
Moe Joe Pizza,1000 Wyandotte Street East Windsor ON N9A 3K2,Food Take Out,22-Dec-2020
Monaco Express,2-2212 Huron Church Rd Windsor ON N9C 2L7,Food Take Out,11-Dec-2019
