name,address,city,postal_code,latitude,longitude,stars,is_open,RestaurantsPriceRange2,RestaurantsTakeOut,RestaurantsDelivery,OutdoorSeating,categories,business_id
Philthy Phillys,"15480 Bayview Avenue, unit D0110",Aurora,L4G 7J1,44.0109618,-79.448677,4.5,1,NA,True,True,False,"Restaurants, Cheesesteaks, Poutineries",eBEfgOPG7pvFhb2wcG9I7w
Banzai Sushi,300 John Street,Thornhill,L3T 5W4,43.8204923,-79.3984661,4.5,1,NA,True,True,NA,"Japanese, Fast Food, Food Court, Restaurants",lu7vtrp_bE9PnxWfA8g4Pg
Apadana Restaurant,13071 Yonge Street,Richmond Hill,L4E 1A5,43.9470107964,-79.454861645,3,1,NA,True,True,True,"Persian/Iranian, Turkish, Middle Eastern, Restaurants, Kebab",9sRGfSVEfLhN_km60YruTA
Gourmet Burger Company,843 Kipling Avenue,Toronto,M8Z 5G9,43.6332914,-79.5317683,3,0,2,True,False,False,"Restaurants, Burgers, Food",rVBPQdeayMYht4Uv_FOLHg
Mi Mi Restaurant,688 Gerrard Street E,Toronto,M4M 1Y3,43.6663763388,-79.3487726589,4,1,1,True,False,False,"Vietnamese, Restaurants",0QjROMVW9ACKjhSEfHqNCQ
Pizzaville,"1030 Kennedy Circle, Unit 10",Milton,L9T 0J9,43.5089619,-79.8379902,3.5,1,NA,NA,NA,NA,"Restaurants, Pizza",-C0AlwLuXpcP609madJZQQ
Tim Hortons,90 Adelaide Street W,Toronto,M5H 3V9,43.6498592,-79.3820602,3,1,1,True,False,False,"Bagels, Donuts, Food, Cafes, Coffee & Tea, Restaurants, Bakeries",8k62wYhDVq1-652YbJi5eg
GIG@bites Internet Cafe,618 Bloor St W,Toronto,M6G,43.6647074,-79.4139395,3,1,1,NA,NA,NA,"Home Services, Shopping, IT Services & Computer Repair, Internet Cafes, Food, Local Services, Computers, Internet Service Providers, Professional Services",PYLv9n0y8MimzTK2zCBoFw
Tim Hortons,939 Eglinton Avenue E,East York,M4G 4E8,43.713462541,-79.360165832,1.5,1,1,True,NA,False,"Cafes, Donuts, Food, Coffee & Tea, Restaurants",34FYKG4pHNXbM9ZRRiJaGw
Chick-N-Joy,3-1265 York Mills Road,Toronto,M3A 1Z3,43.765279,-79.326248,3,1,2,True,True,True,"Fast Food, Restaurants, Chicken Shop",0DnQh8SE8BSnvJltGCCiWg
Zav Coffee Shop & Gallery,2048 Danforth Avenue,Toronto,M4C 1J6,43.6856078,-79.3139362,4.5,1,1,True,NA,True,"Coffee & Tea, Restaurants, Sandwiches, Food",NLaK58WvlNQdUunSIkt-jA
The Keg Steakhouse + Bar,2201 Yonge Street,Toronto,M4S 2B2,43.7058425,-79.3978408,3.5,1,3,True,False,False,"Steakhouses, Restaurants, Nightlife, Seafood, Bars",cicPsia8Wj-DNRkmLbD_xg
Fearless Meat,884 Kingston Road,Toronto,M4E 1S3,43.6804133,-79.2902794,4,1,NA,True,False,False,"Fast Food, Burgers, Sandwiches, Restaurants",0nqQIM2PvOcTX6v0L537_Q
St. Louis Bar & Grill,"557 Dixon Road, Unit 130",Toronto,M9W 1H7,43.6901440838,-79.571658481,2,1,2,True,False,True,"Nightlife, Sports Bars, Bars, Restaurants, American (Traditional), Chicken Wings",xVXyrTWbG8U3szze-aA7eg
Master Mix HotPot,261 Spadina Avenue,Toronto,M5T 1H1,43.6522510663,-79.3976421654,3,0,2,False,False,False,"Hot Pot, Restaurants, Canadian (New), Chinese",r3jpH6ZuCQY3o1yBuJ67PQ
Mrakovic Meat & Deli,44 Wellesworth Dr,Etobicoke,M9C 4R1,43.6667742,-79.5786614,4.5,1,2,True,True,NA,"Restaurants, Modern European, Food, Specialty Food, International Grocery",VCkKTkLWh9dY5vSdNPZDqw
Mi'Hito Sushi Laboratory,285 College Street,Toronto,M5T 1S2,43.6576212,-79.4008849,4,1,2,True,True,False,"Food, Poke, Fast Food, Sushi Bars, Restaurants, Japanese, Asian Fusion",TKKX9bllRBMzp0NYr441PQ
Saigon Grill,"1200 Highway 7 W, Unit 1",Vaughan,L4J 8M5,43.8234306283,-79.4732210736,4,0,2,True,NA,NA,"Ethnic Food, Vietnamese, Restaurants, Imported Food, Food, Specialty Food, Asian Fusion",bK2YrycQV3f2f6swB3vYGg
Song Cook's Corean Chilli,681 Bloor St W,Toronto,M6G 1L3,43.6637457,-79.4164519,4,0,1,True,True,False,"Restaurants, Korean",d9A5lhFHOBvEw-BxSYnWOA
Super Taste Chinese Cuisine,4465 Sheppard Ave E,Scarborough,M1S 5H9,43.7876024,-79.265729,3.5,1,1,True,False,False,"Restaurants, Chinese",KpK9IDybfThL_sR0zF5t4Q
JC's Grill House,1500 Matheson Boulevard E,Mississauga,L4W 3Z4,43.6425884,-79.6290245,4,1,2,True,True,True,"American (Traditional), Restaurants",IpdC2F_36aKVWMySany3jA
Dazzling Cafe,37 Sheppard Avenue E,Toronto,M2N 7K1,43.761612,-79.4092208,3,0,2,True,False,False,"Desserts, Restaurants, Waffles, Pizza, Asian Fusion, Coffee & Tea, Food",yG2PdMFn6y3QDw4Uq4b5lg
Bibab Express,901 King Street W,Toronto,M7A 2A9,43.6418321,-79.4112632,3.5,0,2,True,True,True,"Korean, Restaurants",u0syM4rt_zDpswP47g0pGQ
Edulis,169 Niagara Street,Toronto,M5V,43.641948,-79.4065795,4,1,4,False,False,True,"Restaurants, Spanish, French",37kk0IW6jL7ZlxZF6k2QBg
Fat Bastard Burrito,30 Eglinton Ave W,Mississauga,L5R 3E7,43.6057032957,-79.6525419385,2,1,NA,NA,NA,NA,"Restaurants, Tex-Mex, Mexican",uE6bl1eTHJ4CLkq6NM3KUg
Blackod Steak and Fish House,3479 Yonge St,Toronto,M4N 2N3,43.7343668,-79.4044224,2,0,3,NA,NA,False,"Restaurants, Steakhouses, Seafood",y1Er-SodAde9QZIcgFf45g
Izumi Japanese Restaurant,"444 Hollandview Trail, Suite B3",Aurora,L4G 7Z9,44.0158036,-79.4485012,3.5,1,2,True,True,False,"Japanese, Restaurants",JTXqPkssRG-3rlrh_uMcYQ
Spiga Ristorante,1378 Yonge Street,Toronto,M4T 1Y5,43.6862465,-79.3935614,4,1,3,True,True,True,"Restaurants, Italian",0rMFhLzeq3Z2OaJ62MQXlw
Martins,"2700 St Clair Avenue W, Unit 1",Toronto,M6N 1M2,43.6665079966,-79.4978697455,4.5,1,NA,NA,NA,NA,"Portuguese, Restaurants, Specialty Food, Sandwiches, Barbeque, Food",dfqLhdQY9e6EiXMk9t-8WQ
Bistro Grande,1000 Eglinton Avenue W,Toronto,M6C 2C5,43.7003475,-79.4296338,3,1,3,True,False,True,"Restaurants, Italian",rOyzxtWGekcMBc4aNinZjg
Veghed,1199 Dundas Street W,Toronto,M6J 1X3,43.6491656,-79.4224977,5,1,2,True,False,False,"Vegan, Restaurants, Vegetarian",VUADGMPLJoWqhHb1G4LIcA
Kinoya Sushi Bar,293 King Street W,Toronto,M5V 1J5,43.6463565,-79.3900436,4,1,NA,True,NA,NA,"Restaurants, Sushi Bars",LRRhbtaohbXGMdaJ1yZjbQ
Day and Day Soup,"280 West Beaver Creek Road, Unit 20",Richmond Hill,L4B,43.8440101406,-79.3889759481,3,1,1,True,False,NA,"Restaurants, Chinese",7ZQf0Hi8QpOCd8JUhQ7vnA
Sichuan Ren,"360 Highway 7 E, Unit 15-16",Richmond Hill,L4B 3Y7,43.8416722694,-79.3968656659,1.5,1,NA,NA,NA,NA,"Restaurants, Chinese",jOK32IHM9YGF0znR2LY_bg
Pizza Nova,3000 Highway 7 E,Markham,L3R 6E1,43.8505459245,-79.357435517,3.5,1,2,True,True,False,"Pizza, Restaurants",1JsD-_kMCC3jZOMzJIaigg
The Sugar,10 Ravel Rd,North York,M2H 1S8,43.7904326,-79.3656742,3,0,2,True,False,False,"Food, Chinese, Restaurants, Desserts",GXbag8-ubKs5qb1dMNyMTQ
PROP,770 St Clair Ave W,Toronto,M6C 2Z1,43.6812824,-79.4287282,3,0,2,True,False,True,"Italian, Restaurants",oYCx5gO4KkkgYPnglSkk5g
Skippa,379 Harbord Street,Toronto,M6G 1H8,43.6587414936,-79.4228415599,4,1,4,False,False,True,"Japanese, Sushi Bars, Restaurants",5JW08_RL9K60Ubo8-8lyVg
1800 Degrees,3058 Bloor Street W,Etobicoke,M8X 1C4,43.6469959,-79.5133058,3,0,4,False,False,True,"Restaurants, Steakhouses",6wZBf3JN-v1_o8eyz2LCvA
Chopin Restaurant,165 Roncesvalles Avenue,Toronto,M6R 2L3,43.6442149,-79.4480908,3,1,2,True,True,True,"Restaurants, Ukrainian, Polish",zy_NHTqtfSrfTGGPoqy4Mw
Xe Lua Restaurant,"254 Spadina Avenue, 2nd Floor",Toronto,M5T 2C2,43.6517002,-79.3979873,3,1,1,True,False,False,"Vietnamese, Restaurants",Nxg73OigmRQQq0d1pKtkUQ
Bombay Buffet Indian Cuisine,795 Markham Road,Scarborough,M1H 2Y1,43.7670713,-79.2280617,2.5,0,2,True,True,False,"Restaurants, Indian, Event Planning & Services, Caterers, Pakistani",CvOxwAhmwwy3sQRKYVAjGg
My Roti Place,948 Queen Street E,Toronto,M4M 1J7,43.6609607094,-79.3411559715,4,1,NA,NA,NA,True,"Indian, Restaurants, Fast Food",IjYGSm4_DjP6VULpP27o_g
Pita Delites,102 Av Harwood S,Ajax,L1S 2H6,43.8500747,-79.0216427,4,1,1,True,False,False,"Restaurants, Sandwiches",Oyez2_wkRaPn_DCmNICAmg
Scarborough Grand Seafood Restaurant,23 Glen Watford Dr,Toronto,M1S 2B7,43.7869274,-79.2740715,3.5,0,1,True,False,False,"Chinese, Seafood, Restaurants",bHy8ijMksWhHRMcbxGnYyQ
Izakaya Ju,"3160 Steeles Avenue E, Unit 3",Markham,L3R 4G9,43.8150750767,-79.3440127373,3.5,1,2,True,True,False,"Sushi Bars, Restaurants, Asian Fusion, Japanese, Ramen",M8Pl5qAmmrODfHeX6GOjsw
Anchor Bar Square One,10 Kingsbridge Garden Circle,Mississauga,L5R 3K7,43.6032591,-79.6490702,3.5,0,NA,True,NA,True,"Chicken Wings, Nightlife, Burgers, Bars, Restaurants",tQYckOhwLjzu3UOo0x5uaQ
Yan's Kitchen,"10 West Pearce Street, Unit 12-13",Richmond Hill,L4B 1H6,43.8491230078,-79.384162724,3.5,1,NA,NA,NA,NA,"Restaurants, Chinese",ClXQewiuJytoFe7sW0G6gg
Bairrada Churrasqueira Grill,33 Hillcrest Avenue,Mississauga,L5B 1K5,43.5822966488,-79.6216036407,3,1,2,True,False,True,"Portuguese, Restaurants",GheMvm_dgcBTULpwzNuyBg
Sunshine Spot Restaurant,796 Sheppard Avenue E,North York,M2K 1C3,43.7696544,-79.3748119,3,1,2,True,False,False,"Restaurants, Breakfast & Brunch",twaYBOGSIeOvJdx8EFBKeg
Eggsmart,617 Victoria St,Whtiby,L1N 0E4,43.859831,-78.94528,4.5,1,2,True,False,False,"American (Traditional), Restaurants, Breakfast & Brunch, Burgers",PgJLbJaCOqFXfh3OHsMPpA
Plentea,1205 Queen Street W,Toronto,M6K 0B9,43.6418685,-79.4288069,4.5,1,2,True,NA,False,"Tea Rooms, Cafes, Coffee & Tea, Restaurants, Food",8XVAcOZ02IGTQE-pvKhXXw
Just Braise Sandwiches,"515 Dundas Street W, Unit 10",Oakville,L6M 4L9,43.4661337845,-79.7464131564,4.5,1,2,True,False,False,"Soup, Sandwiches, Restaurants, Asian Fusion",p7POIbP8XAGkaYa0W9SyOw
Canbe Foods,336 Rossland Road E,Ajax,L1Z 0L9,43.883704,-79.017154,4,1,1,True,True,False,"Indian, Restaurants, Sri Lankan",ZDx7kt4aOPTlmYTqXDrTGA
Anoush Shawarma,330 Front St W,Toronto,M5V 3B7,43.6436378,-79.3910816,2,1,1,True,NA,False,"Restaurants, Middle Eastern",sfcmewwXftvjxRn_Xfpz-w
Akira Back,"80 Blue Jays Way, 2nd Floor",Toronto,M5V 2G3,43.6452974,-79.3923967,4,1,4,False,False,NA,"Restaurants, Japanese, Korean, Asian Fusion",K5Q2vkF5UpytV9Q1rB-5Yg
Heart Clean Eats,113 Fort York Boulevard,Toronto,M5V 0K2,43.6391167,-79.398135,4,1,NA,True,True,True,"Restaurants, Vegetarian, Breakfast & Brunch, Sandwiches, Salad, Coffee & Tea, Juice Bars & Smoothies, Food",lCwUmc0IEhIMz7lyZ2nwuA
Better than Yia Yia's,,Toronto,M3B 3B5,43.7516334,-79.3643317,5,1,2,True,True,True,"Greek, Restaurants, Event Planning & Services, Mediterranean, Caterers",59roFbMHNSt6H3UbOO2HmA
Best Bite Bar & Grill,5503 Eglinton Avenue W,Toronto,M9C 5K5,43.653043,-79.6005931,4.5,1,2,True,False,True,"Pubs, American (Traditional), Turkish, Nightlife, Restaurants, Bars",tqumNKvNmeII_DRG6SdRuw
