name,address,type,unit
17 Restaurant - Restaurant,2-Woodward Ave. Blind River ON P0R 1B0,,algoma
A&W - Restaurant,496 Causley Street Blind River ON P0R 1B0,,algoma
A&W - Restaurant,121 Great Northern Rd Sault Ste. Marie ON P6B 4Y9,,algoma
A&W - Restaurant,659 Great Northern Rd Sault Ste Marie ON P6B 5Y1,,algoma
A&W - Restaurant,201 Highway 17 White River ON P0M 3G0,,algoma
Absolutely Delicious - Restaurant,2200 Queen Street East Sault Ste. Marie ON P6A 7B5,,algoma
Agree Outpost Camp Food - Restaurant,PO Box 624 Wawa ON P0S 1K0,,algoma
Airdale Hunting and Fishing Lodge Kitchen - Restaurant,1 Whitefish Lake Road Maness ON,,algoma
AlgomaTrad - Restaurant,1249 F&G Line Road Richards Landing ON P0R 1J0,,algoma
Annettes Diner - Restaurant,B-4683-Highway 17 Spragge ON P0R 1K0,,algoma
Antico - Restaurant,6 Village Ct Sault Ste. Marie ON P6B 6K1 Canada,,algoma
Arby's - Restaurant,258 Great Northern Rd Sault Ste. Marie ON P6B 4Z6,,algoma
Arturo's Ristorante - Restaurant,515 Queen Street E Sault Ste. Marie ON P6A 2A2,,algoma
Aurora's Westside - Restaurant,300 Second Line W Sault Ste. Marie ON P6C 2J5,,algoma
Bankside Cafe - Restaurant,33 Elizabeth Square Elliot Lake ON P5A 1Y8,,algoma
Barsanti's Restaurant - Restaurant,85 Old Highway 17 N Sault Ste. Marie ON P6B 0C9,,algoma
Best Northern Restaurant - Restaurant,150-Highway 17 South Wawa ON P0S 1K0,,algoma
Big Lake Cabin - Restaurant,765 Queen Street East Sault Ste. Marie ON P6A2A8,,algoma
Blind River Golf Course Kitchen - Restaurant,303-Eldorado Rd Blind River ON P0R 1B0,,algoma
Blueberry Hill Motel and Campground Kitchen - Restaurant,D-2528 D Highway 17 N Goulais River ON P0S1E0,,algoma
Bobber's Restaurant - Restaurant,9161 Hwy 17 Bruce Mines ON P0R 1C0,,algoma
Bobbles Pizza Place - Restaurant,360 Second Line E Sault Ste. Marie ON P6B 4J9,,algoma
Booster Juice - Restaurant,104-710 Second Line E Sault Ste. Marie ON P6B 4K3,,algoma
Bruni's Fine Foods - Restaurant,328 Wellington Street W Sault Ste. Marie ON P6A 2L9,,algoma
Bucci's Place Restaurant - Restaurant,3241 Hwy 17 B Echo Bay ON P0S 1C0,,algoma
Burger Don - Restaurant,7 Great Northern Rd Sault Ste. Marie ON P6B 4Y4,,algoma
Burger King - Restaurant,937 Great Northern Road Sault Ste. Marie ON P6B 5K7,,algoma
Camille's Island Cafe - Restaurant,1202 Gore St Richard's Landing ON P0R 1J0,,algoma
Camp Esnagi - Restaurant,Esnagi Lake Cudney Twp. ON,,algoma
Carolyn Beach Inn & Restaurant - Restaurant,1-Lakeside Dr Thessalon ON P0R 1L0,,algoma
Casey's Bar & Grill (Water Tower Inn) - Restaurant,360 Great Northern Road Sault Ste. Marie ON P6B 4Z7,,algoma
Centre Ice Bar & Grill - Restaurant,285 Northern Ave E Sault Ste. Marie ON P6B 4H9,,algoma
Chippewa River Restaurant & Store - Restaurant,8607 Hwy 17 N Batchawana Bay ON P0S 1A0,,algoma
