name,address,unit,group
17 Restaurant - Restaurant,2-Woodward Ave. Blind River ON P0R 1B0,algoma,treatment
A&W - Restaurant,496 Causley Street Blind River ON P0R 1B0,algoma,treatment
A&W - Restaurant,121 Great Northern Rd Sault Ste. Marie ON P6B 4Y9,algoma,treatment
A&W - Restaurant,659 Great Northern Rd Sault Ste Marie ON P6B 5Y1,algoma,treatment
A&W - Restaurant,201 Highway 17 White River ON P0M 3G0,algoma,treatment
Absolutely Delicious - Restaurant,2200 Queen Street East Sault Ste. Marie ON P6A 7B5,algoma,treatment
Agree Outpost Camp Food - Restaurant,PO Box 624 Wawa ON P0S 1K0,algoma,treatment
Airdale Hunting and Fishing Lodge Kitchen - Restaurant,1 Whitefish Lake Road Maness ON,algoma,treatment
AlgomaTrad - Restaurant,1249 F&G Line Road Richards Landing ON P0R 1J0,algoma,treatment
Annettes Diner - Restaurant,B-4683-Highway 17 Spragge ON P0R 1K0,algoma,treatment
Antico - Restaurant,6 Village Ct Sault Ste. Marie ON P6B 6K1 Canada,algoma,treatment
Arby's - Restaurant,258 Great Northern Rd Sault Ste. Marie ON P6B 4Z6,algoma,treatment
Arturo's Ristorante - Restaurant,515 Queen Street E Sault Ste. Marie ON P6A 2A2,algoma,treatment
Aurora's Westside - Restaurant,300 Second Line W Sault Ste. Marie ON P6C 2J5,algoma,treatment
Bankside Cafe - Restaurant,33 Elizabeth Square Elliot Lake ON P5A 1Y8,algoma,treatment
Barsanti's Restaurant - Restaurant,85 Old Highway 17 N Sault Ste. Marie ON P6B 0C9,algoma,treatment
Best Northern Restaurant - Restaurant,150-Highway 17 South Wawa ON P0S 1K0,algoma,treatment
Big Lake Cabin - Restaurant,765 Queen Street East Sault Ste. Marie ON P6A2A8,algoma,treatment
Blind River Golf Course Kitchen - Restaurant,303-Eldorado Rd Blind River ON P0R 1B0,algoma,treatment
Blueberry Hill Motel and Campground Kitchen - Restaurant,D-2528 D Highway 17 N Goulais River ON P0S1E0,algoma,treatment
Bobber's Restaurant - Restaurant,9161 Hwy 17 Bruce Mines ON P0R 1C0,algoma,treatment
Bobbles Pizza Place - Restaurant,360 Second Line E Sault Ste. Marie ON P6B 4J9,algoma,treatment
Booster Juice - Restaurant,104-710 Second Line E Sault Ste. Marie ON P6B 4K3,algoma,treatment
Bruni's Fine Foods - Restaurant,328 Wellington Street W Sault Ste. Marie ON P6A 2L9,algoma,treatment
Bucci's Place Restaurant - Restaurant,3241 Hwy 17 B Echo Bay ON P0S 1C0,algoma,treatment
Burger Don - Restaurant,7 Great Northern Rd Sault Ste. Marie ON P6B 4Y4,algoma,treatment
Burger King - Restaurant,937 Great Northern Road Sault Ste. Marie ON P6B 5K7,algoma,treatment
Camille's Island Cafe - Restaurant,1202 Gore St Richard's Landing ON P0R 1J0,algoma,treatment
Camp Esnagi - Restaurant,Esnagi Lake Cudney Twp. ON,algoma,treatment
Carolyn Beach Inn & Restaurant - Restaurant,1-Lakeside Dr Thessalon ON P0R 1L0,algoma,treatment
Casey's Bar & Grill (Water Tower Inn) - Restaurant,360 Great Northern Road Sault Ste. Marie ON P6B 4Z7,algoma,treatment
Centre Ice Bar & Grill - Restaurant,285 Northern Ave E Sault Ste. Marie ON P6B 4H9,algoma,treatment
Chippewa River Restaurant & Store - Restaurant,8607 Hwy 17 N Batchawana Bay ON P0S 1A0,algoma,treatment
Chuck's Roadhouse - Restaurant,601 Great Northern Road Sault Ste. Marie ON P6B 5A1,algoma,treatment
Club 90 Info Cafe - Restaurant,6-10 Paris Drive Elliot Lake ON P5A 2L9,algoma,treatment
Comfort Inn Breakfast - Restaurant,333 Great Northern Rd Sault Ste Marie ON P6B 4Z8,algoma,treatment
Continental Restaurant - Restaurant,Highway 17 White River ON P0M 3G0,algoma,treatment
Copper Bean Café - Restaurant,9196 Hwy 17 Bruce Mines ON P0R 1C0,algoma,treatment
Coulters Motel Ltd. - Restaurant,184 Great Northern Road Sault Ste. Marie ON P6B 4Z3,algoma,treatment
Country Kitchen - Restaurant,A-9538 Highway 129 Thessalon ON P0R 1L0,algoma,treatment
Dairy Queen - Restaurant,210 Great Northern Road. Sault Ste. Marie ON P6B 4Z4,algoma,treatment
Dairy Queen - Restaurant,169 Trunk Rd Sault Ste. Marie ON P6A 3S5,algoma,treatment
Dana Tim Hortons - Restaurant,1520 Queen St E Sault Ste Marie ON P6A 2G4,algoma,treatment
Day's Inn (Daybreak Cafe) - Restaurant,332 Bay St Sault Ste. Marie ON P6A 1X1,algoma,treatment
Dee's Cafe - Restaurant,105 West Street Sault Ste. Marie ON P6A 7B4,algoma,treatment
Delta Hotel - View Restaurant & Bar - Restaurant,208 St. Mary's River Dr Sault Ste. Marie ON P6A 5V4,algoma,treatment
DeLuca's Pizzaria - Restaurant,270 Goulais Avenue Sault ON P6C 5A1,algoma,treatment
Dunlop Lake Lodge - Restaurant,74 Dunlop Lake Rd Elliot Lake ON P5A 2J7,algoma,treatment
East Street Pizza Company - Restaurant,76 East St Sault Ste. Marie ON,algoma,treatment
Elliot Lake Blossoms - Restaurant,253-Hillside Dr Elliot Lake ON P5A 1N7,algoma,treatment
Embers Grill and Smokehouse at Crimson Ridge - Restaurant,418 Fourth Line West Sault Ste. Marie ON P6A 5K8,algoma,treatment
Ernie's Coffee Shop - Restaurant,13 Queen Street East Sault Ste Marie ON P6A 1Y4,algoma,treatment
Fairfield Inn and Suites by Marriott - Restaurant,633 Great Northern Rd Sault Ste. Marie ON P6A 5K7,algoma,treatment
