name,address,type,unit
1298 Sushi,6-1298 Kingston Rd Pickering ON L1V 3M9,,durham
12welve Bistro & Tapwerks,244 Brock Street South Whitby ON L1N 4K1,,durham
2 Brothers Pizza,88 River St Sunderland ON L0C 1H0,,durham
2200 North,2200 Simcoe St N Oshawa ON L1H 7K4,,durham
2200 North,2200 Simcoe St N Oshawa ON L1H 7K4,,durham
3 Steps Up Coffee House & Bistro,15-605 Brock St N Whitby ON L1N 8R2,,durham
9 Spices,92 Simcoe St N Oshawa ON L1G 4S2,,durham
A & W,1208 Dundas St E Whitby ON L1N 2K5,,durham
A & W Restaurant - Petro,201 Taunton Rd W Ajax ON L1T 3X6,,durham
A Mano Italian Eatery,90-274 Mackenzie Ave Ajax ON L1S 2E9,,durham
A Tavola Bistro,2-10 Meadowglen Dr Whitby ON L1R 3P8,,durham
Adobo Fresh Burrito,600-575 Laval Dr Oshawa ON L1J 6X2,,durham
Affy's Premium Grill,2-2200 Brock Rd Pickering ON L1X 2R2,,durham
Afghan Cuisine,A4-150 Kingston Rd E Ajax ON L1Z 1G5,,durham
Al Baik,607 Kingston Rd W Ajax ON L1S 6L9,,durham
Albatross Bar and Grill,825 Concession Rd 4 Beaverton ON L0K 1A0,,durham
Alborj Restaurant,126 Brock St S Whitby ON L1N 4J8,,durham
AllStar Wings & Ribs,1899 Brock Rd Pickering ON L1V 4H7,,durham
Alnoor Kebab & Sweets Restaurant,44 Harwood Ave S Ajax ON L1S 2H6,,durham
Amici,1305 Pickering Pkwy Pickering ON L1V 1P4,,durham
Anchor Point Fusion Grill House,150 Water St Port Perry ON L9L 1B9,,durham
Anchor Point Fusion Grill House,1419 Durham Regional Hwy 2 Courtice ON L1E 2J6,,durham
Angelique's Family Restaurant,31 Barr Rd Ajax ON L1S 1Y1,,durham
Annandale Golf & Curling Club,221 Church St S Ajax ON L1S 0A1,,durham
Antonio's Italian Deli,105-107 Byron St S Whitby ON L1N 4P5,,durham
A-One Delights,109 King St W Bowmanville ON L1C 3Z9,,durham
Applebee's,155 Kingston Rd E Ajax ON L1S 7J4,,durham
Aroma Espresso Bar,4004-419 King St W Oshawa ON L1J 2K5,,durham
Asia Express,4-1615 Dundas St E Whitby ON L1N 2L1,,durham
Asia Hut,2-1450 Kingston Rd Pickering ON L1V 1C1,,durham
Atria Restaurant,59 King St E Oshawa ON L1H 1B4,,durham
Aunty's Recipe,34 Church Street South Ajax ON L1S 6B3,,durham
Avanti Trattoria,17 King St E Oshawa ON L1H 1A8,,durham
Ayren Links Golf Club,5210 Bethesda Rd Bowmanville ON L1C 3K5,,durham
Azian Cuisine,FS12-1365 Wilson Rd N Oshawa ON L1K 2Z5,,durham
B & L Country Kitchen,4-1 Douglas Rd Uxbridge ON L9P 1G9,,durham
Baba Jon Pizza & Shawarma,C05-2200 Brock Rd Pickering ON L1X 2B3,,durham
Balmoral Fish & Chips,8-250 Bayly St. W Ajax Ontario L1R3P2,,durham
Balti Indian Restaurant,115 Brock St N Whitby ON L1N 4H3,,durham
Bamboo Kitchen & Bar,155 Queen Street Port Perry ON L9L 1B8,,durham
Bamiyan Kabob,A26-1755 Pickering Pkwy Pickering ON L1V 6K5,,durham
Bangrak,53 A Baldwin St Whitby ON L1M 1A2,,durham
BarBurrito,2630 Simcoe St N Oshawa ON L1H 7K4,,durham
Barnaby's Deli Restaurant,1405 King St E Courtice ON L1E 2J6,,durham
Barney's,24 Harbour Park Cres Beaverton ON L0K 1A0,,durham
Baton Rouge Restaurant,2-25 Consumers Drive Whitby L1N 9 S2 ON,,durham
Baxters Landing,2030A-419 King St W Oshawa ON L1J 2K5,,durham
Beaverton Fish & Chips,300 Mara Rd Beaverton ON L0K 1A0,,durham
Beaverton Golf Course,B-B985 Concession Rd 3 Beaverton ON L0K 1A0,,durham
Beaverton Motel Sports Bar and Grill,501 Osborne St Beaverton ON L0K 1A0,,durham
Beer Drum,339 Malaga Rd Oshawa ON L1J 1N6,,durham
Belaggios Gelato,16-705 Kingston Rd Pickering ON L1V 6K3,,durham
Bella Notte Ristorante,1-3570 Brock St N Whitby ON L1N 5R5,,durham
Bellagio Pizza,5-75 Williamson Dr Ajax ON L1T 0K9,,durham
Berry Hill Food Company,82 King St W Oshawa ON L1H 1A6,,durham
Berry Hills Food Co.,1105-419 King St W Oshawa ON L1J 2K5,,durham
Big Bite Gourmet Burgers,7-1822 Whites Rd Pickering ON L1V 4M1,,durham
Big Bone BBQ and Wicked Wings,14-701 Rossland Rd E Whitby ON L1N 8Y9,,durham
Billie Jax Grill & Bar,1608 Dundas St E Whitby ON L1N 2K8,,durham
Bill's Place Family Restaurant,329 Simcoe St S Oshawa ON L1H 4H9,,durham
Bistro 238,9-1413 King St E Courtice ON L1E 2J6,,durham
Bistro 36,5-981 Brock Rd S Pickering ON L1W 3A4,,durham
Bistro Chanterelle,33 Division St Bowmanville ON L1C 2Z4,,durham
Blazin' Burgers,1888 Scugog St Port Perry ON L9L 1H6,,durham
Blossom Garden Chinese Restaurant,6-85 Kingston Rd E Ajax ON L1S 7J4,,durham
Bollocks Pub & Kitchen,1-30 Taunton Rd E Whitby ON L1R 0A1,,durham
Bollocks Pub & Kitchen,736 Kingston Rd Pickering ON L1V 1A8,,durham
Bon Select Bistro,3 Albert St S Sunderland ON L0C 1H0,,durham
Boss Shisha Lounge,11-843 King St W Oshawa ON L1J 2L4,,durham
Boston Pizza,951 Taunton Rd E Oshawa ON L1H 7K5,,durham
Boston Pizza,2372 Highway 2 Bowmanville ON L1C 4Z3,,durham
Boston Pizza,8 Salem Rd S Ajax ON L1S 7T7,,durham
Boston Pizza,500 Victoria St W Whitby ON L1N 9G4,,durham
Boston Pizza,20 Taunton Road East Whitby ON L1R 0A1,,durham
Boston Pizza,1899 Brock Rd Pickering ON L1V 4H7,,durham
Boston Pizza,284 Toronto St S Uxbridge ON L9P 0C5,,durham
Bowmanville Country Club,3845 Middle Rd Bowmanville ON L1C 3K8,,durham
Bowmanville Family Restaurant,231 King St E Bowmanville ON L1C 1P5,,durham
Bowmanville Marina - Deck Restaurant,70 Port Darlington Rd Bowmanville ON L1C 3K3,,durham
Break N Wings,44 Church St S Ajax ON L1S 6B3,,durham
Brew Wizards Board Game Cafe,74 Celina St Oshawa ON L1H 4N2,,durham
BRGR'S,474 Simcoe St S Oshawa ON L1H 4J8,,durham
Bridgette's Family Restaurant,45 Bloor St E Oshawa ON L1H 3L9,,durham
Brig - Dockside Restaurant,10 Lakebreeze Dr Newcastle ON L1B 1C1,,durham
Brooklin Pub,1-15 Baldwin St Brooklin ON L1M 1A2,,durham
Brooks Farm Market,122 Ashworth Rd Zephyr ON L0E 1T0,,durham
Brother's Ristorante,110 Lupin Dr Whitby ON L1N 1Y8,,durham
B-Town Halal BBQ & Sandwiches,6-42 King St E Bowmanville ON L1C 1N2,,durham
Buffalo Wild Wings Bar & Grill,J1-130 Kingston Rd E Ajax ON L1Z 1G1,,durham
Buffalo Wild Wings Grill & Bar,903 Taunton Rd E Oshawa ON L1H 7K5,,durham
Bull Dog Pub and Grill,600 Grandview St S Oshawa ON L1H 8P4,,durham
Burger Delight,1-100 Mearns Ave Bowmanville ON L1C 5M3,,durham
Burger King,1650 Victoria St E Whitby ON L1N 9L4,,durham
Burgerlicious,6 Old Kingston Rd Ajax ON L1T 2Z7,,durham
Burgers On Fleek,135 Harwood Ave N Ajax ON L1Z 1E8,,durham
Butchie's,939 Dundas St W Whitby ON L1N 2N8,,durham
Cafe Casa,7 William St. E Oshawa ON,,durham
Cafe Oshawa House,62 King St. West Oshawa ON L1H 1A6,,durham
Caffe Demetre,75 Consumers Drive Whitby ON L1N 1C4,,durham
Caldense Bakery,301 Dundas St W Whitby ON L1N 2M5,,durham
California Sandwiches-Drums N Flats,60 Randall Dr Ajax ON L1S 6L3,,durham
Canbe Foods,3 & 4-336 Rossland Rd E Ajax ON L1Z 0L9,,durham
Captain George Fish & Chips,25-1300 King St E Oshawa ON L1H 8J4,,durham
Captain George's Fish & Chips,219 King St E Bowmanville ON L1C 1P7,,durham
Captain George's Fish & Chips,355 Wentworth St W Oshawa ON L1J 6G5,,durham
Captain George's Fish & Chips,21 Brock St W Uxbridge ON L9P 1P5,,durham
Captain George's Fish & Chips,201 Dundas St W Whitby ON L1N 2M4,,durham
Captain George's Fish & Chips,112-1910 Dundas St E Whitby ON L1N 2L6,,durham
Captain George's Fish & Chips,21 Brock St W Uxbridge ON L9P 1P5,,durham
Captain George's Fish & Chips,161 Queen St Port Perry ON L9L 1B8,,durham
Captain George's Fish and Chips,282 King Ave E Newcastle ON L1B 1H5,,durham
Caribbean Heat,985 Brock Rd Pickering ON L1W 3A4,,durham
Casino Ajax,50 Alexander's Crossing Ajax Ontario L1Z 2E6,,durham
Casino Pizza,2000 Clements Rd Pickering ON L1W 4A1,,durham
Castle John’s Pub & Restaurant,11-1894 Scugog St Port Perry ON L9L 1H7,,durham
Castle John's Pub & Restaurant,789 King Ave Newcastle ON L1B 1K8,,durham
Cedar Point Market Restaurant,B-B27551 Regional Rd 23 Beaverton ON L0K 1A0,,durham
Centre Cafe,103-220 Dundas St W Whitby ON L1N 8M7,,durham
Chalet Restaurant,693 Queen St Port Perry ON L9L 1K6,,durham
Champ's Caribbean Restaurant,1288 Ritson Rd N Oshawa ON L1G 7Z9,,durham
Charley Ronicks,3050 Garden St Whitby ON L1R 2G7,,durham
Charloma Star African & Caribbean Restaurant,A3-1121 Dundas St E Whitby ON L1N 2K5,,durham
