name,address,type,unit
1 2 3 RESTAURANT TAKEOUT,441 KING ST E COBOURG ON K9A 1M5,,hamilton
241 PIZZA,1-1 STRATHY RD COBOURG ON K9A 5J6,,hamilton
241 PIZZA,167 HIGHLAND ST HALIBURTON ON K0M 1S0,,hamilton
52 NORTH,52 FRONT ST N CAMPBELLFORD ON K0L 1L0,,hamilton
6 FLAGS CHINESE THAI AND SUSHI RESTAURANT,F7-449 KENT ST W LINDSAY ON,,hamilton
7 HILLS COMMUNITY PANTRY,60 MAIN ST WARKWORTH ON K0K 3K0,,hamilton
A SLICE OF THE NORTH,4090 CTY RD 121 KINMOUNT ON K0M 2A0,,hamilton
A TASTE OF AGRA,20 KING ST W COBOURG ON K9A 2L9,,hamilton
A&W - LINDSAY,363 KENT ST W LINDSAY ON K9V 2Z7,,hamilton
A&W - COBOURG,FS4-1111 ELGIN ST COBOURG ON K9A 5H7,,hamilton
ABBEY GARDENS COMMUNITY TRUST,1012 GARDEN GATE DR HALIBURTON ON K0M 1S0,,hamilton
ABBEY RETREAT CENTRE,1150 GARDEN GATE DR HALIBURTON ON K0M 1S0,,hamilton
ADELAIDE PLACE - FOOD SAFETY,84 ADELAIDE ST S LINDSAY ON K9V 0G6,,hamilton
AIRPORT VIEW RESTAURANT,3187 HWY 35 N LINDSAY ON K9V 4R1,,hamilton
AJ LARUE ARENA AND COMMUNITY CENTRE,728 MOUNTAIN ST HALIBURTON ON K0M 1S0,,hamilton
AJ LARUE ARENA AND COMMUNITY CENTRE - SNACK BAR,728 MOUNTAIN ST HALIBURTON ON K0M 1S0,,hamilton
ALE HOUSE,246 DIVISION ST COBOURG ON K9A 2M4,,hamilton
ALGONQUIN COOKHOUSE,3907-LOOP RD HARCOURT ON K0L 1X0,,hamilton
ALGONQUIN LAKESIDE INN,4382 HWY 60 ALGONQUIN HIGHLANDS ON P0A 1H0,,hamilton
ALGONQUIN OUTFITTERS,1035 ALGONQUIN OUTFITTERS RD ALGONQUIN HIGHLANDS ON P0A 1H0,,hamilton
ALLIED'S DINER,1587 CTY RD 48 KIRKFIELD ON K0M 2B0,,hamilton
ALLIES CHIP TRUCK,1587 CTY RD 48 KIRKFIELD ON K0M 2B0,,hamilton
ALMOST PERFECT,771 CTY RD 2 PORT HOPE ON L1A 3V6,,hamilton
ALMOST PERFECT,8-513 DIVISION ST COBOURG ON K9A 5G6,,hamilton
ALNWICK TWP COMMUNITY CENTRE,9059 HWY 45 ROSENEATH ON K0K 2X0,,hamilton
ALPINE RESORT,449 ISLAND VIEW RD ROSENEATH ON K0K 2X0,,hamilton
ALPINE TRAILER PARK,46 ALPINE ST LINDSAY ON K9V 4R1,,hamilton
AMPM OUTDOOR GOURMET - MOBILE,4071 ELEPHANT LAKE RD HARCOURT ON K0L 1X0,,hamilton
ANTONIA'S BISTRO,28 DOXSEE AVE S CAMPBELLFORD ON K0L 1L0,,hamilton
APOLLO'S PIZZERIA,92 BRIDGE ST CAMPBELLFORD ON K0L 1L0,,hamilton
APPLEFEST LODGE - Retirement Home,120 ELIZABETH ST P.O. BOX 850 BRIGHTON ON K0K 1H0,,hamilton
ARAMARK-FROST FLEMING - FROST CAMPUS,200 ALBERT ST LINDSAY ON K9V 5E6,,hamilton
ARBY'S,1 PHILLIPS RD PORT HOPE ON L1A 4B6,,hamilton
ARGYLE CHIP TRUCK,264 GLENARM RD WOODVILLE ON K0M 2T0,,hamilton
ARMOURY PARK,210 KENT ST W LINDSAY ON K9V 2Y2,,hamilton
ARON THEATRE,54 BRIDGE ST CAMPBELLFORD ON K0L 1L0,,hamilton
ARTHUR'S PUB - BEST WESTERN-COBOURG,930 BURNHAM ST COBOURG ON K9A 2X9,,hamilton
ASH BROOK GOLF CLUB,7215 DALE RD PORT HOPE ON L1A 3Z3,,hamilton
ASM ENTERPRIZE,27 FOX BEACH LN SEBRIGHT ON L0K 1W0,,hamilton
"AUK'S LODGE, THE",200 ALBERT ST W LINDSAY ON K9V 5E6,,hamilton
AUNT LAURA'S TEAROOM,1402 HWY 7A BETHANY ON L0A 1A0,,hamilton
AUTO TRADERS,154 BIG APPLE DR COLBORNE ON K0K 1S0,,hamilton
AVANTI PIZZA,10 ONTARIO ST PORT HOPE ON L1A 2T6,,hamilton
AWW CRUMBS,1058 SALEM RD LITTLE BRITAIN ON K0M 2C0,,hamilton
B & D LIQUIDATION AND AUCTION SERVICES INC.,UNIT 2-20 STRATHY RD. COBOURG ON K9A 5J7,,hamilton
BADDOW COMMUNITY CENTRE,60 SOMERVILLE RD FENELON FALLS ON K0M 1N0,,hamilton
BAKED AND BATTERED,128 HIGHLAND ST HALIBURTON ON K0M 1S0,,hamilton
BAKER'S CAKES AND MORE,14 CHARLOTTE CRES OMEMEE ON K0L 2W0,,hamilton
BALTIMORE JOHN'S BAR AND GRILL,4620 CTY RD 45 COBOURG ON K9A 4J9,,hamilton
BALTIMORE RECREATION CENTRE - FOOD SAFETY,23 COMMUNITY CENTRE RD BALTIMORE ON K0K 1C0,,hamilton
BALTIMORE RECREATION CENTRE EMERGENCY SHELTER,23 COMMUNITY CENTRE RD BALTIMORE ON K0K 1C0,,hamilton
BALTIMORE YMCA BEFORE AND AFTER CARE,9320 BURWASH RD BALTIMORE ON K0K 1C0,,hamilton
BANJO'S RESTAURANT,3 BRIDGE ST S HASTINGS ON K0L 1Y0,,hamilton
BAR BURRITO,181 Toronto Rd Port Hope Ontario,,hamilton
BARB'S HOME BAKING,9 CORNEIL ST LINDSAY ON K9V 5T5,,hamilton
BARK LAKE LEADERSHIP CENTRE,1551 BARK LAKE DR IRONDALE ON K0M 1X0,,hamilton
BASEBALL CANTEEN CAMPBELLFORD,39 DOXSEE ST N CAMPBELLFORD ON K0L 1L0,,hamilton
BE MY GUEST,16 DOXSEE AVE N CAMPBELLFORD ON K0L 1L0,,hamilton
"BEACH CANTEEN, THE",55 QUEEN ST COBOURG ON K9A 2T4,,hamilton
BEACH FRIES,45 PARK ST BOBCAYGEON ON K0M 1A0,,hamilton
BEAMISH HOUSE,27 JOHN ST PORT HOPE ON L1A 2Z3,,hamilton
BEATRICE STRONG YMCA CHILDCARE,90 ROSE GLEN RD PORT HOPE ON L1A 3V6,,hamilton
BEAVER NARROWS COTTAGE & RV RESORT,433 BEAVER RD PO BOX 60 OMEMEE ON K0L 2W0,,hamilton
BEAVERBROOK GOLF COURSE,111 GOLF COURSE RD MINDEN ON K0M 2K0,,hamilton
BEEHIVE - HILLCREST SITE BEFORE AND AFTER CARE,55 ELMORE ST CAMPBELLFORD ON K0L 1L0,,hamilton
BEEHIVE CHILDREN'S CENTRE,35 CENTRE ST CAMPBELLFORD ON K0L 1L0,,hamilton
BEN'S KETTLE CORN,252 WASHBURN ISLAND RD LITTLE BRITAIN ON K0M 2C0,,hamilton
