name,address,type,unit
807 Cafe (Fort Vermilion),177 Hwy 17 Vermilion Bay ON P0V 2V0 Canada,,northwestern
901 West Side,901 Ottawa St Keewatin ON P0X 1C0 Canada,,northwestern
A&W - Dryden,580 Government St Dryden ON P8N 2Z1 Canada,,northwestern
A&W - Kenora,924 5th St S Kenora ON P9N 1L8 Canada,,northwestern
Anderson's Homestead Golf Course,1106 Johnston Rd Dryden ON P8N 2Y5 Canada,,northwestern
Antonio's,212 Howey St Red Lake ON P0V 2M0 Canada,,northwestern
Ash Rapids Lodge,Lake Of The Woods Kenora ON P9N 3X1 Canada,,northwestern
Atikokan Hotel - Restaurant,400 Front St Atikokan ON P0T 1C0 Canada,,northwestern
Atikokan Nite Club Tavern - Restaurant,214 Burns St Atikokan ON P0T 1C0 Canada,,northwestern
B & B Road House Bar and Grill,349 Government St Dryden ON P8N 2Z4 Canada,,northwestern
Backwoods Grill,11-539 Government St Dryden ON P8N 2P6 Canada,,northwestern
Balmer Hotel Restaurant,1 Fifth St Balmertown ON P0V 1C0 Canada,,northwestern
Barwick Village Restaurant,103 Main St Barwick ON P0W 1A0 Canada,,northwestern
Bayview Hotel/Motel,35 Spruce St Vermilion Bay ON P0V 2V0 Canada,,northwestern
Big John's Mineshaft Tavern,5760 Hwy 71 Sioux Narrows ON P0X 1N0 Canada,,northwestern
Birch Dale Lodge,225 Eagle Lake Dr Waldhof ON P0V 2X0 Canada,,northwestern
Bob's Burgers,152 Main St S Kenora ON P9N 1S9 Canada,,northwestern
Boston Pizza - Fort Frances,840 Kings Hwy Fort Frances ON P9A 2X4 Canada,,northwestern
Boston Pizza - Kenora,223 Main St S Kenora ON P9N 1T3 Canada,,northwestern
Burger Scoop/Robins Donuts,109 Main St Ignace ON P0T 1T0 Canada,,northwestern
Canaasian,418 Scott St Fort Frances ON P9E 1H2 Canada,,northwestern
Casey's Bar & Grill,220 Lakeview Dr Kenora ON P9N 0H2 Canada,,northwestern
Chicken Chef - Sioux Lookout,A-45 King St Sioux Lookout ON P8T 1B9 Canada,,northwestern
Circle D Restaurant,76 Coral St Emo ON P0W 1E0 Canada,,northwestern
Clarion Lakeside Inn and conference center Water Side Restaurant,470 1st Ave. S Kenora ON P9N 1W5 Canada,,northwestern
Clearwater Bay Market,Hwy 17 W Clearwater Bay ON P0X 1S0 Canada,,northwestern
Copper River Inn,700 Stewart St Fort Frances ON P9A 2Y2 Canada,,northwestern
Country Corner Cafe,Hwy 11 Stratton ON P0W 1N0 Canada,,northwestern
Crystal Harbour Resort,5340 Hwy 71 Sioux Narrows ON P0X 1N0 Canada,,northwestern
Dairy Queen - Dryden,175 Government Rd Dryden ON P8N 2W9 Canada,,northwestern
Dairy Queen - Fort Frances,982 Kings Hwy Fort Frances ON P9A 2X4 Canada,,northwestern
Days Inn Forest Dining Room & Capricorn Lounge,920 Hwy 17 E Kenora ON P9N 3X1 Canada,,northwestern
Dick's Grill House,12 First Ave Sioux Lookout ON P8T 1A1 Canada,,northwestern
Dino's Restaurant,206 Second St S Kenora ON P9N 1G2 Canada,,northwestern
Dryden Ski Club,455 Ski Hill Rd Dryden ON P8N 1T5 Canada,,northwestern
Emo Inn,5916 Hwy 11 & 71 Emo ON P0W 1E0 Canada,,northwestern
