name,address,type,unit
1001 Nights Kebab & Shawarma,E2-50 Rivermont Rd Brampton ON L6Y 6G7,restaurant,peel
168 Japan Buffet,B-168 Kennedy Rd S Brampton ON L6W 3G6,restaurant,peel
168 Sushi Japanese Buffet,2366 Dundas St W Mississauga ON L5K 1R7,restaurant,peel
17 Steakhouse & Bar,4-5165 Dixie Rd Mississauga ON L4W 4G1,restaurant,peel
1tonamara,237 Queen St Brampton ON L6W 2B5,restaurant,peel
2 4 1 Pizza,17-1125 Bloor St Mississauga ON L4Y 2N6,restaurant,peel
2 Bicas,15-2 Fisherman Dr Brampton ON L7A 1B7,restaurant,peel
3 Asians Express,1-1475 Aerowood Dr Mississauga ON L4W 1C2,restaurant,peel
3 Castelos Grill House/Vilamor Cafe,1030 Dundas St E Mississauga ON L4Y 2B6,restaurant,peel
5 Noodles,106-165 Dundas St W Mississauga ON L5B 2N6,restaurant,peel
520 Sushi,7-252 Queen St E Brampton ON L6V 1C1,restaurant,peel
52nd Street Tap & Grill,A-30A Kennedy Rd S Brampton ON L6W 3E2,restaurant,peel
9 Queen,9 Queen St E Brampton ON L6W 2A7,restaurant,peel
A & W - Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,restaurant,peel
A J's Bar and Grill,19-1 Regan Rd Brampton ON L7A 1B8,restaurant,peel
A&W,4-733 Central Pky W Mississauga ON L5B 4L1,restaurant,peel
A&W,2464 Queen St E Brampton ON L6S 5X9,restaurant,peel
A&W,1990 Hallstone Rd Brampton ON L6Y 0L7,restaurant,peel
A&W,1130 Dundas St E Mississauga ON L4Y 2C1,restaurant,peel
A&W,13-100 City Centre Dr Mississauga ON L5B 2C9,restaurant,peel
A&W,75 Resolution Dr Brampton ON L6W 0A6,restaurant,peel
A&W,2930 Argentia Rd Mississauga ON L5N 8C5,restaurant,peel
A&W,120 Brickyard Way Brampton ON L6V 4L1,restaurant,peel
A&W,6775 Airport Rd Mississauga ON L4V 1E6,restaurant,peel
A&W,1465 Aerowood Dr Mississauga ON L4W 2L2,restaurant,peel
A&W,5 Sandalwood Pky W Brampton ON L7A 1A8,restaurant,peel
A&W,5880 Mavis Rd Mississauga ON L5V 3B7,restaurant,peel
Abbey Road Pub & Patio,9-3200 Erin Mills Pky Mississauga ON L5L 1W8,restaurant,peel
ACB Bar & Grill,8-80 Eastern Ave Brampton ON L6W 0B6,restaurant,peel
Acer - Terminal 3,AT3 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,restaurant,peel
Adana Kebab House,6-7 1201 Britannia Rd W Mississauga ON L5V 1N2,restaurant,peel
Adesa Toronto,55 Auction Lane Brampton ON L6T 5P4,restaurant,peel
Admiral Inn - restaurant,2161 North Sheridan Way Mississauga ON L5K 1A3,restaurant,peel
Adobo Fresh Burrito,18-55 Mountainash Rd Brampton ON L6R 1W4,restaurant,peel
Adobo Fresh Burritos,4046 Confederation Pkwy Mississauga ON L5B 0G4,restaurant,peel
Afandina Cafe,1-6900 Millcreek Dr Mississauga ON L5N 6C1,restaurant,peel
Afghan Grill House Inc,110-120 Traders Blvd E Mississauga ON L4Z 2H7,restaurant,peel
Afghan Kebob Cuisine,1-780 Burnhamthorpe Rd W Mississauga ON L5C 3X3,restaurant,peel
Agra Sweets & Tandoori Restaurant,B10-10671 Chinguacousy Rd Brampton ON L7A 0N5,restaurant,peel
Aielli Italian Restaurant,286 Lakeshore Rd E Mississauga ON L5G 1H2,restaurant,peel
Air Canada Cafe - Domestic Terminal 1,AT1-L2-6301 Silver Dart Dr Mississauga Ontario L5P 1B2,restaurant,peel
Air Canada Maple Leaf Lounge - Domestic Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,restaurant,peel
Air Canada Maple Leaf Lounge - International Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,restaurant,peel
Air Canada Maple Leaf Lounge - Transborder Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,restaurant,peel
Air Canada Signature Suites International Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,restaurant,peel
Airport Pizza,15388 Airport Rd Caledon ON L7C 1E6,restaurant,peel
Airport Strip,A-7040 Torbram Rd Mississauga ON L4T 3Z4,restaurant,peel
Airport Sweets & Tandoori Restaurant,6-9899 Airport Rd Brampton ON L6S 0A2,restaurant,peel
Al - Omda,33-34-3100 Ridgeway Dr Mississauga ON L5L 5M5,restaurant,peel
Al Fawal,6-2273 Dundas Street West Mississauga ON L5K 2L8,restaurant,peel
Albashawat Iraqi Grill,2-6550 Meadowvale Town Centre Circle Mississauga Ontario L5N 4B7,restaurant,peel
Al-Fakher,1-3145 Dundas St W Mississauga ON L5L 4V5,restaurant,peel
Alioli Ristorante,123-350 Burnhamthorpe Rd W Mississauga ON L5B 3J1,restaurant,peel
All Star Wings and Ribs,4096 Confederation Pky Mississauga ON L5B 0G4,restaurant,peel
