name,address,type,unit
# 5 Rivers Restaurant and Bar Indian Cuisine,2-1035 Mississauga St W Orillia ON L3V 3C7,,simcoe
1 Fish 2 Fish Fish & Chips,11 Mill Street West Tottenham ON L0G 1W0,,simcoe
125 Breakfast Club,125 Mississaga Street E Orillia ON L3V 1V6,,simcoe
2 4 1 Pizza,4-248 Manitoba St Bracebridge ON P1L 2E1,,simcoe
2 4 1 Pizza,990 Innisfil Beach Road Alcona ON L9S 2B5,,simcoe
201 Grill & Game Bar,201 Woodside Dr Orillia ON L3V 6T4,,simcoe
3 GUYS And A Stove,143 Highway 60 E Huntsville ON P1H 1C2,,simcoe
331 Atherley Diner,331 Atherley Rd Orillia ON L3V 1N8,,simcoe
51st Street Diner,2107 Mosley St Wasaga Beach ON L9Z 1X6,,simcoe
55 Games Lounge,600-603-55 Cedar Pointe Dr Barrie ON L4N 5R7,,simcoe
"7 Spice Fast Casual Multi-Cuisine, The",353 Duckworth St Barrie ON L4M 5C2,,simcoe
98 Super Panda,50 Hurontario St Collingwood ON L9Y 2L6,,simcoe
98 Super Panda,3-30 45th St S Wasaga Beach ON L9Z 0A6,,simcoe
A Taste of Europe,1335 Killarney Beach Rd Lefroy ON L0L 1W0,,simcoe
A Taste of Freedom Country Inn,24 Mill St W Tottenham ON L0G 1W0,,simcoe
A&W,10 Dunham Dr Alliston ON L9R 1V2,,simcoe
A&W,490 Bayfield St Barrie ON L4M 5A2,,simcoe
A&W,14 Depot Dr Bracebridge ON P1L 0A1,,simcoe
A&W,705-175 Hanes Rd Huntsville ON P1H 1M4,,simcoe
A&W,11-649 Yonge St Barrie ON L4N 4E7,,simcoe
A&W,143 Mapleview Dr W Barrie ON L4N 9H7,,simcoe
A&W,9271 County Road 93 Midland ON L4R 4K4,,simcoe
A&W,577 Holland St W Bradford ON L3Z 0C1,,simcoe
A&W,3315 Monarch Dr Orillia ON L3V 7Z4,,simcoe
A&W,661 Atherley Rd Orillia ON L3V 1P1,,simcoe
A&W,7 Balsam Street Collingwood ON L9Y 5H6,,simcoe
Abrisham Restaurant,6-126 Bridge Street Bradford ON L3Z 3H2,,simcoe
Ace Chinese Food,28 Mississaga Street E Orillia ON L3V 1V5,,simcoe
Ace Grill,1-34 Yonge Street S Elmvale ON L0L 1P0,,simcoe
