name,address,type,unit
1890 Restaurant G.B.,1 Water St Gore Bay ON P0P 1H0,restaurant,sudbury
7 Star Dumpling House,1-1355 Regent St Sudbury ON P3E 3Z1,restaurant,sudbury
A & W,1099 Marcus Dr Sudbury ON P3B 4K6,restaurant,sudbury
A & W,2416 Long Lake Rd Sudbury ON P3E 5H5,restaurant,sudbury
A & W,1380 Lasalle Blvd Sudbury ON P3A 1Z6,restaurant,sudbury
A & W,3080 Hwy 69 N Val Caron ON P3N 1R8,restaurant,sudbury
Alexandria's Restaurant & Lounge,211 Shaughnessy St Sudbury ON P3E 3E6,restaurant,sudbury
Ali Baba Cafe,833 Ontario St Sudbury ON P3E 4L1,restaurant,sudbury
Alley Katz Bistro and Bar,"12-145 Regional Rd 24, Lively ON P3Y 1J1",restaurant,sudbury
Almaz Health Food Store & Cafe,6 Eleanor St Gore Bay ON P0P 1H0,restaurant,sudbury
Anchor Inn,1 Water St Little Current ON P0P 1K0,restaurant,sudbury
Anke and Tony's Seafood,2037 Long Lake Rd Sudbury ON P3E 6J9,restaurant,sudbury
Apollo Restaurant,844 Kingsway Blvd Sudbury ON P3B 2E5,restaurant,sudbury
Arby's,1865 Paris St Sudbury ON P3E 3C5,restaurant,sudbury
Asian Restaurant,1-1899 Lasalle Blvd Sudbury ON P3A 2A3,restaurant,sudbury
Aux Trois Moulins,154 Martel Rd Chapleau ON P0M 1K0,restaurant,sudbury
B & J's Restaurant,55 Meredith St Gore Bay ON P0P 1H0,restaurant,sudbury
Back Home Bistro,340 Sauble Street East Massey ON P0P 1P0,restaurant,sudbury
BE Greater Organics,1556 Lasalle Blvd Sudbury ON P3A 1Z7,restaurant,sudbury
Bear's Den Lodge,Hartley Bay Road Alban ON P0M 1A0,restaurant,sudbury
Beausejour Inn & Restaurant,1527 Hwy 64 Alban ON P0M 1A0,restaurant,sudbury
Bella Vita Cucina Ltd.,493 Kathleen St Sudbury ON P3C 2M7,restaurant,sudbury
Blue Bird Restaurant & Tavern,43 Levack Dr Levack ON P0M 2C0,restaurant,sudbury
Boston Pizza,120 Donna Dr Sudbury ON P3B 4K6,restaurant,sudbury
Bridal Veil Esso - Food Store/Variety & Restaurant,31 Main St Kagawong ON P0P 1J0,restaurant,sudbury
Brookwood Brae Golf Course,399 Ketchancookem Trail Mindemoya ON P0P 1S0,restaurant,sudbury
Buoy's Eatery,1 Purvis St Gore Bay ON P0P 1H0,restaurant,sudbury
Burger King,660 Notre Dame Ave Sudbury ON P3C 5L2,restaurant,sudbury
Burgers Plus,1-111 Centre Street Espanola ON P5E 1S4,restaurant,sudbury
Buzzy Brown's Brasserie,1984 Regent St Sudbury ON P3E 5R2,restaurant,sudbury
Cafe Obscura,102-130 Elm St Sudbury ON P3C 1T6,restaurant,sudbury
Cambrian College - Student Activity Centre,1400 Barrydowne Rd Sudbury ON P3A 3V8,restaurant,sudbury
Camp McIntosh (Restaurant),"Lot 13, 14, 15 Water St Copaning Village ON P0G 1A0",restaurant,sudbury
Canton Restaurant,40 Elm St Sudbury ON P3C 1S8,restaurant,sudbury
Cara's Convenience and Deli,1055 Lorne St Sudbury ON P3C 4S5,restaurant,sudbury
Carol & Earls Restaurant,21306 Hwy 6 S South Baymouth ON P0P 1Z0,restaurant,sudbury
Cedar Green Golf Club,100 Carr Ave Garson ON P3L 1M2,restaurant,sudbury
Chapleau Lodge (Restaurant),0 Lodge Road Chapleau ON P0M 1K0,restaurant,sudbury
Chateau Guay Motel,2865 Kingsway Blvd Sudbury ON P3B 2G4,restaurant,sudbury
Chelmsford Golf Course,99 Golf Course Rd Chelmsford ON P0M 1L0,restaurant,sudbury
Chew's Restaurant,3451 Errington Ave Chelmsford ON P0M 1L0,restaurant,sudbury
China City,42 Meredith St E Little Current ON P0P 1K0,restaurant,sudbury
Chiniguchi Camp,Chiniguchi Lake Skead ON P0M 2Y0,restaurant,sudbury
Chop Stix Restaurant,3095 Hwy 69 N Val Caron ON P3N 1G3,restaurant,sudbury
Clear Sky Bistro,5000 Air Terminal Dr Garson ON P3L 1V4,restaurant,sudbury
Colonial Inn,28 Cedar St Coniston ON P0M 1M0,restaurant,sudbury
Cora Breakfast and Lunch,470 Barrydowne Road Sudbury ON P3A 3T3,restaurant,sudbury
Cortina Pizza,7 Cote Blvd Hanmer ON P3P 1X5,restaurant,sudbury
Cortina Restaurant,3-383 Centre St Espanola ON P5E 1E4,restaurant,sudbury
Costco Wholesale,1465 Kingsway Blvd Sudbury ON P3B 0A5,restaurant,sudbury
Country Style Donuts,371 Lorne St Sudbury ON P3C 4R1,restaurant,sudbury
Countryside Motor Inn,79 Wolseley Bay Rd Noëlville ON P0M 2N0,restaurant,sudbury
Cousin Vinny's,4764 Regional Rd 15 Chelmsford ON P0M 1L0,restaurant,sudbury
Cousin Vinny's,5085 Hwy 69 N Hanmer ON P3P 1P7,restaurant,sudbury
