ID,group,verify,service_type,disability,woman,indigenous,visible,revenue,ft,pt
7,treatment,3Y3,both,no,no,no,no,47324.00618601155,5,3
8,treatment,1K0,both,no,no,no,no,52722.14175675968,6,3
12,treatment,1E5,both,no,no,no,yes,73842.99313753162,9,5
20,treatment,5S6,takeout,no,yes,no,no,81652.22647224567,9,5
30,treatment,2N2,both,no,no,no,no,75411.41300426306,9,5
33,treatment,6H6,both,no,no,no,no,86364.68152386724,10,5
35,treatment,2M0,takeout,no,no,no,no,63195.526108832484,7,4
36,treatment,1R3,takeout,no,no,no,no,50262.04471496777,6,3
40,treatment,6X4,both,no,yes,no,no,148371.24208561674,17,9
41,treatment,1N1,takeout,no,no,no,no,30745.685489500633,4,2
42,treatment,1S0,both,no,no,no,no,106705.33769221713,12,7
43,treatment,2X0,both,no,no,no,no,78474.90088223788,9,5
45,treatment,2M4,both,no,no,no,no,60117.507728279525,7,4
51,treatment,1A0,takeout,no,no,no,no,100322.5124581576,12,6
54,treatment,1T7,both,no,no,no,no,44672.9338662697,5,3
57,treatment,1J2,both,no,no,no,no,38001.158947018695,4,2
59,treatment,1C1,both,no,yes,no,no,52812.82596530689,6,3
63,treatment,4B8,both,no,no,no,no,61626.36947605325,7,4
64,treatment,1K2,dinein,no,no,no,no,292751.57842021505,34,18
66,treatment,5S6,both,no,no,no,nonanswer,175167.5783630909,20,11
67,treatment,3Y8,both,no,no,no,no,48750.15287308768,6,3
68,treatment,1B2,takeout,no,no,no,no,24974.64335629074,3,2
73,treatment,2P2,dinein,no,no,no,no,105961.3527535965,12,7
74,treatment,1H0,takeout,no,no,no,no,87305.3932067932,10,5
85,treatment,2M8,both,no,no,no,no,60431.35852227482,7,4
87,treatment,EEK,both,no,no,no,no,21164.761209233187,2,1
88,treatment,5B9,takeout,no,no,no,no,27687.80481304,3,2
90,treatment,1X3,both,no,no,no,no,46767.339597460326,5,3
91,treatment,1K0,both,no,no,no,no,228957.79602239592,26,14
92,treatment,5W7,takeout,no,yes,no,no,88816.75526714338,10,5
93,treatment,1T6,takeout,no,no,no,no,72693.15740661508,8,4
94,treatment,3T6,both,no,no,no,no,24960.766084567156,3,2
107,treatment,2A9,both,no,yes,no,no,38141.88699636656,4,2
114,treatment,1L0,takeout,no,no,no,no,41057.209038302324,5,3
120,treatment,4J6,both,no,yes,no,nonanswer,43457.870579872084,5,3
122,treatment,4E6,takeout,no,no,no,no,89169.19611904032,10,5
124,treatment,2E9,takeout,no,no,no,no,75391.7507194579,9,5
129,treatment,5A2,both,no,no,no,no,92470.60438771325,11,6
130,treatment,0B4,takeout,no,no,no,no,68698.9173701437,8,4
131,treatment,3B9,takeout,no,no,no,no,74891.3177024831,9,5
132,treatment,1B8,both,no,no,no,no,55604.06247866771,6,3
135,treatment,2L1,both,no,no,no,no,48563.50893186485,6,3
136,treatment,4S8,both,no,no,no,no,43991.22695973277,5,3
138,treatment,2Y9,both,no,no,no,no,44022.05029806667,5,3
143,treatment,4A5,takeout,no,no,no,no,75930.5878072162,9,5
147,treatment,0A1,takeout,no,no,no,yes,31761.366895866642,4,2
150,treatment,8C9,both,no,no,no,no,66077.57586972098,8,4
152,treatment,3V9,both,no,no,no,no,85358.74307893781,10,5
157,treatment,1A4,both,no,yes,no,no,41578.222099675906,5,3
161,treatment,1K0,both,yes,nonanswer,no,no,110637.92949214345,13,7
162,treatment,1L4,both,no,no,no,no,70968.74030688427,8,4
163,treatment,1P8,both,no,yes,no,no,96255.42061671213,11,6
165,treatment,1P1,both,no,no,no,no,78818.06115998996,9,5
175,treatment,1L6,takeout,no,yes,no,no,98137.02832846987,11,6
176,treatment,1C0,both,no,yes,no,no,54627.16603742062,6,3
178,treatment,1L3,dinein,no,no,no,no,45511.480571633336,5,3
183,treatment,1Y1,takeout,no,no,no,no,50877.62779042147,6,3
184,treatment,6J3,both,no,no,no,no,126420.62120997653,15,8
195,treatment,1L0,dinein,no,no,no,no,127938.94492170287,15,8
199,treatment,2P0,both,no,yes,no,no,57629.75787558728,7,4
203,treatment,3J6,dinein,no,no,no,no,157186.49920166156,18,10
205,treatment,1M0,takeout,no,no,no,no,90807.84434766283,10,6
209,treatment,1C0,takeout,no,no,no,no,62373.93066582873,7,4
211,treatment,2K1,takeout,no,no,no,no,63209.797086393126,7,4
212,treatment,1T8,both,no,no,no,no,38121.671296672874,4,2
213,treatment,1A3,takeout,no,no,no,no,52969.16801196071,6,3
215,treatment,1G0,both,no,no,no,no,35762.230121136156,4,2
216,treatment,2A2,takeout,no,no,no,no,57260.81963345514,7,4
218,treatment,5Z1,takeout,no,no,no,no,67686.24469326301,8,4
228,treatment,2C7,both,no,no,no,no,61533.64316531334,7,4
229,treatment,1H0,both,no,no,no,no,80099.55810949492,9,5
231,treatment,2L7,takeout,no,no,no,no,39937.78790296034,5,2
233,treatment,5A2,takeout,no,no,no,no,62870.349959533414,7,4
241,treatment,2G3,takeout,no,no,no,no,63432.21168119296,7,4
246,treatment,1L3,both,no,no,no,no,65982.43205816616,8,4
251,treatment,1A0,both,no,no,no,no,50327.98251032164,6,3
253,treatment,1L0,takeout,no,no,no,no,60536.13582054092,7,4
254,treatment,3G0,takeout,no,no,no,no,84652.31769807033,10,NA
258,treatment,7N1,both,no,no,no,no,115935.20194521542,13,7
261,treatment,1A1,dinein,no,yes,no,no,91400.20346966613,11,6
263,treatment,2V4,both,no,no,no,no,61666.31904681304,7,4
266,treatment,4R4,takeout,no,no,no,no,63417.17626274282,7,4
269,treatment,3A6,takeout,no,no,no,no,47501.361207832255,5,3
272,treatment,2B8,both,no,no,no,no,208977.37509538748,24,13
274,treatment,2N5,both,no,no,no,no,44131.57008969047,5,3
276,treatment,ON,both,no,no,no,no,109164.0750337114,13,7
277,treatment,3R3,takeout,no,no,no,no,12557.320831956406,1,1
