name,address,type,unit
Ali's Grill and Bar,998006 Highway 11 New Liskeard ON P0J 1P0,,timiskaming
Auld Reekie Lodge,7 Auld Reekie Camp road Gowganda ON P0J 1J0,,timiskaming
Burt's Lake Lodge,Tree Nursary Rd Swastika ON P0K,,timiskaming
Camp Wanapitei Chateau,"Sandy Inlet, Aston Twp Temagami ON P0H 2H0",,timiskaming
Cecile's Cafe/The Roaster,115-10th St. E Earlton ON P0J 1E0,,timiskaming
Chat Noir Books,57 Whitewood Ave Temiskaming SHores ON P0J 1P0,,timiskaming
CJ's Drive In,29 Broadway Ave King Kirkland ON P0K 1K0,,timiskaming
Country Kitchen,27 Whitewood Ave Temiskaming Shores ON P0J 1P0,,timiskaming
Cousins Restaurant,334559-Hwy 11 Englehart ON P0J 1H0,,timiskaming
Crabby Patty's,51 Fourth Street Kirkland Lake ON P2N 1T4,,timiskaming
Dino's Pizzeria,57 Government Rd W Kirkland Lake ON P2N 2E5,,timiskaming
Dumas Contracting Bunkhouse (food service),7 Moyneur Ave Matachewan ON P0K 1M0,,timiskaming
Eco Resource Centre Inc,1000 Ontario Street Elk Lake ON P0J 1G0,,timiskaming
Encore Club,30 Second St Kirkland Lake ON P2N 1R1,,timiskaming
Federal Public Tavern,4 Day Avenue Kirkland Lake ON P2N 1K3,,timiskaming
Fern's Restaurant,38 Second St Kirkland Lake ON,,timiskaming
Garden Island Lodge,Lady Evelyn Lake ON P0J 1P0,,timiskaming
Gilli's Truck Stop,997490 Hwy 11 N New Liskeard ON P0J 1P0,,timiskaming
Gold Country Motel (Restaurant),6122 Highway 11 S Tarzwell ON P0K 1V0,,timiskaming
Gramma's Chipper,444-Lakeview Dr North Cobalt ON P0J 1R0,,timiskaming
Grandpa's Diner,39 3rd Street Englehart ON P0J 1H0,,timiskaming
Haileybury Beach Motel (Kitchen),00-462 Farr Dr Haileybury ON P0J 1K0,,timiskaming
Harvey's Swiss Chalet,997453 ON-11 New Liskeard ON P0J 1P0,,timiskaming
Holiday Inn Express (Continental Breakfast),998029-Hwy 11 New Liskeard ON P0J 1P0,,timiskaming
HUSKY/ESSO,997491 Hwy 11 New Liskeard ON P0J 1P0,,timiskaming
Island 10 Fishing Retreat,Lady Evelyn Lake ON P0J 1P0,,timiskaming
Kenogami Bridge Inn (Restaurant),Hwy 11 N Kenogami ON P0K 1T0,,timiskaming
Kenogami Kitchen (Restaurant),5503 Highway 11 Swastika ON P0K 1T0,,timiskaming
King of Fries,00-283 Rorke Ave Haileybury ON P0J 1K0,,timiskaming
