name,address,type,unit
WOODFIRED CAFÉ & BAKECURRY,"#499 Lancaster St W,  Kitchener Ontario",,waterloo
1001 NIGHTS SHAWARMA,"#105-1450 BLOCK LINE RD,  KITCHENER ON N2C 0A5",,waterloo
10-4 COUNTRYSIDE VARIETY AND GAS,"#3589 Bleams Rd,  NEW HAMBURG ON N3A 2J1",,waterloo
126 CHINESE RESTAURANT,"#2922 KING ST EST,  KITCHENER ON N2A 1A7",,waterloo
13 FOOD AND BEVERAGE,"#13 MAIN ST,  CAMBRIDGE ON N1R 7G9",,waterloo
168 SUSHI ASIAN BUFFET,"#D4,5-50 Westmount Rd N,  WATERLOO ON N2L 2R5",,waterloo
200 OLD CARRIAGE DRIVE -CAFE,"#200 Old Carriage Drive,  Kitchener Ontario N2P 0C7",,waterloo
21 FIR,"#100 King St S,  Waterloo ON N2J 1P5",,waterloo
271 WEST,"#271 KING ST W,  KITCHENER ON N2G 1B1",,waterloo
5 STAR SHAWARMA & PIZZA,"#4-585 Weber St N,  Waterloo ON",,waterloo
519 COMMUNITY COLLECTIVE,"#242 Chandos Dr,  Kitchener ON N2A 3Z6",,waterloo
7 DAYS MINI MART,"#3-465 PHILLIP ST,  WATERLOO ON N2L 6C7",,waterloo
7 STAR CONVENIENCE,"#156 ERB ST W,  WATERLOO ON N2L 1V3",,waterloo
7-ELEVEN,"#256 KING ST N,  WATERLOO ON N2J 2Y9",,waterloo
7-ELEVEN,"#425 UNIVERSITY Ave E,  WATERLOO ON N2K 4C9",,waterloo
99 MYTHIC TASTE WATERLOO,"#330 Phillip St,  Waterloo Ontario N2L 3W9",,waterloo
A PLUS VARIETY,"#102-318 Spruce St,  Waterloo ON N2L 3M7",,waterloo
A QUICK STOP VARIETY,"#260 DOON SOUTH DR,  KITCHENER ON N2P 2L8",,waterloo
A&T VARIETY,"#499 Main St,  Cambridge ON N1R 8N9",,waterloo
A&W,"#443 Highland Rd W,  KITCHENER ON N2M 3C6",,waterloo
A&W,"#D-650 ERB ST W,  WATERLOO ON N2K 2K8",,waterloo
A&W,"#383 Arthur St S,  Elmira ON N3B 2P5",,waterloo
A&W,"#F1-550 KING ST N,  WATERLOO ON N2L 5W6",,waterloo
A&W,"#201-330 Farmers Market Rd,  WOOLWICH ON N2V 0A5",,waterloo
A&W,"#933 VICTORIA ST N,  KITCHENER ON N2B 3C6",,waterloo
A&W,"#180 Holiday Inn DR,  Cambridge ON N3C 3T2",,waterloo
A&W,"#751 Ottawa St S,  Kitchener ON N2E 0A5",,waterloo
A&W,"#270 BLEAMS RD,  KITCHENER ON N2C 2K6",,waterloo
A&W,"#580 HESPELER RD,  CAMBRIDGE ON N3H 5L8",,waterloo
A&W,"#4555-2960 KINGSWAY DR,  KITCHENER ON N2C 1X1",,waterloo
A&W,"#315 LINCOLN RD,  WATERLOO ON N2J 4H7",,waterloo
A&W,"#355 HESPELER RD,  CAMBRIDGE ON N1R 6B3",,waterloo
A&W DEER RIDGE #4935,"#4195 King ST, E,  KITCHENER ON N2P 2E8",,waterloo
A&W RESTAURANT,"#200 FRANKLIN BLVD,  CAMBRIDGE ON N1R 8N8",,waterloo
A&Z CONVENIENCE STORE AND SNACK BAR,"#328 KING ST W,  KITCHENER ON N2G 1B7",,waterloo
A.M. AFRICA RESTAURANT,"#1472 KING ST E,  KITCHENER ON N2G 2N7",,waterloo
A.M. VARIETY,"#100 QUEEN ST N,  KITCHENER ON N2H 2H6",,waterloo
A.R. GOUDIE KITCHENER,"#369 FREDERICK ST,  KITCHENER ON N2H 2P1",,waterloo
AAA PIZZA & WINGS,"#3-280 VICTORIA ST N,  KITCHENER ON N2H 5E2",,waterloo
ABE ERB BREW CO.,"#143 Northumberland Ayr,  ON N0B 1E0",,waterloo
ACE PING PONG LOUNGE,"#9 King Street North,  Waterloo ON N2J 2W6",,waterloo
ACE SHAWARMA AND KABABS,"#82 King St W,  KITCHENER ON N2G 1A6",,waterloo
ADDIS INJERA,"#368 Park,  St. Kitchener ON N2G 1N1",,waterloo
ADOBO FRESH BURRITO MEXICAN GRILL,"#10-970 FRANKLIN BLVD,  CAMBRIDGE ON N1R 8R3",,waterloo
ADULT RECREATION CENTRE,"#185 KING ST S,  WATERLOO ON N2J 1P7",,waterloo
AFRICAN FOOD SERVICES,"#53 Hillside Ave,  BROWN ON N1R 5S3",,waterloo
AFRI-CAN MARKET,"#A-50 ONTARIO ST S,  Kitchener ON N2G 1X4",,waterloo
