name,address,type,unit
4K's Riverside Grill,8442 Wyandotte St E Windsor ON N8S 1T6,,windsor
7 Spices,2-1580 Wyandotte St E Windsor ON N9A 3L2,,windsor
A & A Corner Grill,1500 Pillette Rd Windsor ON N8Y 3L2,,windsor
A-1 Chinese Food,60 Talbot St N Essex ON N8M 1A9,,windsor
A-1 Chinese Food,319 Erie St S Leamington ON N8H 3C8,,windsor
Acapulco Delight,485 Pelissier St W Windsor ON N9A 4L2,,windsor
Akasaka Sushi,2465 Dougall Ave Windsor ON N8X 1T3,,windsor
Alaturka Turkish Kitchen,2763 Howard Ave Windsor ON N8X 3X7,,windsor
Alborz Persian Restaurant,725 Pelissier Ave Windsor ON N9A 4L4,,windsor
Aloony Shawarma,1005 Lincoln Road Windsor ON N9A 4A3,,windsor
Al-Petraa Restaurant,671 Wyandotte St E Windsor ON N9A 3J3,,windsor
Al-Sabeel Restaurant,1129 Wyandotte St E Windsor ON N9B 3K4,,windsor
Ambassador Golf Club,1025 Sprucewood Ave Windsor ON N9J 3Z1,,windsor
Anchor & Wheel Inn,11 West Shore Rd Pelee Island ON N0R 1M0,,windsor
Angelo's Pizzeria Hot Spot,3606 Seminole St Windsor ON N8Y 1Y4,,windsor
Applebee's,240-2187 Huron Church Rd Windsor ON N9C 2L8,,windsor
Applebee's Neighbourhood Bar & Grill,2250 Division Rd Windsor ON N8W 3P6,,windsor
Armando's Pizza,13151 Tecumseh Rd E Tecumseh ON N8N 3T4,,windsor
Armando's Pizza,9150 Riverside Dr E Windsor ON N8S 1H1,,windsor
Armando's Pizza,154 Erie St N Leamington ON N8H 3A4,,windsor
Armando's Pizza,325 Talbot St N Essex ON N8M 2W3,,windsor
Armando's Pizza,8-421 Sandwich St S Amherstburg ON N9V 3K8,,windsor
Armando's Pizza Bar / Takeouts,326 Cabana Rd E Windsor ON,,windsor
Armando's Restaurant,3202 Walker Rd Windsor ON N8W 3R8,,windsor
Arner Stop Restaurant,1958 County Rd 20 Kingsville ON N9Y 2E6,,windsor
Arta's Salad Bar & Grill,13454 Tecumseh Rd E Tecumseh ON N8N 3N7,,windsor
Artisan Grill,20-3100 Howard Avenue Windsor ON N8X 3Y8,,windsor
Artisan Grill,269 Dalhousie St Amherstburg ON N9V 1W8,,windsor
Bacchus,614 Erie St E Windsor ON N9A 3Y2,,windsor
Back Road Cafe,3316 Grand Marais Rd E Windsor ON N8W 1W7,,windsor
Baker's Bar and Grill,5570 Wyandotte St E Windsor ON N8S 1M1,,windsor
Balad Restaurant,743 Wyandotte St E Windsor ON N9A 3J4,,windsor
Bamboo Chinese Eatery,2999 Tecumseh Rd E Windsor ON N8W 1G6,,windsor
Banded Goose Brewing,15 Main St E Kingsville ON N9Y 1A2,,windsor
Barbar Bakery and Pizzeria,397 Wyandotte St E Windsor ON N9A 3H7,,windsor
Barb's Kitchen,230 Strabane Ave Windsor ON N8Y 4V2,,windsor
Barburrito fresh Mexican Grill,7555 Tecumseh Rd Windsor ON N8T 1G2,,windsor
