name,address,unit,group,verify,ID
A&W - Restaurant,121 Great Northern Rd Sault Ste. Marie ON P6B 4Y9,algoma,treatment,4Y9,605
A&W - Restaurant,659 Great Northern Rd Sault Ste Marie ON P6B 5Y1,algoma,treatment,5Y1,835
A&W - Restaurant,201 Highway 17 White River ON P0M 3G0,algoma,treatment,3G0,840
Antico - Restaurant,6 Village Ct Sault Ste. Marie ON P6B 6K1 Canada,algoma,treatment,ada,749
Aurora's Westside - Restaurant,300 Second Line W Sault Ste. Marie ON P6C 2J5,algoma,treatment,2J5,1313
Blueberry Hill Motel and Campground Kitchen - Restaurant,D-2528 D Highway 17 N Goulais River ON P0S1E0,algoma,treatment,1E0,1664
Casey's Bar & Grill (Water Tower Inn) - Restaurant,360 Great Northern Road Sault Ste. Marie ON P6B 4Z7,algoma,treatment,4Z7,1795
Country Kitchen - Restaurant,A-9538 Highway 129 Thessalon ON P0R 1L0,algoma,treatment,1L0,253
Ernie's Coffee Shop - Restaurant,13 Queen Street East Sault Ste Marie ON P6A 1Y4,algoma,treatment,1Y4,477
Fat Bastard Burrito - Restaurant,150 Churchill BLVD Sault Ste. Marie ON P6A3Z9,algoma,treatment,3Z9,787
Fishing Moose Lodge - Restaurant,Lot 1137 Hwy 17 N Mile Marker 957 N White River ON P0M 3G0,algoma,treatment,3G0,254
Fratelli's Kitchen & Pizza - Restaurant,522 Great Northern Rd Sault Ste. Marie ON P6B 4Z9,algoma,treatment,4Z9,583
Georgie's Shawarma - Restaurant,75 Elgin St. Sault Ste. Marie ON,algoma,treatment, ON,1568
Gino's Restaurant - Restaurant,1076 Great Northern Road Sault Ste Marie ON P6B 6J8,algoma,treatment,6J8,769
Johnny's Chophouse - Restaurant,180 Bay St Sault Ste Marie ON,algoma,treatment, ON,1984
KFC/Taco Bell - Restaurant,389 Great Northern Rd Sault Ste. Marie ON P6B 4S8,algoma,treatment,4S8,401
Lucky Garden - Restaurant,25-Hawkins St Blind River ON P0R 1B0,algoma,treatment,1B0,994
Misty's 50's - Restaurant,658 Second Line W Sault Ste. Marie ON P6C 2K9,algoma,treatment,2K9,1656
Mount Dufour Ski Area - Restaurant,10 Ski Hill Rd Elliot Lake ON P5A 2J6,algoma,treatment,2J6,1480
Mustang's Grill - Restaurant,24 Woodward Ave Blind River ON P0R 1B0,algoma,treatment,1B0,1297
Odeno - Sault College Student's Union - Restaurant,443 Northern Ave Sault Ste. Marie ON P6B 4J3,algoma,treatment,4J3,202
Q Cafe & Bakery - Restaurant,508 Queen St E Sault Ste Marie ON P6A 2A1,algoma,treatment,2A1,1815
QDOBA - Restaurant,747 Great Northern Road Sault Ste. Marie ON P6B 5X5,algoma,treatment,5X5,1920
Roxy's Fry Shack - Restaurant,20 Trout Lake Rd. Sault Ste. Marie ON P6A 5K7,algoma,treatment,5K7,499
Sandro's Restaurant - Restaurant,465 Trunk Road Sault Ste. Marie ON P6A 3T1,algoma,treatment,3T1,1407
Sinton Tavern & Restaurant - Restaurant,176-Main St Thessalon ON P0R 1L0,algoma,treatment,1L0,260
